original categorynames,how categorynames should look,guessing extra,extra information category
Press Freedom Index (more free is better),CountryA has more press freedom than CountryB (according to the IIIIPress Freedom IndexIIII),,
Year of first KFC opening in that country (lower is better),"KFC opened their first branch in CountryA earlier, than in CountryB",,
Account with the most social media followers of that country (higher is better),CountryA has an BBBBaccountBBBB with more social media follower than CountryB,,
Agreement to the statement religion is important (higher is better),"More people in CountryA than in CountryB agree to the statement ""Religion is important"" ",,
Air cleanliness in percent (higher is better),CountryA has a higher IIIIair qualityIIII than CountryB,,
Alcohol consumption per person per year (lower is better) (in l),The alcohol consumption is less in CountryA than in CountryB (per capita),,
Amount of currencies one US$ can buy (higher is better),One US$ can buy more basic units of the BBBBcurrencyBBBB of CountryA than of CountryB,,
"Annual alcohol deaths (by 1,000,000 population) (lower is better)",There are less annual deaths because of alcohol in CountryA than in CountryB (per capita),,
Annual cannabis prevalence in percent (lower is better),Less people use cannabis in CountryA than in CountryB,,
Annual cocaine prevalence (lower is better),Less people take cocaine in CountryA than in CountryB,,
"Annual deaths by Alzheimer's disease and other dementias (by 10,000 population)",There are less annual deaths because of Alzheimer in CountryA than in CountryB (per capita),,
Annual deaths by cardiovascular diseases (by 1000 population) (lower is better),There are less annual deaths because of cardiovascular diseases in CountryA than in CountryB (per capita),,
"Annual deaths by chronic kidney diseases (by 10,000 population) (lower is better)",There are less annual deaths because of chronic kidney diseases in CountryA than in CountryB (per capita),,
"Annual deaths by chronic respiratory diseases (by 10,000 population) (lower is better)",There are less annual deaths because of respiratory diseases in CountryA than in CountryB (per capita),,
"Annual deaths by Cirrhosis and other chronic liver diseases (by 10,000 population) (lower is better)",There are less annual deaths because of Cirrhosis and other chronic liver diseases in CountryA than in CountryB (per capita),,
"Annual deaths by conflict and terrorism (by 10,000,000 population) (lower is better)",There are less annual deaths because of conflict and terrorism in CountryA than in CountryB (per capita),,
"Annual deaths by Diabetes Mellitus (by 10,000 population) (lower is better)",There are less annual deaths because of Diabetes Mellitus in CountryA than in CountryB (per capita),,
"Annual deaths by digestive diseases (by 10,000 population) (lower is better)",There are less annual deaths because of digestive diseases in CountryA than in CountryB (per capita),,
