,country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
0,Afghanistan,-200,Antimachus I,http://www.wikidata.org/entity/Q577747,wd:Q577747,801866,Graeco-Bactrian king,"Anthimachus I Theos (Greek: Ἀντίμαχος Α΄ ὁ Θεός; known as Antimakha in Indian sources) was believed to have been an illegitimate son of Euthydemus, and one of the Greco-Bactrian kings, generally dated from around 185 BC to 170 BC.",https://en.wikipedia.org/wiki/Antimachus_I
10,Albania,-250,Pyrrhus III,http://www.wikidata.org/entity/Q4363470,wd:Q4363470,35793744,king of Epirus,"Pyrrhus III, king of Epirus, was a son of Ptolemy and a grandson of Alexander II. He ascended to the throne in 235 BC.  Pyrrhus III was assassinated, and he was then succeeded by his cousin Laodamia, or Deidamia (daughter of Pyrrhus II) who was the last of the 
Pyrrhus line.  With his death, the male line of the royal family of Epirus became extinct.",https://en.wikipedia.org/wiki/Pyrrhus_III_of_Epirus
21,Algeria,-8,Ptolemy of Mauretania,http://www.wikidata.org/entity/Q526000,wd:Q526000,74702,politician,"Ptolemy of Mauretania (Greek: Πτολεμαῖος, Ptolemaîos; Latin: Ptolemaeus; 13 x 9 BC–AD 40) was the last Roman client king and ruler of Mauretania for Rome. He was a member of the Berber Massyles tribe of Numidia; via his mother Cleopatra Selene II, he was also a member of Egypt's Ptolemaic dynasty.",https://en.wikipedia.org/wiki/Ptolemy_of_Mauretania
31,Andorra,1753,Francesc Antoni de la Dueña y Cisneros,http://www.wikidata.org/entity/Q559215,wd:Q559215,769742,Catholic bishop (1753-1821),"Francisco Antonio de la Dueña y Cisneros (referred to in Catalan as Francesc Antoni de la Dueña y Cisneros) (1753–1821), was a Spanish clergyman.  He was born in Villanueva de la Fuente, Ciudad Real, and was Bishop of Urgell (and ex officio Co-Prince of Andorra) from 29 October 1797 to 23 September 1816.",https://en.wikipedia.org/wiki/Francesc_Antoni_de_la_Due%C3%B1a_y_Cisneros
41,Andorra,875,Sueiro Belfaguer,http://www.wikidata.org/entity/Q10374684,wd:Q10374684,46318750,Portuguese medieval knight,error,error
45,Angola,1650,Garcia I of Kongo,http://www.wikidata.org/entity/Q3095344,wd:Q3095344,13973211,mwene Kongo,"Garcia I Mvemba a Nkanga was a manikongo of Kongo whom ruled from April 27, 1624 to  March 7, 1626.",https://en.wikipedia.org/wiki/Garcia_I_of_Kongo
64,Antigua and Barbuda,1790,William Harper,http://www.wikidata.org/entity/Q5790909,wd:Q5790909,3285415,American jurist and politician from South Carolina,"William Joseph Harper (January 17, 1790 – October 10, 1847) was a jurist, politician, and social and political theorist from South Carolina.",https://en.wikipedia.org/wiki/William_Harper_(South_Carolina_politician)
79,Argentina,1592,Francisco Maldonado da Silva,http://www.wikidata.org/entity/Q466558,wd:Q466558,3100862,Argentine physician,"Francisco Maldonado da Silva (Jewish name: Eliahu Hanazir; 1592 in Argentina – 23 January 1639, in Peru) was an Argentine marrano physician who was burned at the stake with eleven other Jews in  Lima , Peru, in the largest Auto-da-fé recorded in history. His life has been novelized by Argentinean best selling author Marcos Aguinis in the book Against the Inquisition.

",https://en.wikipedia.org/wiki/Francisco_Maldonado_da_Silva
85,Armenia,-15,Tigranes V of Armenia,http://www.wikidata.org/entity/Q2610351,wd:Q2610351,8220371,Roman Client King of Armenia (16 BC-36 AD) (r. 6 AD-12 AD),"Tigranes V, also known as Tigran V  (Armenian: Տիգրան, Greek: Τιγράνης, 16 BC–36 AD) was a Herodian Prince who ruled as a Roman Client King of Armenia from 6 AD to 12 AD.",https://en.wikipedia.org/wiki/Tigranes_V_of_Armenia
90,Australia,1765,Richard Read Sr.,http://www.wikidata.org/entity/Q55648585,wd:Q55648585,51545321,Australian ticket-of-leave man and artist,"Richard Read Sr. (ca. 1765 - ca. 1829) was a British-born artist who was sent to Australia as a convict. He is known as Richard Read senior to differentiate him from another Richard Read, thought to be his son, who painted in Sydney at the same time.

",https://en.wikipedia.org/wiki/Richard_Read_Sr.
