0,1,2,3,4,5,6,7
Liechtenstein *,Europe,N/A,N/A,N/A,N/A,"139,100",2009
Luxembourg *,Europe,"122,740",2021,"118,360",2020,"114,482",2019
Monaco *,Europe,N/A,N/A,N/A,N/A,"115,700",2015
Singapore *,Asia,"102,742",2021,"98,526",2020,"97,341",2019
Ireland *,Europe,"99,239",2021,"93,612",2020,"86,781",2019
Qatar *,Asia,"97,262",2021,"89,949",2020,"90,044",2019
Macau *,Asia,"90,606",2021,"57,807",2020,"123,965",2019
Isle of Man *,Europe,N/A,N/A,N/A,N/A,"84,600",2014
Bermuda *,Americas,N/A,N/A,"85,264",2019,"81,798",2019
Cayman Islands *,Americas,N/A,N/A,"76,748",2019,"71,549",2018
Switzerland *,Europe,"75,880",2021,"71,352",2020,"68,628",2019
Falkland Islands *,Americas,N/A,N/A,N/A,N/A,"70,800",2015
Norway *,Europe,"69,171",2021,"63,198",2020,"63,633",2019
United Arab Emirates *,Asia,"59,844",2021,"69,958",2019,"67,119",2019
United States *,Americas,"68,309",2021,"63,544",2020,"62,530",2019
Brunei *,Asia,"64,405",2021,"65,662",2020,"62,100",2019
Gibraltar *,Europe,N/A,N/A,N/A,N/A,"61,700",2014
San Marino *,Europe,"61,508",2021,"63,420",2019,"59,439",2018
Hong Kong *,Asia,"62,839",2021,"59,238",2020,"59,848",2019
Denmark *,Europe,"61,478",2021,"60,399",2020,"57,804",2019
Netherlands *,Europe,"60,461",2021,"59,229",2020,"56,935",2019
Jersey *,Europe,N/A,N/A,N/A,N/A,"56,600",2016
Iceland *,Europe,"58,151",2021,"55,216",2020,"55,874",2019
Austria *,Europe,"57,891",2021,"55,098",2020,"56,188",2019
Taiwan *,Asia,"59,398",2021,N/A,N/A,"50,500",2017
Germany *,Europe,"56,956",2021,"53,694",2020,"53,919",2019
Sweden *,Europe,"55,566",2021,"54,563",2020,"53,240",2019
Belgium *,Europe,"53,973",2021,"51,968",2020,"51,934",2019
Australia *,Oceania,"54,891",2021,"52,518",2020,"49,854",2019
Guernsey *,Europe,N/A,N/A,N/A,N/A,"52,500",2014
Finland *,Europe,"51,867",2021,"51,090",2020,"48,668",2019
Canada *,Americas,"51,713",2021,"48,073",2020,"49,031",2019
Andorra *,Europe,N/A,N/A,N/A,N/A,"49,900",2015
Kuwait *,Asia,"41,507",2021,"51,962",2019,"49,854",2019
France *,Europe,"49,492",2021,"46,227",2020,"46,184",2019
Saudi Arabia *,Asia,"48,099",2021,"46,763",2020,"46,962",2019
United Kingdom *,Europe,"47,089",2021,"44,916",2020,"46,659",2019
Bahrain *,Asia,"50,284",2021,"43,181",2020,"45,011",2019
Saint Pierre and Miquelon *,Americas,N/A,N/A,N/A,N/A,"46,200",2006
EU *,Europe,"46,888",2021,"44,491",2020,"44,436",2019
South Korea *,Asia,"47,027",2021,"43,124",2020,"42,765",2019
Malta *,Europe,"45,042",2021,"42,640",2020,"44,032",2019
New Zealand *,Oceania,"44,226",2021,"44,252",2020,"42,888",2019
Japan *,Asia,"44,585",2021,"42,197",2019,"41,429",2019
Italy *,Europe,"43,376",2021,"41,840",2020,"42,492",2019
Czech Republic *,Europe,"42,956",2021,"41,737",2020,"40,862",2019
Israel *,Asia,"42,570",2021,"41,855",2020,"40,145",2019
Greenland *,Americas,N/A,N/A,N/A,N/A,"41,800",2015
Spain *,Europe,"41,546",2021,"38,335",2020,"40,903",2019
Cyprus *,Asia,"41,595",2021,"38,458",2020,"39,545",2019
Slovenia *,Europe,"40,820",2021,"39,593",2020,"39,088",2019
Faroe Islands *,Europe,N/A,N/A,N/A,N/A,"40,000",2014
Lithuania *,Europe,"40,784",2021,"38,735",2020,"37,231",2019
Estonia *,Europe,"39,729",2021,"38,395",2020,"36,927",2019
U.S. Virgin Islands *,Americas,N/A,N/A,N/A,N/A,"37,000",2016
Aruba *,Americas,"30,972",2021,"38,897",2017,"37,500",2017
Sint Maarten *,Americas,N/A,N/A,"36,191",2018,"35,342",2018
Puerto Rico *,Americas,"35,943",2021,"35,279",2020,"34,518",2019
Portugal *,Europe,"36,079",2021,"34,496",2020,"34,894",2019
Guam *,Oceania,N/A,N/A,N/A,N/A,"35,600",2016
Bahamas *,Americas,"34,046",2021,"32,454",2020,"37,101",2019
Poland *,Europe,"35,957",2021,"34,265",2020,"33,221",2019
British Virgin Islands *,Americas,N/A,N/A,N/A,N/A,"34,200",2017
Hungary *,Europe,"35,088",2021,"33,084",2020,"32,945",2019
Slovakia *,Europe,"34,815",2021,"31,832",2020,"32,730",2019
Latvia *,Europe,"33,394",2021,"32,019",2020,"30,898",2019
Romania *,Europe,"32,950",2021,"31,946",2020,"29,941",2019
New Caledonia *,Oceania,N/A,N/A,N/A,N/A,"31,100",2015
Turkey *,Asia,"32,278",2021,"28,120",2020,"28,424",2019
Greece *,Europe,"30,495",2021,"28,464",2020,"29,799",2019
Panama *,Americas,"30,388",2021,"26,776",2020,"31,459",2019
Croatia *,Europe,"29,777",2021,"28,504",2020,"28,602",2019
Oman *,Asia,"30,404",2021,"28,449",2019,"27,299",2019
Malaysia *,Asia,"29,340",2021,"27,887",2020,"28,364",2019
Russia *,Europe,"29,485",2021,"28,213",2020,"27,044",2019
Seychelles *,Africa,"26,119",2021,"25,700",2020,"29,223",2019
Kazakhstan *,Asia,"27,560",2021,"26,729",2020,"26,351",2019
Turks and Caicos Islands,Americas,N/A,N/A,"22,282",2020,"29,253",2019
Trinidad and Tobago *,Americas,"25,883",2021,"25,031",2020,"26,176",2019
Curaçao *,Americas,N/A,N/A,"25,530",2019,"24,479",2019
Chile *,Americas,"24,928",2021,"25,068",2020,"24,226",2019
Bulgaria *,Europe,"25,471",2021,"24,367",2020,"23,174",2019
Northern Mariana Islands *,Oceania,N/A,N/A,N/A,N/A,"24,500",2016
Saint Kitts and Nevis *,Americas,"20,730",2021,"24,537",2020,"26,438",2019
Uruguay *,Americas,"23,474",2021,"22,795",2020,"21,561",2019
Mauritius *,Africa,"22,030",2021,"20,539",2020,"22,870",2019
Argentina *,Americas,"22,141",2021,"20,768",2020,"22,064",2019
Montenegro *,Europe,"21,355",2021,"20,567",2020,"21,470",2019
Costa Rica *,Americas,"20,667",2021,"21,032",2020,"19,642",2019
Belarus *,Europe,"20,578",2021,"20,200",2020,"19,150",2019
Antigua and Barbuda *,Americas,"18,125",2021,"18,942",2020,"21,910",2019
Mexico *,Americas,"20,266",2021,"18,833",2020,"19,796",2019
Serbia *,Europe,"20,545",2021,"19,231",2020,"18,233",2019
Saint Martin *,Americas,N/A,N/A,N/A,N/A,"19,300",2005
Maldives *,Asia,"23,343",2021,"13,766",2020,"19,531",2019
Dominican Republic *,Americas,"19,799",2021,"17,937",2020,"18,413",2019
Guyana *,Americas,"23,258",2021,"19,706",2020,"13,082",2019
Thailand *,Asia,"19,004",2021,"18,236",2020,"18,460",2019
Equatorial Guinea *,Africa,"18,236",2021,"17,942",2020,"18,558",2019
Botswana *,Africa,"18,113",2021,"16,921",2020,"17,767",2019
China *,Asia,"18,931",2021,"17,312",2020,"16,117",2019
World,World,N/A,N/A,"17,110",2020,"17,500",2017
North Macedonia *,Europe,"17,663",2021,"16,927",2020,"16,479",2019
French Polynesia *,Oceania,N/A,N/A,N/A,N/A,"17,000",2015
Cook Islands *,Oceania,N/A,N/A,N/A,N/A,"16,700",2016
Palau *,Oceania,"12,862",2021,"18,316",2019,"17,579",2019
Turkmenistan *,Asia,"17,415",2021,"16,196",2019,"14,845",2018
Grenada *,Americas,"15,385",2021,"15,893",2020,"17,039",2019
Suriname *,Americas,"14,703",2021,"17,016",2020,"16,525",2019
Bosnia and Herzegovina *,Europe,"15,935",2021,"15,612",2020,"14,912",2019
Gabon *,Africa,"16,244",2021,"15,191",2020,"14,950",2019
Georgia *,Asia,"15,709",2021,"14,863",2020,"14,992",2019
Brazil *,Americas,"15,643",2021,"14,836",2020,"14,652",2019
Colombia *,Americas,"15,184",2021,"14,565",2020,"14,722",2019
Azerbaijan *,Asia,"14,856",2021,"14,452",2020,"14,404",2019
Barbados *,Americas,"14,329",2021,"13,577",2020,"15,639",2019
Albania *,Europe,"15,225",2021,"13,818",2020,"13,965",2019
Saint Lucia *,Americas,"13,942",2021,"12,944",2020,"15,449",2019
Armenia *,Asia,"13,638",2021,"13,284",2020,"13,654",2019
Sri Lanka *,Asia,"13,909",2021,"13,225",2020,"13,078",2019
Moldova *,Europe,"13,879",2021,"13,002",2020,"13,050",2019
Ukraine *,Europe,"13,943",2021,"13,057",2020,"12,810",2019
Libya *,Africa,"13,723",2021,"10,847",2020,"15,174",2019
Paraguay *,Americas,"13,454",2021,"13,013",2020,"12,685",2019
Iran *,Asia,"13,513",2021,"13,116",2020,"12,389",2019
Lebanon *,Asia,"11,564",2021,"12,289",2020,"14,552",2019
Saint Vincent and the Grenadines *,Americas,"12,811",2021,"12,770",2020,"12,485",2019
Peru *,Americas,"12,985",2021,"11,879",2020,"12,848",2019
Fiji *,Oceania,"12,298",2021,"11,601",2020,"13,684",2019
Egypt *,Africa,"13,083",2021,"12,608",2020,"11,763",2019
South Africa *,Africa,"12,442",2021,"12,096",2020,"12,482",2019
Cuba *,Americas,N/A,N/A,N/A,N/A,"12,300",2016
