movie,movieLabel,country,countryLabel,sitelinks
http://www.wikidata.org/entity/Q484048,Amﾃｩlie,http://www.wikidata.org/entity/Q142,France,74
http://www.wikidata.org/entity/Q150804,The Pianist,http://www.wikidata.org/entity/Q142,France,68
http://www.wikidata.org/entity/Q484675,Lﾃｩon: The Professional,http://www.wikidata.org/entity/Q142,France,66
http://www.wikidata.org/entity/Q171861,The Artist,http://www.wikidata.org/entity/Q142,France,66
http://www.wikidata.org/entity/Q190588,Love Actually,http://www.wikidata.org/entity/Q142,France,62
http://www.wikidata.org/entity/Q595,The Intouchables,http://www.wikidata.org/entity/Q142,France,58
http://www.wikidata.org/entity/Q21935651,Dunkirk,http://www.wikidata.org/entity/Q142,France,58
http://www.wikidata.org/entity/Q15624215,Lucy,http://www.wikidata.org/entity/Q142,France,57
http://www.wikidata.org/entity/Q12018,8ﾂｽ,http://www.wikidata.org/entity/Q142,France,56
http://www.wikidata.org/entity/Q106506,The Fifth Element,http://www.wikidata.org/entity/Q142,France,56
http://www.wikidata.org/entity/Q152456,Munich,http://www.wikidata.org/entity/Q142,France,56
http://www.wikidata.org/entity/Q162277,Alexander,http://www.wikidata.org/entity/Q142,France,56
http://www.wikidata.org/entity/Q212775,The Last Emperor,http://www.wikidata.org/entity/Q142,France,56
http://www.wikidata.org/entity/Q206388,Once Upon a Time in America,http://www.wikidata.org/entity/Q142,France,55
http://www.wikidata.org/entity/Q191074,Babel,http://www.wikidata.org/entity/Q142,France,55
http://www.wikidata.org/entity/Q146673,Basic Instinct,http://www.wikidata.org/entity/Q142,France,54
http://www.wikidata.org/entity/Q220741,City of God,http://www.wikidata.org/entity/Q142,France,54
http://www.wikidata.org/entity/Q18407,La Dolce Vita,http://www.wikidata.org/entity/Q142,France,53
http://www.wikidata.org/entity/Q270385,Pride & Prejudice,http://www.wikidata.org/entity/Q142,France,53
http://www.wikidata.org/entity/Q25136757,Call Me by Your Name,http://www.wikidata.org/entity/Q142,France,53
http://www.wikidata.org/entity/Q337881,Johnny English,http://www.wikidata.org/entity/Q142,France,52
http://www.wikidata.org/entity/Q201819,District 9,http://www.wikidata.org/entity/Q258,South Africa,52
http://www.wikidata.org/entity/Q223884,Hotel Rwanda,http://www.wikidata.org/entity/Q258,South Africa,52
http://www.wikidata.org/entity/Q302490,The Mission,http://www.wikidata.org/entity/Q142,France,51
http://www.wikidata.org/entity/Q334780,Moonraker,http://www.wikidata.org/entity/Q142,France,51
http://www.wikidata.org/entity/Q105801,Stargate,http://www.wikidata.org/entity/Q142,France,51
http://www.wikidata.org/entity/Q18428,Amarcord,http://www.wikidata.org/entity/Q142,France,50
http://www.wikidata.org/entity/Q464032,Cinema Paradiso,http://www.wikidata.org/entity/Q142,France,50
http://www.wikidata.org/entity/Q499851,Now You See Me,http://www.wikidata.org/entity/Q142,France,50
http://www.wikidata.org/entity/Q153484,Resident Evil,http://www.wikidata.org/entity/Q142,France,50
http://www.wikidata.org/entity/Q271006,Enemy at the Gates,http://www.wikidata.org/entity/Q142,France,50
http://www.wikidata.org/entity/Q1626186,Atonement,http://www.wikidata.org/entity/Q142,France,50
http://www.wikidata.org/entity/Q277080,Taken,http://www.wikidata.org/entity/Q142,France,49
http://www.wikidata.org/entity/Q501874,"O Brother, Where Art Thou?",http://www.wikidata.org/entity/Q142,France,48
http://www.wikidata.org/entity/Q220910,Casino,http://www.wikidata.org/entity/Q142,France,48
http://www.wikidata.org/entity/Q45839,Memoirs of a Geisha,http://www.wikidata.org/entity/Q142,France,47
http://www.wikidata.org/entity/Q648312,The Italian Job,http://www.wikidata.org/entity/Q142,France,47
http://www.wikidata.org/entity/Q596623,The Leopard,http://www.wikidata.org/entity/Q142,France,47
http://www.wikidata.org/entity/Q269810,The Iron Lady,http://www.wikidata.org/entity/Q142,France,47
