Country,2016[2][3]
 Qatar,0.08%
 Malta,0.60%
 Saudi Arabia,1.14%
 Barbados,1.32%
 Grenada,1.42%
 Iceland,1.52%
 Bahrain,1.69%
 Kiribati,1.78%
 United Arab Emirates,1.97%
 Sweden,2.12%
 Norway,2.19%
 Finland,2.21%
 Singapore,2.27%
 Egypt,2.29%
 Israel,2.30%
 Estonia,2.36%
Switzerland,2.37%
 Luxembourg,2.43%
 Seychelles,2.55%
 France,2.62%
 Oman,2.64%
 Cyprus,2.68%
 Denmark,2.89%
 Lithuania,2.92%
 Germany,2.95%
 Ukraine,2.97%
 Canada,3.01%
 Spain,3.05%
 Belgium,3.07%
 Mongolia,3.08%
 Belarus,3.11%
 Poland,3.20%
 Kuwait,3.28%
 Latvia,3.31%
 Czech Republic,3.37%
 Slovakia,3.39%
 Austria,3.39%
 Slovenia,3.41%
 Portugal,3.45%
 Paraguay,3.48%
 United Kingdom,3.54%
 Kazakhstan,3.56%
 Argentina,3.56%
 Russia,3.58%
 United States,3.76%
 Libya,3.79%
 Croatia,3.97%
 Uruguay,4.03%
 Brazil,4.09%
 Bahamas,4.14%
 Australia,4.22%
 Bulgaria,4.22%
 Italy,4.42%
 Equatorial Guinea,4.46%
 Iraq,4.49%
 New Zealand,4.55%
 Jordan,4.58%
 Bolivia,4.58%
 South Korea,4.59%
 Ireland,4.60%
 Iran,4.73%
 Moldova,4.79%
 Lebanon,5.01%
   Nepal,5.12%
 Botswana,5.14%
 Turkey,5.20%
 Hungary,5.32%
 Namibia,5.37%
 Tunisia,5.40%
 Azerbaijan,5.54%
 South Africa,5.58%
 Laos,5.59%
 Syria,5.69%
 Macedonia,5.87%
 Romania,5.92%
 Venezuela,5.93%
 Mexico,5.97%
 Yemen,5.97%
 Gabon,6.04%
 Armenia,6.07%
 Bosnia and Herzegovina,6.10%
 Cuba,6.13%
 Thailand,6.19%
 Georgia,6.27%
 Eritrea,6.35%
 Malaysia,6.39%
 China,6.39%
 Turkmenistan,6.44%
 Colombia,6.45%
 Morocco,6.45%
 Angola,6.52%
 Uganda,6.52%
 Belize,6.55%
 Peru,6.59%
 India,6.64%
 Greece,6.70%
 Tajikistan,6.72%
 Kenya,6.77%
 Lesotho,6.84%
 Pakistan,6.96%
 Central African Republic,7.03%
 Ethiopia,7.04%
 Rwanda,7.09%
 Serbia,7.12%
Republic of the Congo,7.19%
 Zambia,7.25%
 Panama,7.26%
 Comoros,7.29%
 Sri Lanka,7.32%
 Algeria,7.36%
 Trinidad and Tobago,7.50%
 Bhutan,7.51%
Swaziland,7.52%
 Ecuador,7.53%
 Tanzania,7.65%
 Liberia,7.84%
 Kyrgyzstan,7.86%
 Mauritania,7.95%
 Malawi,7.98%
 Nigeria,7.98%
 Sudan,7.99%
 Guinea,8.20%
 Netherlands,8.24%
 Mali,8.39%
 Ghana,8.39%
 Suriname,8.44%
 Uzbekistan,8.59%
 Mozambique,8.69%
Cote d'Ivoire,8.88%
 Myanmar,8.90%
 Afghanistan,9.50%
 Albania,9.50%
 Burkina Faso,9.54%
 Zimbabwe,10.06%
 Sierra Leone,10.21%
 Indonesia,10.24%
 Burundi,10.28%
 Djibouti,10.30%
 Togo,10.36%
 Senegal,10.38%
 Cape Verde,10.39%
 Honduras,10.68%
 Chad,10.85%
 Cameroon,10.91%
Dominican Republic,10.96%
 Madagascar,11.15%
 Niger,11.24%
 Guyana,11.39%
 Benin,11.39%
 Chile,11.65%
 Haiti,11.68%
 Jamaica,11.83%
 Gambia,12.07%
 Vietnam,12.53%
 Japan,12.99%
 Fiji,13.15%
 Guinea-Bissau,13.56%
 Nicaragua,14.62%
 Mauritius,15.53%
Timor-Leste,15.69%
 El Salvador,16.05%
 Papua New Guinea,16.43%
 Cambodia,16.58%
 Costa Rica,17.00%
 Brunei,17.00%
 Solomon Islands,19.14%
 Bangladesh,19.17%
 Guatemala,19.88%
 Philippines,26.70%
 Tonga,29.33%
 Vanuatu,36.28%
