Entity,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number)
Afghanistan,318
African Region (WHO),635623
Albania,2
Algeria,264
American Samoa,0
Andorra,3
Angola,16802
Antigua and Barbuda,7
Argentina,1777
Armenia,19
Australia,71
Austria,35
Azerbaijan,37
Bahamas,116
Bahrain,7
Bangladesh,359
Barbados,25
Belarus,294
Belgium,56
Belize,80
Benin,2033
Bermuda,6
Bhutan,31
Bolivia,732
Bosnia and Herzegovina,2
Botswana,5612
Brazil,15561
Brunei,5
Bulgaria,46
Burkina Faso,2959
Burundi,2048
Cambodia,1416
Cameroon,23172
Canada,254
Cape Verde,55
Central African Republic,5547
Chad,4695
Chile,492
China,31746
Colombia,2450
Comoros,2
Congo,4275
Cook Islands,2
Costa Rica,146
Cote d'Ivoire,13638
Croatia,8
Cuba,337
Cyprus,5
Czechia,19
Democratic Republic of Congo,10238
Denmark,24
Djibouti,903
Dominica,5
Dominican Republic,1362
East Asia & Pacific (WB),79849
Eastern Mediterranean Region (WHO),16961
Ecuador,1207
Egypt,56
El Salvador,680
England,191
Equatorial Guinea,2118
Eritrea,1378
Estonia,34
Eswatini,3321
Ethiopia,26591
Europe & Central Asia (WB),31104
European Region (WHO),31142
Fiji,9
Finland,5
France,457
French Guiana,
French Polynesia,
G20,280864
Gabon,1115
Gambia,1078
Georgia,23
Germany,421
Ghana,14621
Greece,22
Greenland,2
Grenada,5
Guadeloupe,
Guam,7
Guatemala,669
Guinea,4037
Guinea-Bissau,1003
Guyana,181
Haiti,5908
Honduras,91
Hong Kong,
Hungary,37
Iceland,1
India,46298
Indonesia,5603
Iran,1177
Iraq,82
Ireland,9
Israel,37
Italy,621
Jamaica,418
Japan,161
Jordan,27
Kazakhstan,261
Kenya,51135
Kiribati,2
Kosovo,
Kuwait,3
Kyrgyzstan,170
Laos,374
Latin America & Caribbean (WB),43990
Latvia,118
Lebanon,61
Lesotho,10793
Liberia,1652
Libya,85
Lithuania,61
Luxembourg,2
Macau,
Madagascar,2530
Malawi,14227
Malaysia,1521
Maldives,1
Mali,4496
Malta,1
Marshall Islands,4
Martinique,
Mauritania,21
Mauritius,91
Mexico,5034
Micronesia (country),45
Middle East & North Africa (WB),4666
Moldova,163
Monaco,1
Mongolia,15
Montenegro,1
Morocco,494
Mozambique,66304
Myanmar,4773
Namibia,3772
Nauru,1
Nepal,1434
Netherlands,49
New Caledonia,
New Zealand,9
Nicaragua,561
Niger,1423
Nigeria,82270
Niue,0
North America (WB),7313
North Korea,761
North Macedonia,2
Northern Ireland,7
Northern Mariana Islands,1
Norway,14
OECD Countries,17051
Oman,98
Pakistan,3949
Palau,2
Palestine,14
Panama,540
Papua New Guinea,3830
Paraguay,570
Peru,2401
Philippines,5222
Poland,134
Portugal,482
Puerto Rico,231
Qatar,4
Region of the Americas (WHO),51057
Romania,142
Russia,18682
Rwanda,3065
Saint Kitts and Nevis,32
Saint Lucia,7
Saint Vincent and the Grenadines,20
Samoa,13
San Marino,1
Sao Tome and Principe,0
Saudi Arabia,683
Scotland,22
Senegal,1603
Serbia,48
Seychelles,4
Sierra Leone,2798
Singapore,36
Slovakia,4
Slovenia,2
Solomon Islands,41
Somalia,3188
South Africa,143851
South Asia (WB),52427
South Korea,138
South Sudan,4391
South-East Asia Region (WHO),76749
Spain,679
Sri Lanka,38
Sub-Saharan Africa (WB),643702
Sudan,5155
Suriname,100
Sweden,20
Switzerland,37
Syria,14
Taiwan,171
Tajikistan,60
Tanzania,27125
Thailand,17215
Timor,238
Togo,3448
Tokelau,0
Tonga,2
Trinidad and Tobago,206
Tunisia,148
Turkey,226
Turkmenistan,105
Tuvalu,1
Uganda,20762
Ukraine,6643
United Arab Emirates,160
United Kingdom,233
United States,7053
United States Virgin Islands,8
Uruguay,177
Uzbekistan,585
Vanuatu,19
Venezuela,1850
Vietnam,6399
Wales,12
Wallis and Futuna,
Western Pacific Region (WHO),51226
Western Sahara,
World,863837
World (excluding China),
World Bank High Income,13795
World Bank Low Income,247763
World Bank Lower Middle Income,338846
World Bank Upper Middle Income,262649
Yemen,347
Zambia,22540
Zimbabwe,20722
