Country,Amount,Date
"Monaco","$4.10",2013
"Switzerland","$3.85",2014
"Norway","$3.72",2014
"Luxembourg","$2.98",2014
"Denmark","$2.85",2014
"Netherlands","$2.47",2014
"Belgium","$2.46",2014
"Australia","$2.31",2014
"Sweden","$2.30",2014
"New Zealand","$2.29",2014
"Germany","$2.27",2014
"Finland","$2.24",2014
"Austria","$2.22",2014
"British Virgin Islands","$2.17",2014
"France","$2.10",2014
"Reunion","$2.05",2014
"Bermuda","$2.04",2014
"Faroe Islands","$2.01",2014
"Iceland","$1.94",2014
"Slovenia","$1.92",2014
"Guernsey","$1.87",2014
"Israel","$1.79",2014
"Papua New Guinea","$1.77",2014
"Andorra","$1.71",2014
"Ireland","$1.67",2014
"Jersey","$1.66",2014
"Djibouti","$1.66",2013
"Greenland","$1.62",2013
"Venezuela","$1.60",2014
"Curacao","$1.60",2013
"Spain","$1.58",2014
"Croatia","$1.58",2014
"United Kingdom","$1.55",2014
"Canada","$1.47",2014
"Montenegro","$1.47",2014
"Costa Rica","$1.46",2014
"Falkland Islands (Islas Malvinas)","$1.45",2012
"Cayman Islands","$1.44",2014
"Italy","$1.41",2014
"Aruba","$1.38",2014
"Barbados","$1.38",2014
"Angola","$1.35",2014
"Gibraltar","$1.33",2014
"Malta","$1.28",2014
"United States","$1.27",2014
"Fiji","$1.26",2014
"Argentina","$1.26",2014
"French Polynesia","$1.26",2013
"Liberia","$1.25",2013
"Guam","$1.25",2013
"Democratic Republic of the Congo","$1.22",2014
"Slovakia","$1.21",2014
"Portugal","$1.20",2014
"Uruguay","$1.20",2014
"Cape Verde","$1.18",2014
"Gabon","$1.14",2014
"Estonia","$1.13",2014
"Cameroon","$1.11",2014
"Seychelles","$1.07",2014
"Vanuatu","$1.07",2013
"Japan","$1.06",2014
"Serbia","$1.05",2014
"Puerto Rico","$1.05",2014
"Grenada","$1.05",2014
"Burundi","$1.05",2013
"Belize","$1.04",2014
"Czech Republic","$1.03",2014
"Panama","$1.01",2014
"The Bahamas","$1.00",2014
"Mali","$1.00",2014
"Equatorial Guinea","$1.00",2013
"Cyprus","$0.99",2014
"Samoa","$0.96",2013
"Chile","$0.94",2014
"Lithuania","$0.91",2014
"Ghana","$0.91",2014
"Romania","$0.91",2014
"Latvia","$0.91",2014
"Mozambique","$0.89",2014
"Poland","$0.87",2014
"Dominica","$0.87",2013
"Brazil","$0.86",2014
"Republic of Macedonia","$0.85",2014
"Singapore","$0.85",2014
"Turkmenistan","$0.85",2013
"South Korea","$0.84",2014
"Hungary","$0.82",2014
"Bosnia and Herzegovina","$0.81",2014
"Colombia","$0.81",2014
"Afghanistan","$0.80",2014
"Trinidad and Tobago","$0.80",2014
"Guyana","$0.80",2014
"Madagascar","$0.80",2014
"Hong Kong","$0.79",2014
"Russia","$0.79",2014
"New Caledonia","$0.79",2013
"Lesotho","$0.76",2014
"Honduras","$0.76",2014
"Nicaragua","$0.74",2014
"Jamaica","$0.74",2014
"Somalia","$0.73",2014
"Mauritius","$0.71",2014
"Bolivia","$0.71",2014
"South Africa","$0.70",2014
"Brunei","$0.70",2014
"Laos","$0.70",2014
"Greece","$0.68",2014
"Bulgaria","$0.68",2014
"Namibia","$0.68",2014
"Senegal","$0.68",2014
"Haiti","$0.67",2014
"Belarus","$0.66",2014
"Swaziland","$0.65",2014
"Guatemala","$0.65",2014
"Taiwan","$0.64",2014
"Mexico","$0.62",2014
"Albania","$0.62",2014
"Botswana","$0.61",2014
"Zimbabwe","$0.59",2014
"Paraguay","$0.59",2014
"Peru","$0.59",2014
"El Salvador","$0.58",2014
"Lebanon","$0.58",2014
"Kenya","$0.58",2014
"Moldova","$0.57",2014
"Cuba","$0.57",2014
"Nigeria","$0.55",2014
"Suriname","$0.54",2014
"Zambia","$0.53",2014
"Chad","$0.50",2014
"Ukraine","$0.49",2014
"Uganda","$0.49",2014
"Ecuador","$0.46",2014
"Rwanda","$0.46",2014
"Morocco","$0.45",2014
"Dominican Republic","$0.45",2014
"Azerbaijan","$0.45",2014
"Ethiopia","$0.44",2014
"Kazakhstan","$0.44",2014
"Tanzania","$0.43",2014
"Qatar","$0.43",2014
"Cambodia","$0.43",2014
"Malawi","$0.42",2013
"Bahrain","$0.41",2014
"Uzbekistan","$0.40",2014
"Jordan","$0.40",2014
"Armenia","$0.40",2014
"Kuwait","$0.40",2014
"Kyrgyzstan","$0.40",2014
"Mongolia","$0.40",2014
"Saint Lucia","$0.37",2014
"Malaysia","$0.36",2014
"China","$0.36",2014
"Vietnam","$0.36",2014
"Philippines","$0.35",2014
"Yemen","$0.35",2014
"Turkey","$0.34",2014
"Burma","$0.34",2014
"Syria","$0.33",2014
"Georgia","$0.32",2014
"Sri Lanka","$0.32",2014
"United Arab Emirates","$0.31",2014
"Tajikistan","$0.31",2013
"Algeria","$0.30",2014
"Thailand","$0.29",2014
"Tunisia","$0.29",2014
"Libya","$0.28",2014
"Maldives","$0.28",2014
"Egypt","$0.28",2014
"Saudi Arabia","$0.27",2014
"Iran","$0.27",2014
"Oman","$0.26",2014
"Gambia","$0.26",2014
"Bhutan","$0.24",2014
"Indonesia","$0.23",2014
"Pakistan","$0.23",2014
"Iraq","$0.23",2014
"Nepal","$0.21",2014
"India","$0.21",2014
"Bangladesh","$0.19",2014
"Sudan","$0.18",2014
