0,1,2,3,4,
 South Africa,Chinese South Africans,"300,000",<1%,2015[87],
 Madagascar,Chinese people in Madagascar,"100,000",,2011[88],
 Zambia,Chinese people in Zambia,"80,000",,2019[89],
 Ethiopia,Chinese people in Ethiopia,"60,000",,2016[90][91],
 Angola,Chinese people in Angola,"50,000",,2017[92],
 Nigeria,Chinese people in Nigeria,"40,000",,2017[93],
 Mauritius,Sino-Mauritian,"38,500",3%,2010[94],
 Algeria,Chinese people in Algeria,"35,000",,2009[95],
 Tanzania,Chinese people in Tanzania,"30,000",,2013[96],
 Réunion,Chinois,"25,000",,1999[97],
 Republic of Congo,Chinese people in the Republic of Congo,"20,000",,2013,
 Mozambique,Ethnic Chinese in Mozambique,"12,000",,2007[98],
 Zimbabwe,Chinese people in Zimbabwe,"10,000",,2017[99],
 Egypt,Chinese people in Egypt,"8,000",,2007[100],
 Sudan,Chinese people in the Sudan,"8,000",,2005–2007[100],
 Ghana,Chinese people in Ghana,"7,000",,2010,
 Kenya,Chinese people in Kenya,"7,000",,2013[101],
 Uganda,Chinese people in Uganda,"7,000",,2010[102],
 Botswana,Chinese people in Botswana,"6,000",,2009[103],
 Lesotho,Chinese people in Lesotho,"5,000",,2011[104],
 Democratic Republic of Congo,Chinese people in the DRC,"5,000",,2015[105],
 Cameroon,Chinese people in Cameroon,"5,000",,2012[106],
 Guinea,Chinese people in Guinea,"5,000",,2012[106],
 Namibia,Chinese people in Namibia,"140,000",,2009[citation needed],
 Benin,Chinese people in Benin,"4,000",,2007[100],
 Ivory Coast,Chinese people in Ivory Coast,"3,000",,2012[106],
 Mali,Chinese people in Mali,"3,000",,2014[107],
 Togo,Chinese people in Togo,"3,000",,2007[100],
 Cape Verde,Chinese people in Cape Verde,"2,300",<1%,2008[108],
 Malawi,Chinese people in Malawi,"2,000",,2007[100],
 Rwanda,Chinese people in Rwanda,"2,000",,2011[109],
 Senegal,Chinese people in Senegal,"1,500",,2012[106],
 Morocco,Chinese people in Morocco,"1,200",,2004[110],
 Seychelles,Sino-Seychellois,"1,000",,1999[111],
 Liberia,Chinese people in Liberia,600,,2006[100],
 Burkina Faso,Chinese people in Burkina Faso,500,,2012[106],
 Libya,Chinese people in Libya,300,,2014[112],
 Thailand,"Thai Chinese, Peranakan","9,300,000",14%,2015[113],
 Malaysia,"Malaysian Chinese, Peranakan","6,712,000",22.40%,2021[114],
 Indonesia,"Chinese Indonesian, Peranakan","2,832,510",1.2% (Official),2010[115],"7,000,000"
 Singapore,"Chinese Singaporean, Peranakan","2,571,000",76.2% (Official),2015[116][117],
 Myanmar,"Burmese Chinese, Panthay","1,637,540",3%,2012[118][119],
 Philippines,"Chinese Filipino, Tornatras, Sangley","1,146,250",1.50%,2013[120],"27,000,000 Mestizos/Mixed"
 South Korea,Chinese in South Korea,"1,070,566",2.10%,2018[121],
 Japan,Chinese in Japan,"922,000",<1%,2017[122],
 Vietnam,Hoa people,"749,466",<1%,2019[56],
 Cambodia,Chinese Cambodian,"343,855",2.20%,2014[123],"700,000"
 Laos,Laotian Chinese,"185,765",1%,2005[124],
 United Arab Emirates,Chinese people in the United Arab Emirates,"180,000",2.20%,2009[125],
 Pakistan,Chinese people in Pakistan,"60,000",,2018[126],
 Brunei,Ethnic Chinese in Brunei,"42,100",10.30%,2015[127],
 Israel,Chinese people in Israel,"10,000",,2010[128],
 North Korea,Chinese in North Korea,"10,000",,2009[129],
 India,Chinese in India,"85,000",,2018[130],
