Entity,Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number)
Afghanistan,1244
African Region (WHO),98704
Albania,5
Algeria,114
American Samoa,2
Andorra,0
Angola,3015
Antigua and Barbuda,3
Argentina,1330
Armenia,4
Australia,164
Austria,12
Azerbaijan,29
Bahamas,6
Bahrain,4
Bangladesh,4402
Barbados,8
Belarus,45
Belgium,371
Belize,13
Benin,820
Bermuda,0
Bhutan,7
Bolivia,894
Bosnia and Herzegovina,5
Botswana,185
Brazil,8221
Brunei,1
Bulgaria,11
Burkina Faso,4048
Burundi,2048
Cambodia,532
Cameroon,965
Canada,354
Cape Verde,12
Central African Republic,1247
Chad,2454
Chile,576
China,16863
Colombia,1332
Comoros,66
Congo,275
Cook Islands,0
Costa Rica,23
Cote d'Ivoire,756
Croatia,3
Cuba,65
Cyprus,7
Czechia,134
Democratic Republic of Congo,6355
Denmark,81
Djibouti,206
Dominica,2
Dominican Republic,464
East Asia & Pacific (WB),48399
Eastern Mediterranean Region (WHO),27165
Ecuador,734
Egypt,816
El Salvador,293
England,126
Equatorial Guinea,31
Eritrea,1051
Estonia,2
Eswatini,92
Ethiopia,8989
Europe & Central Asia (WB),10497
European Region (WHO),10551
Fiji,19
Finland,12
France,4734
French Guiana,
French Polynesia,
G20,101946
Gabon,68
Gambia,116
Georgia,10
Germany,782
Ghana,1973
Greece,10
Greenland,1
Grenada,2
Guadeloupe,
Guam,3
Guatemala,1847
Guinea,1741
Guinea-Bissau,100
Guyana,49
Haiti,953
Honduras,218
Hong Kong,
Hungary,34
Iceland,2
India,26868
Indonesia,20348
Iran,230
Iraq,104
Ireland,10
Israel,52
Italy,773
Jamaica,65
Japan,1832
Jordan,18
Kazakhstan,121
Kenya,4614
Kiribati,13
Kosovo,
Kuwait,1
Kyrgyzstan,9
Laos,201
Latin America & Caribbean (WB),27386
Latvia,5
Lebanon,15
Lesotho,194
Liberia,323
Libya,18
Lithuania,4
Luxembourg,8
Macau,
Madagascar,5285
Malawi,2062
Malaysia,239
Maldives,5
Mali,14865
Malta,1
Marshall Islands,1
Martinique,
Mauritania,279
Mauritius,16
Mexico,7558
Micronesia (country),3
Middle East & North Africa (WB),3049
Moldova,2
Monaco,0
Mongolia,15
Montenegro,1
Morocco,215
Mozambique,3530
Myanmar,1386
Namibia,189
Nauru,0
Nepal,1300
Netherlands,210
New Caledonia,
New Zealand,15
Nicaragua,145
Niger,2449
Nigeria,5496
Niue,0
North America (WB),6445
North Korea,443
North Macedonia,1
Northern Ireland,5
Northern Mariana Islands,1
Norway,101
OECD Countries,26438
Oman,38
Pakistan,14631
Palau,0
Palestine,12
Panama,126
Papua New Guinea,205
Paraguay,304
Peru,1300
Philippines,3611
Poland,125
Portugal,165
Puerto Rico,108
Qatar,1
Region of the Americas (WHO),33718
Romania,75
Russia,456
Rwanda,1142
Saint Kitts and Nevis,4
Saint Lucia,6
Saint Vincent and the Grenadines,8
Samoa,4
San Marino,0
Sao Tome and Principe,7
Saudi Arabia,66
Scotland,18
Senegal,425
Serbia,20
Seychelles,2
Sierra Leone,1180
Singapore,2
Slovakia,10
Slovenia,2
Solomon Islands,26
Somalia,7626
South Africa,2101
South Asia (WB),48619
South Korea,318
South Sudan,2180
South-East Asia Region (WHO),55979
Spain,467
Sri Lanka,163
Sub-Saharan Africa (WB),107012
Sudan,795
Suriname,15
Sweden,127
Switzerland,95
Syria,92
Taiwan,126
Tajikistan,25
Tanzania,6887
Thailand,992
Timor,65
Togo,237
Tokelau,0
Tonga,4
Trinidad and Tobago,26
Tunisia,29
Turkey,1043
Turkmenistan,11
Tuvalu,0
Uganda,3937
Ukraine,139
United Arab Emirates,7
United Kingdom,159
United States,6090
United States Virgin Islands,4
Uruguay,134
Uzbekistan,41
Vanuatu,12
Venezuela,552
Vietnam,954
Wales,10
Wallis and Futuna,
Western Pacific Region (WHO),25100
Western Sahara,
World,251577
World (excluding China),
World Bank High Income,18390
World Bank Low Income,87986
World Bank Lower Middle Income,99836
World Bank Upper Middle Income,45195
Yemen,1010
Zambia,1899
Zimbabwe,2884
