Entity,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number)
Afghanistan,3627
African Region (WHO),369065
Albania,11
Algeria,445
American Samoa,1
Andorra,0
Angola,11752
Antigua and Barbuda,0
Argentina,727
Armenia,73
Australia,95
Austria,50
Azerbaijan,636
Bahamas,7
Bahrain,11
Bangladesh,29086
Barbados,2
Belarus,298
Belgium,82
Belize,15
Benin,2624
Bermuda,0
Bhutan,107
Bolivia,1550
Bosnia and Herzegovina,120
Botswana,809
Brazil,5485
Brunei,19
Bulgaria,121
Burkina Faso,7552
Burundi,8721
Cambodia,6046
Cameroon,6551
Canada,149
Cape Verde,60
Central African Republic,8637
Chad,6990
Chile,456
China,36566
Colombia,908
Comoros,329
Congo,1961
Cook Islands,0
Costa Rica,47
Cote d'Ivoire,7086
Croatia,53
Cuba,42
Cyprus,5
Czechia,55
Democratic Republic of Congo,46145
Denmark,27
Djibouti,437
Dominica,3
Dominican Republic,751
East Asia & Pacific (WB),206984
Eastern Mediterranean Region (WHO),97622
Ecuador,735
Egypt,892
El Salvador,89
England,319
Equatorial Guinea,193
Eritrea,4674
Estonia,24
Eswatini,637
Ethiopia,29874
Europe & Central Asia (WB),24940
European Region (WHO),25002
Fiji,40
Finland,55
France,1053
French Guiana,
French Polynesia,
G20,588251
Gabon,474
Gambia,722
Georgia,175
Germany,462
Ghana,10223
Greece,137
Greenland,3
Grenada,1
Guadeloupe,
Guam,4
Guatemala,419
Guinea,4396
Guinea-Bissau,716
Guyana,61
Haiti,1286
Honduras,558
Hong Kong,
Hungary,61
Iceland,1
India,422634
Indonesia,76549
Iran,818
Iraq,942
Ireland,30
Israel,26
Italy,426
Jamaica,10
Japan,3852
Jordan,29
Kazakhstan,768
Kenya,16781
Kiribati,69
Kosovo,
Kuwait,26
Kyrgyzstan,405
Laos,2093
Latin America & Caribbean (WB),19205
Latvia,53
Lebanon,42
Lesotho,2598
Liberia,1062
Libya,84
Lithuania,152
Luxembourg,2
Macau,
Madagascar,12268
Malawi,7861
Malaysia,1992
Maldives,14
Mali,5638
Malta,1
Marshall Islands,8
Martinique,
Mauritania,482
Mauritius,15
Mexico,2596
Micronesia (country),11
Middle East & North Africa (WB),10387
Moldova,184
Monaco,1
Mongolia,371
Montenegro,4
Morocco,3932
Mozambique,20700
Myanmar,14313
Namibia,831
Nauru,1
Nepal,7488
Netherlands,99
New Caledonia,
New Zealand,18
Nicaragua,143
Niger,5882
Nigeria,45278
Niue,0
North America (WB),1127
North Korea,3242
North Macedonia,38
Northern Ireland,11
Northern Mariana Islands,1
Norway,44
OECD Countries,16685
Oman,18
Pakistan,62774
Palau,1
Palestine,25
Panama,188
Papua New Guinea,1538
Paraguay,242
Peru,1943
Philippines,29181
Poland,559
Portugal,224
Puerto Rico,21
Qatar,9
Region of the Americas (WHO),20310
Romania,941
Russia,7982
Rwanda,3960
Saint Kitts and Nevis,1
Saint Lucia,4
Saint Vincent and the Grenadines,3
Samoa,13
San Marino,0
Sao Tome and Principe,20
Saudi Arabia,1301
Scotland,40
Senegal,3732
Serbia,128
Seychelles,4
Sierra Leone,2509
Singapore,58
Slovakia,31
Slovenia,13
Solomon Islands,44
Somalia,20221
South Africa,19785
South Asia (WB),526604
South Korea,3154
South Sudan,4387
South-East Asia Region (WHO),562380
Spain,378
Sri Lanka,873
Sub-Saharan Africa (WB),389950
Sudan,1110
Suriname,10
Sweden,79
Switzerland,39
Syria,80
Taiwan,905
Tajikistan,743
Tanzania,20170
Thailand,7775
Timor,299
Togo,2124
Tokelau,0
Tonga,5
Trinidad and Tobago,20
Tunisia,121
Turkey,833
Turkmenistan,437
Tuvalu,1
Uganda,13886
Ukraine,4043
United Arab Emirates,119
United Kingdom,390
United States,978
United States Virgin Islands,1
Uruguay,56
Uzbekistan,2445
Vanuatu,41
Venezuela,826
Vietnam,18681
Wales,20
Wallis and Futuna,
Western Pacific Region (WHO),104584
Western Sahara,
World,1179766
World (excluding China),
World Bank High Income,15849
World Bank Low Income,271887
World Bank Lower Middle Income,793679
World Bank Upper Middle Income,97819
Yemen,1029
Zambia,7056
Zimbabwe,10465
