Entity,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number)
Afghanistan,3797
African Region (WHO),187968
Albania,333
Algeria,4045
American Samoa,7
Andorra,12
Angola,5666
Antigua and Barbuda,13
Argentina,8525
Armenia,1114
Australia,2215
Austria,1809
Azerbaijan,3118
Bahamas,62
Bahrain,138
Bangladesh,26165
Barbados,47
Belarus,2235
Belgium,2105
Belize,65
Benin,1943
Bermuda,8
Bhutan,176
Bolivia,3319
Bosnia and Herzegovina,593
Botswana,418
Brazil,38029
Brunei,31
Bulgaria,2707
Burkina Faso,2993
Burundi,1906
Cambodia,8388
Cameroon,4131
Canada,5442
Cape Verde,114
Central African Republic,1105
Chad,2886
Chile,5157
China,152262
Colombia,3984
Comoros,161
Congo,1071
Cook Islands,2
Costa Rica,960
Cote d'Ivoire,3948
Croatia,1151
Cuba,2036
Cyprus,140
Czechia,2320
Democratic Republic of Congo,14393
Denmark,955
Djibouti,226
Dominica,11
Dominican Republic,2945
East Asia & Pacific (WB),388085
Eastern Mediterranean Region (WHO),145929
Ecuador,3905
Egypt,62635
El Salvador,1500
England,7959
Equatorial Guinea,126
Eritrea,1572
Estonia,277
Eswatini,190
Ethiopia,22772
Europe & Central Asia (WB),221970
European Region (WHO),223075
Fiji,87
Finland,1152
France,10722
French Guiana,
French Polynesia,
G20,885766
Gabon,397
Gambia,357
Georgia,1562
Germany,20492
Ghana,6125
Greece,1366
Greenland,9
Grenada,18
Guadeloupe,
Guam,33
Guatemala,5521
Guinea,2382
Guinea-Bissau,449
Guyana,251
Haiti,2151
Honduras,2952
Hong Kong,
Hungary,3511
Iceland,17
India,270037
Indonesia,88670
Iran,6832
Iraq,2720
Ireland,388
Israel,756
Italy,12450
Jamaica,185
Japan,26248
Jordan,644
Kazakhstan,6705
Kenya,13095
Kiribati,27
Kosovo,
Kuwait,204
Kyrgyzstan,2143
Laos,1273
Latin America & Caribbean (WB),144260
Latvia,388
Lebanon,596
Lesotho,395
Liberia,955
Libya,724
Lithuania,830
Luxembourg,90
Macau,
Madagascar,4524
Malawi,3691
Malaysia,4783
Maldives,33
Mali,3267
Malta,40
Marshall Islands,10
Martinique,
Mauritania,603
Mauritius,263
Mexico,46328
Micronesia (country),20
Middle East & North Africa (WB),95371
Moldova,2745
Monaco,7
Mongolia,1656
Montenegro,50
Morocco,4551
Mozambique,2547
Myanmar,20361
Namibia,339
Nauru,2
Nepal,7945
Netherlands,1810
New Caledonia,
New Zealand,297
Nicaragua,1623
Niger,3325
Nigeria,40381
Niue,0
North America (WB),72736
North Korea,5171
North Macedonia,317
Northern Ireland,272
Northern Mariana Islands,13
Norway,360
OECD Countries,265782
Oman,279
Pakistan,44070
Palau,4
Palestine,359
Panama,503
Papua New Guinea,660
Paraguay,750
Peru,6828
Philippines,14287
Poland,8565
Portugal,2092
Puerto Rico,1019
Qatar,177
Region of the Americas (WHO),215937
Romania,10386
Russia,46102
Rwanda,2599
Saint Kitts and Nevis,12
Saint Lucia,33
Saint Vincent and the Grenadines,19
Samoa,30
San Marino,8
Sao Tome and Principe,50
Saudi Arabia,3763
Scotland,1220
Senegal,2365
Serbia,1401
Seychelles,33
Sierra Leone,1192
Singapore,253
Slovakia,1694
Slovenia,569
Solomon Islands,133
Somalia,3790
South Africa,5824
South Asia (WB),356592
South Korea,10356
South Sudan,1707
South-East Asia Region (WHO),442740
Spain,8218
Sri Lanka,4369
Sub-Saharan Africa (WB),191813
Sudan,4100
Suriname,127
Sweden,1069
Switzerland,1065
Syria,2024
Taiwan,7287
Tajikistan,2188
Tanzania,8547
Thailand,19603
Timor,210
Togo,1272
Tokelau,0
Tonga,19
Trinidad and Tobago,188
Tunisia,1367
Turkey,7349
Turkmenistan,2381
Tuvalu,2
Uganda,5189
Ukraine,20141
United Arab Emirates,506
United Kingdom,10031
United States,67286
United States Virgin Islands,33
Uruguay,471
Uzbekistan,13042
Vanuatu,49
Venezuela,4692
Vietnam,23637
Wales,581
Wallis and Futuna,
Western Pacific Region (WHO),253108
Western Sahara,
World,1472012
World (excluding China),
World Bank High Income,226895
World Bank Low Income,119019
World Bank Lower Middle Income,721089
World Bank Upper Middle Income,404142
Yemen,2786
Zambia,4593
Zimbabwe,2065
