,country,number,item,item_id,shortform,pageid,wikipedia_summary,wikipedia_url
0,Afghanistan,36.0,Kader Khan,http://www.wikidata.org/entity/Q3191765,wd:Q3191765,2886006,"Kader Khan  (22 October 1937 – 31 December 2018) was an Indian film actor, screenwriter, comedian, and film director. As an actor, he appeared in over 300 Bollywood films after his debut film in the 1973 film Daag, starring Rajesh Khanna, in which he acted as a prosecuting attorney. He was also a prolific screenwriter for Bollywood films in the period 1970s to 1999 and wrote dialogues for 200 films. Khan graduated from Ismail Yusuf College affiliated to Bombay University. Before entering the film industry in the early 1970s, he taught at M. H. Saboo Siddik College of Engineering, Mumbai, as a professor of Civil engineering.",https://en.wikipedia.org/wiki/Kader_Khan
8,Afghanistan,8.0,Warina Hussain,http://www.wikidata.org/entity/Q55180724,wd:Q55180724,59540078,error,error
20,Albania,83.0,Masiela Lusha,http://www.wikidata.org/entity/Q37944,wd:Q37944,656544,"Masiela Lusha (; born October 23, 1985) is an American actress, author, producer and humanitarian. Lusha gained recognition for playing Carmen Lopez on the globally syndicated ABC sitcom George Lopez, a role that earned her two consecutive Young Artist Awards for Leading Young Actress in a Comedy or Drama. After transitioning into film, she starred in Sony Pictures’ Blood: The Last Vampire. Lusha also starred alongside David Hasselhoff and Ian Ziering in SyFy's television movie Sharknado: The 4th Awakens.Lusha made her acting debut in Summoning in 2001. That same year, she made her television debut in the Disney Channel series, Lizzie McGuire. Lusha appeared as a main cast member in Clifford's Puppy Days (2003-2005) for PBS, and also appeared in Law & Order: Criminal Intent, and Anger Management. Lusha starred in movies comprising a variety of genres, including  Cherry Bomb (2004), My Father's Eulogy (2007), Muertas (2007), Time of the Comet (2008), Ballad of Broken Angels (2009), Kill Katie Malone (2010), Dragonfyre (2013), The Architect (2014), Of Silence (2014), Fatal Instinct (2014), and Branded (2016).
In 2010, Lusha was appointed ambassador of Prince Harry's charity Sentebale.  In 2014, Lusha was made the World Assembly of Youth's goodwill ambassador. Lusha is an advocate for UN Women.Lusha has written five books of poetry, Inner Thoughts, Drinking the Moon, Amore Celeste, The Call, The Living Air; a novel, The Besa; and two children's books. Lusha has written poetry and translated it into Albanian. She has translated poems and prayers by Mother Teresa.",https://en.wikipedia.org/wiki/Masiela_Lusha
28,Albania,25.0,Breanne Benson,http://www.wikidata.org/entity/Q544838,wd:Q544838,48151355,error,error
44,Algeria,52.0,Daniel Auteuil,http://www.wikidata.org/entity/Q106303,wd:Q106303,323818,"Daniel Auteuil (French pronunciation: ​[danjɛl otœj]; born 24 January 1950) is a French actor and director who has appeared in a wide range of film genres, including period dramas, romantic comedies, and crime thrillers. In 1996 he won the Best Actor Award at the Cannes Film Festival together with Belgian actor Pascal Duquenne. He is also the winner of two César Awards for Best Actor, one in 1987 as Ugolin Soubeyran in Jean de Florette and Manon des Sources and one for his role in Girl on the Bridge. For his role in Jean de Florette he also won the BAFTA Award for Best Actor in a Supporting Role. Auteuil is considered one of France's most respected actors.",https://en.wikipedia.org/wiki/Daniel_Auteuil
65,Andorra,23.0,Marta Roure,http://www.wikidata.org/entity/Q275912,wd:Q275912,6292897,"Marta Roure i Besolí (born 16 January 1981) is an Andorran singer and actress. She represented Andorra in the Eurovision Song Contest 2004 with her song ""Jugarem a estimar-nos"", earning the eighteenth place in the semifinal. It was the first time a song in Catalan language was performed at the Eurovision Song Contest, as well as Andorra's debut at the competition.",https://en.wikipedia.org/wiki/Marta_Roure
70,Angola,10.0,Neide Van-Dúnem,http://www.wikidata.org/entity/Q4381715,wd:Q4381715,20463412,"Neide Núria de Sousa Van-Dúnem Vieira (born July 4, 1986), also known as Neide, is a popular Angolan contemporary singer, songwriter, and film/television actress. Born and raised in 
Luanda, Angola, Neide started her acting career in local theater in 2003, at the age of 17, being cast in the television soap ""Sede de Viver"" a year later. Her singing career officially began in 2007 with the release of the hit single ""Olá Baby"" in the compilation album Eu e Elas (vol 1), a song for which the video reached the number two spot on the MTV Africa Video Chart.",https://en.wikipedia.org/wiki/Neide_Van-D%C3%BAnem
90,Antigua and Barbuda,8.0,Vivian Bonnell,http://www.wikidata.org/entity/Q28002408,wd:Q28002408,52570280,"Vivian Bonnell (born Enid Mosier, May 23, 1924 – November 18, 2003), was an actress and calypso singer, originally from Antigua, British West Indies. In 1954, she starred opposite Pearl Bailey in the Broadway musical House of Flowers. She and her fellow cast members recorded calypso albums as ""Enid Mosier and her Trinidad Steel Band"". She later married one of those performers, Austin Stoker.After changing her name, Bonnell went on to appear in a number of films and television shows, including several American TV movies. She died of complications from diabetes in Los Angeles on November 18, 2003, at the age of 79.",https://en.wikipedia.org/wiki/Vivian_Bonnell
97,Argentina,58.0,Carlos Gardel,http://www.wikidata.org/entity/Q229613,wd:Q229613,252092,"Carlos Gardel (born Charles Romuald Gardès; 11 December 1890 – 24 June 1935) was a French-born Argentine singer, songwriter, composer and actor, and the most prominent figure in the history of tango. He was one of the most influential interpreters of world popular music in the first half of the 20th century. Gardel is the most famous popular tango singer of all time and is recognized throughout the world.  He was notable for his baritone voice and the dramatic phrasing of his lyrics. Together with lyricist and long-time collaborator Alfredo Le Pera, Gardel wrote several classic tangos.
Gardel died in an airplane crash at the height of his career, becoming an archetypal tragic hero mourned throughout Latin America. For many, Gardel embodies the soul of the tango style. He is commonly referred to as ""Carlitos"", ""El Zorzal"" (""The Song thrush""), ""The King of Tango"", ""El Mago"" (The Wizard), ""El Morocho del Abasto"" (The Brunette boy from Abasto), and ironically ""El Mudo"" (The Mute).
In 1967, a controversial theory was published by Uruguayan writer Erasmo Silva Cabrera, asserting that Gardel was born in Tacuarembó, Uruguay. Other authors expanded upon this theory, and a museum to Gardel was established in Tacuarembó. But Gardel's friends and family all knew him as a French immigrant from Toulouse. Scholarly researchers analyzed the contradictory evidence, especially French birth and baptismal records, and confirmed his birthplace as Toulouse.",https://en.wikipedia.org/wiki/Carlos_Gardel
117,Armenia,94.0,Charles Aznavour,http://www.wikidata.org/entity/Q1785,wd:Q1785,91345,"Charles Aznavour ( AZ-nə-VOOR, French: [ʃaʁl aznavuʁ]; born Shahnour Vaghinag Aznavourian, Armenian: Շահնուր Վաղինակ Ազնավուրեան, Shahnur Vaghinak Aznavuryan; 22 May 1924 – 1 October 2018) was a Franco-Armenian singer, lyricist, actor and diplomat. Aznavour was known for his distinctive vibrato tenor voice: clear and ringing in its upper reaches, with gravelly and profound low notes. In a career as a composer, singer and songwriter, spanning over 70 years, he recorded more than 1,200 songs interpreted in 9 languages. Moreover, he wrote or co-wrote more than 1,000 songs for himself and others. Aznavour is regarded as one of the greatest songwriters in the history of music and an icon of 20th-century pop culture.One of France's most popular and enduring singers, he was dubbed France's Frank Sinatra, while music critic Stephen Holden described Aznavour as a ""French pop deity"". He was also arguably the most famous Armenian of his time. In 1998, Aznavour was named Entertainer of the Century by CNN and users of Time Online from around the globe. He was recognized as the century's outstanding performer, with nearly 18% of the total vote, edging out Elvis Presley and Bob Dylan. Jean Cocteau once said: ""Before Aznavour despair was unpopular"".Aznavour sang for presidents, popes and royalty, as well as at humanitarian events. In response to the 1988 Armenian earthquake, he founded the charitable organization Aznavour for Armenia along with his long-time friend impresario Levon Sayan. In 2008, he was granted Armenian citizenship, and was appointed ambassador of Armenia to Switzerland the following year, as well as Armenia's permanent delegate to the United Nations at Geneva.He started his last world tour in 2014. On 24 August 2017, Aznavour was awarded the 2,618th star on the Hollywood Walk of Fame. Later that year, he and his sister were awarded the Raoul Wallenberg Award for sheltering Jews during World War II. His concert at the NHK Hall in Osaka, on 19 September 2018, would be his final performance.
Between 1974 and 2016, Charles Aznavour officially received around sixty gold and platinum records around the world, representing several million cumulative sales. He remains the best certified French singer in the United States and, in fact, one of the few French artists to hold a certification from the Recording Industry Association of America. At the time of his death, according to his record company, the total sales of the artist's recordings were over 180 million units (which implies the total distribution of the titles made in all the discs released in the world, both in his works and in those of other artists and multi-performer records).",https://en.wikipedia.org/wiki/Charles_Aznavour
