country,number,Rank,item,item_id,shortform,pageid,wikidata_description
Afghanistan,198,1,Kabul,http://www.wikidata.org/entity/Q5838,wd:Q5838,16826,capital of Afghanistan
Albania,206,1,Tirana,http://www.wikidata.org/entity/Q19689,wd:Q19689,31075,capital city of Albania
Algeria,187,1,Algiers,http://www.wikidata.org/entity/Q3561,wd:Q3561,1644,capital city of Algeria
Andorra,179,1,Andorra la Vella,http://www.wikidata.org/entity/Q1863,wd:Q1863,59318,capital of Andorra
Angola,163,1,Luanda,http://www.wikidata.org/entity/Q3897,wd:Q3897,18402,capital of Angola
Antigua and Barbuda,123,1,Saint John's,http://www.wikidata.org/entity/Q36262,wd:Q36262,28771,capital city of Antigua and Barbuda
Argentina,257,1,Buenos Aires,http://www.wikidata.org/entity/Q1486,wd:Q1486,255919,capital of Argentina
Armenia,196,1,Yerevan,http://www.wikidata.org/entity/Q1953,wd:Q1953,34352,capital of Armenia
Australia,242,1,Sydney,http://www.wikidata.org/entity/Q3130,wd:Q3130,27862,"capital city of New South Wales, Australia"
Austria,266,1,Vienna,http://www.wikidata.org/entity/Q1741,wd:Q1741,55866,capital of and state in Austria
Azerbaijan,225,1,Baku,http://www.wikidata.org/entity/Q9248,wd:Q9248,4566,capital of Azerbaijan
The Bahamas,130,1,Nassau,http://www.wikidata.org/entity/Q2467,wd:Q2467,21871,capital city of the Commonwealth of the Bahamas
Bahrain,151,1,Manama,http://www.wikidata.org/entity/Q3882,wd:Q3882,20481,capital of Bahrain
Bangladesh,191,1,Dhaka,http://www.wikidata.org/entity/Q1354,wd:Q1354,56656,capital of Bangladesh
Barbados,128,1,Bridgetown,http://www.wikidata.org/entity/Q36168,wd:Q36168,56630,capital of Barbados
Belarus,214,1,Minsk,http://www.wikidata.org/entity/Q2280,wd:Q2280,51593,capital and largest city of Belarus
Belgium,220,1,City of Brussels,http://www.wikidata.org/entity/Q239,wd:Q239,575501,municipality and capital city of Belgium
Belize,134,1,Belmopan,http://www.wikidata.org/entity/Q3043,wd:Q3043,56626,capital of Belize
Benin,150,1,Porto-Novo,http://www.wikidata.org/entity/Q3799,wd:Q3799,57395,capital of Benin
Bhutan,156,1,Thimphu,http://www.wikidata.org/entity/Q9270,wd:Q9270,57658,capital of Bhutan
Bolivia,145,1,La Paz,http://www.wikidata.org/entity/Q1491,wd:Q1491,42821,seat of government of Bolivia
Bosnia and Herzegovina,196,1,Sarajevo,http://www.wikidata.org/entity/Q11194,wd:Q11194,26786,capital city of Bosnia and Herzegovina
Botswana,151,1,Gaborone,http://www.wikidata.org/entity/Q3919,wd:Q3919,56664,capital of Botswana
Brazil,288,1,Rio de Janeiro,http://www.wikidata.org/entity/Q8678,wd:Q8678,25936,"city of the state of Rio de Janeiro, Brazil"
Brunei,145,1,Bandar Seri Begawan,http://www.wikidata.org/entity/Q9279,wd:Q9279,56611,capital of Brunei
Bulgaria,215,1,Sofia,http://www.wikidata.org/entity/Q472,wd:Q472,57644,capital city of Bulgaria
Burkina Faso,155,1,Ouagadougou,http://www.wikidata.org/entity/Q3777,wd:Q3777,56100,capital of Burkina Faso
Burundi,146,1,Bujumbura,http://www.wikidata.org/entity/Q3854,wd:Q3854,56631,former capital of Burundi
Cape Verde,146,1,Praia,http://www.wikidata.org/entity/Q3751,wd:Q3751,57397,capital of Cape Verde
Cambodia,165,1,Phnom Penh,http://www.wikidata.org/entity/Q1850,wd:Q1850,51591,capital of Cambodia
Cameroon,149,1,Yaoundé,http://www.wikidata.org/entity/Q3808,wd:Q3808,57671,capital of Cameroon
Canada,212,1,Ottawa,http://www.wikidata.org/entity/Q1930,wd:Q1930,22219,capital city of Canada
Central African Republic,149,1,Bangui,http://www.wikidata.org/entity/Q3832,wd:Q3832,56617,capital city of the Central African Republic
Chad,149,1,N'Djamena,http://www.wikidata.org/entity/Q3659,wd:Q3659,57059,capital and largest city of Chad
Chile,272,1,Santiago,http://www.wikidata.org/entity/Q2887,wd:Q2887,51572,capital city of Chile
Colombia,263,1,Bogotá,http://www.wikidata.org/entity/Q2841,wd:Q2841,211271,capital city of Colombia
Comoros,135,1,Moroni,http://www.wikidata.org/entity/Q3901,wd:Q3901,290711,capital of Comoros
Democratic Republic of the Congo,184,1,Kinshasa,http://www.wikidata.org/entity/Q3838,wd:Q3838,45773,capital city of the Democratic Republic of the Congo
Republic of the Congo,157,1,Brazzaville,http://www.wikidata.org/entity/Q3844,wd:Q3844,52710,capital of the Republic of the Congo
Costa Rica,136,1,San José,http://www.wikidata.org/entity/Q3070,wd:Q3070,219665,capital of Costa Rica
Ivory Coast,145,1,Yamoussoukro,http://www.wikidata.org/entity/Q3768,wd:Q3768,34395,capital city of Côte d'Ivoire
Croatia,202,1,Zagreb,http://www.wikidata.org/entity/Q1435,wd:Q1435,55906,capital city of Croatia
Cuba,181,1,Havana,http://www.wikidata.org/entity/Q1563,wd:Q1563,49719,capital and largest city of Cuba
Cyprus,190,1,Nicosia,http://www.wikidata.org/entity/Q3856,wd:Q3856,57064,capital city of Cyprus
Czech Republic,250,1,Prague,http://www.wikidata.org/entity/Q1085,wd:Q1085,23844,capital city of the Czech Republic
Denmark,226,1,Copenhagen,http://www.wikidata.org/entity/Q1748,wd:Q1748,5166,capital city of Denmark
Djibouti,135,1,Djibouti,http://www.wikidata.org/entity/Q3604,wd:Q3604,920729,capital city of Djibouti
Dominica,116,1,Roseau,http://www.wikidata.org/entity/Q36281,wd:Q36281,57402,capital of Dominica
Dominican Republic,137,1,Santo Domingo,http://www.wikidata.org/entity/Q34820,wd:Q34820,57638,capital of the Dominican Republic
Ecuador,167,1,Quito,http://www.wikidata.org/entity/Q2900,wd:Q2900,209982,capital of Ecuador
Egypt,242,1,Cairo,http://www.wikidata.org/entity/Q85,wd:Q85,6293,capital city of Egypt
El Salvador,138,1,San Salvador,http://www.wikidata.org/entity/Q3110,wd:Q3110,57631,Capital of El Salvador
Equatorial Guinea,144,1,Malabo,http://www.wikidata.org/entity/Q3818,wd:Q3818,48823,capital of Equatorial Guinea
Eritrea,154,1,Asmara,http://www.wikidata.org/entity/Q3642,wd:Q3642,56827,capital city of Eritrea
Estonia,202,1,Tallinn,http://www.wikidata.org/entity/Q1770,wd:Q1770,31577,capital and most populous city of Estonia
Eswatini,131,1,Mbabane,http://www.wikidata.org/entity/Q3904,wd:Q3904,57049,capital of Eswatini
Ethiopia,179,1,Addis Ababa,http://www.wikidata.org/entity/Q3624,wd:Q3624,52593,capital city of Ethiopia
Fiji,126,1,Suva,http://www.wikidata.org/entity/Q38807,wd:Q38807,42904,capital city of Fiji
Finland,236,1,Helsinki,http://www.wikidata.org/entity/Q1757,wd:Q1757,13696,capital of Finland
France,335,1,Paris,http://www.wikidata.org/entity/Q90,wd:Q90,22989,capital and largest city of France
Gabon,148,1,Libreville,http://www.wikidata.org/entity/Q3825,wd:Q3825,57028,capital of Gabon
The Gambia,152,1,Banjul,http://www.wikidata.org/entity/Q3726,wd:Q3726,69666,capital of The Gambia
Georgia,214,1,Tbilisi,http://www.wikidata.org/entity/Q994,wd:Q994,42298,capital city of the sovereign state of Georgia
Ghana,177,1,Accra,http://www.wikidata.org/entity/Q3761,wd:Q3761,56824,capital city of Ghana
Greece,259,1,Athens,http://www.wikidata.org/entity/Q1524,wd:Q1524,1216,capital city of Greece
Grenada,117,1,St. George's,http://www.wikidata.org/entity/Q41547,wd:Q41547,57646,capital of Grenada
Guatemala,139,1,Guatemala City,http://www.wikidata.org/entity/Q1555,wd:Q1555,11874,capital and largest city of the Republic of Guatemala
Guinea,149,1,Conakry,http://www.wikidata.org/entity/Q3733,wd:Q3733,56638,capital of Guinea
Guinea-Bissau,155,1,Bissau,http://www.wikidata.org/entity/Q3739,wd:Q3739,56629,capital city of Guinea-Bissau
Guyana,132,1,Georgetown,http://www.wikidata.org/entity/Q10717,wd:Q10717,56702,capital city of Guyana
Haiti,142,1,Port-au-Prince,http://www.wikidata.org/entity/Q34261,wd:Q34261,57391,capital of Haiti
Honduras,147,1,Tegucigalpa,http://www.wikidata.org/entity/Q3238,wd:Q3238,25994100,capital city of Honduras
Hungary,246,1,Budapest,http://www.wikidata.org/entity/Q1781,wd:Q1781,36787,capital and largest city of Hungary
Iceland,202,1,Reykjavík,http://www.wikidata.org/entity/Q1764,wd:Q1764,25798,capital and largest city in Iceland
India,211,1,Mumbai,http://www.wikidata.org/entity/Q1156,wd:Q1156,19189,"capital city and district in Maharashtra, India"
Indonesia,223,1,Jakarta,http://www.wikidata.org/entity/Q3630,wd:Q3630,16275,capital city and smallest province of Indonesia
Iran,218,1,Tehran,http://www.wikidata.org/entity/Q3616,wd:Q3616,57654,capital of Iran
Iraq,235,1,Baghdad,http://www.wikidata.org/entity/Q1530,wd:Q1530,4492,capital city of Iraq
