0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Belarus,Minsk,Bielaruﾅ・Eﾐ・Eﾐｵﾐｻﾐｰﾑﾑ・Eﾑ・Eﾑ・EBelarusﾐ・Eﾐｵﾐｻﾐｰﾑﾑ・Eﾑ・Eﾑ・E,Minskﾐ・Eﾑ・Eﾐｽﾑ・EﾐｺMinskﾐ・Eﾐｸﾐｽﾑ・Eﾐｺ,Belarusian(Cyrillic script)Russian(Cyrillic script),,,,,,,,,,,,,
Belgium,Brussels,BelgiﾃｫBelgiqueBelgien,BrusselBruxellesBrﾃｼssel,DutchFrenchGerman,,,,,,,,,,,,,
Belize,Belmopan,Belize,Belmopan,English,,,,,,,,,,,,,
Benin,Porto-Novo,Bﾃｩnin,Porto-Novo,French,,,,,,,,,,,,,
Bermuda[2],Hamilton,Bermuda,Hamilton,English,,,,,,,,,,,,,
Bhutan,Thimphu,Druk Yul・Eｽ・Eｽ・E・Eｾｲ・Eｽｴ・Eｽ・E・Eｼ・E・Eｽ｡・Eｽｴ・Eｽ｣,Thimphu・Eｽ・E・Eｽｲ・Eｽ・E・Eｼ・E・Eｽ・E・Eｽｴ,Dzongkha(Tibetan alphabet),,,,,,,,,,,,,
Bolivia,La Paz,BoliviaBuliwya WuliwyaVolﾃｭvia,La PazChuqiyapuChuqiyapuLa Paz,SpanishQuechuaAymaraGuaranﾃｭ,,,,,,,,,,,,,
Bosnia and Herzegovina,Sarajevo,Bosna i Hercegovinaﾐ・Eﾐｾﾑ・Eﾐｽﾐｰ ﾐｸ ﾐ･ﾐｵﾑﾑ・Eﾐｵﾐｳﾐｾﾐｲﾐｸﾐｽﾐｰ,Sarajevoﾐ｡ﾐｰﾑﾐｰﾑ・Eﾐｵﾐｲﾐｾ,"Bosnian, Croatian(Latin script), Serbian(Cyrillic script)",,,,,,,,,,,,,
Botswana,Gaborone,Botswana,Gaborone,"English, Tswana",,,,,,,,,,,,,
Brazil,Brasﾃｭlia,Brasil,Brasﾃｭlia,Portuguese,,,,,,,,,,,,,
British Virgin Islands[2],Road Town,British Virgin Islands,Road Town,English,,,,,,,,,,,,,
Brunei,Bandar Seri Begawan,Bruneiﾘｨﾘｱﾙ・Eﾙ・Eﾙ・E,Bandar Seri Begawan or Bandarﾘｨﾘｧﾙ・Eﾘｯﾘｱ ﾘｳﾘｱﾙ・E ﾘｨﾚｬﾘｧﾙ・Eﾙ・E,Malay(Jawi script),,,,,,,,,,,,,
Bulgaria,Sofia,Bﾄ・Elgariya or Bﾄ・Elgarijaﾐ・Eﾑ・Eﾐｻﾐｳﾐｰﾑﾐｸﾑ・E,Sofiya or Sofija[5]ﾐ｡ﾐｾﾑ・Eﾐｸﾑ・E,Bulgarian(Cyrillic script),,,,,,,,,,,,,
Burkina Faso,Ouagadougou,Burkina Faso,Ouagadougou,French,,,,,,,,,,,,,
Burundi,Gitega,Uburundi Burundi,Gitega Gitega,Kirundi  French,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Cambodia,Phnom Penh,Kﾄ・Empﾅｭchﾃｩa・E・E・E・E・E・E・E・E・E・E・E・E・Eｻ・E・E・E・E・Eｶ,Phnum Pﾃｩnh・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E,Khmer(Khmer script),,,,,,,,,,,,,
Cameroon,Yaoundﾃｩ,CamerounCameroon,YaoundﾃｩYaoundﾃｩ,FrenchEnglish,,,,,,,,,,,,,
Canada,Ottawa,Canada,Ottawa,"English, French",,,,,,,,,,,,,
Cape Verde,Praia,Cabo Verde,Praia,Portuguese,,,,,,,,,,,,,
Cayman Islands[2],George Town,Cayman Islands,George Town,English,,,,,,,,,,,,,
Central African Republic,Bangui,CentrafriqueBﾃｪafrﾃｮka,BanguiBangﾃｮ,FrenchSango,,,,,,,,,,,,,
Chad,N'Djamena,TchadTﾅ｡ﾄ・Edﾘｪﾘｴﾘｧﾘｯ,NdjamenaNijﾄ・Emﾄｫnﾄ・Eﾙ・Eﾘｬﾘｧﾙ・Eﾙ・Eﾙ・Eﾘｧ,FrenchArabic(Arabic script),,,,,,,,,,,,,
Chile,Santiago,Chile,Santiago,Spanish,,,,,,,,,,,,,
China (People's Republic of),Beijing,Zhﾅ・Engguﾃｳ (Zhﾅ・Enghuﾃ｡ Rﾃｩnmﾃｭn Gﾃｲnghﾃｩguﾃｳ)・Eｸｭ・E・Eｽ (・Eｸｭ・E・E・E・Eｺｺ・Eｰ・E・E・Eｱ・E・E・E・E・Eｽ),Bﾄ・Eijﾄｫng・E・E・E・Eｺｬ,Mandarin Chinese(Chinese characters),,,,,,,,,,,,,
Christmas Island[6],Flying Fish Cove,Christmas Island,Flying Fish Cove,English,,,,,,,,,,,,,
Cocos Islands[6],West Island,Cocos Islands,West Island,English,,,,,,,,,,,,,
Colombia,Bogotﾃ｡,Colombia,Bogotﾃ｡,Spanish,,,,,,,,,,,,,
Comoros,Moroni,KomoriJuzur al-Qamarﾘｬﾘｲﾘｱ ﾘｧﾙ・Eﾙ・Eﾙ・EﾘｱComores,MoroniMoroniﾙ・Eﾙ・Eﾘｱﾙ・Eﾙ・Eﾙ・EMoroni,ShikomorArabic(Arabic script)French,,,,,,,,,,,,,
Republic of the Congo,Brazzaville,Rﾃｩpublique du CongoRepubilika ya KﾃｴngoRepublﾃｭki ya Kongﾃｳ,BrazzavilleBalazavileBrazzaville,FrenchKongo Lingala,,,,,,,,,,,,,
Democratic Republic of the Congo,Kinshasa,Rﾃｩpublique dﾃｩmocratique du Congo Republﾃｭki ya Kongﾃｳ DemokratﾃｭkiRepubilika ya Kﾃｴngo ya Dimokalasi  Jamhuri ya Kidemokrasia ya Kongo,KinshasaKinsasaKinsﾃ｡sﾃ｡Kinshasa,French Kongo Lingala Swahili,,,,,,,,,,,,,
Cook Islands[7],Avarua,Cook Islands  Kﾅｫki 'ﾄirani,Avarua  Avarua,English  Cook Islands Mﾄ・Eori,,,,,,,,,,,,,
Costa Rica,San Josﾃｩ,Costa Rica,San Josﾃｩ,Spanish,,,,,,,,,,,,,
Cﾃｴte d'Ivoire(formerly Ivory Coast),Yamoussoukro,Cﾃｴte d'Ivoire,Yamoussoukro,French,,,,,,,,,,,,,
Croatia,Zagreb,Hrvatska,Zagreb,Croatian,,,,,,,,,,,,,
Cuba,Havana,Cuba,La Habana,Spanish,,,,,,,,,,,,,
Curaﾃｧao[3],Willemstad,CuraﾃｧaoKﾃｲrsouCuraﾃｧao,WillemstadWillemstadWillemstad,DutchPapiamentoEnglish,,,,,,,,,,,,,
Cyprus,Nicosia,Kyprosﾎ・Eﾏ・Eﾏﾏ・Eﾎｿﾏ・EKﾄｱbrﾄｱs,Lefkosiaﾎ・Eﾎｵﾏ・Eﾎｺﾏ・Eﾏ・EﾎｯﾎｱLefkoﾅ・Ea,Greek(Greek alphabet)Turkish,,,,,,,,,,,,,
Czech Republic,Prague,ﾄ・Eeskﾃ｡ republikaﾄ・Eesko,Praha,Czech,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Denmark,Copenhagen,Danmark,Kﾃｸbenhavn,Danish,,,,,,,,,,,,,
Djibouti,Djibouti,Jﾄｫbﾅｫtﾄｫﾘｬﾙ・Eﾘｨﾙ・Eﾘｪﾙ・EDjiboutiJabuutiGabuuti,Jﾄｫbﾅｫtﾄｫﾘｬﾙ・Eﾘｨﾙ・Eﾘｪﾙ・EDjiboutiJabuutiGabuuti,Arabic(Arabic script)FrenchSomaliAfar,,,,,,,,,,,,,
Dominica,Roseau,Dominica,Roseau,English,,,,,,,,,,,,,
Dominican Republic,Santo Domingo,Repﾃｺblica Dominicana,Santo Domingo,Spanish,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
East Timor,Dﾃｭli,Timor Lorosa'eTimor-Leste,DﾃｭliDﾃｭli,TetumPortuguese,,,,,,,,,,,,,
Ecuador,Quito,Ecuador,Quito,Spanish,,,,,,,,,,,,,
Egypt,Cairo,Misr or Masrﾙ・Eﾘｵﾘｱ,Al-Qﾄ・Ehirahﾘｧﾙ・Eﾙ・Eﾘｧﾙ・Eﾘｱﾘｩ,Arabic(Arabic script),,,,,,,,,,,,,
El Salvador,San Salvador,El Salvador,San Salvador,Spanish,,,,,,,,,,,,,
Equatorial Guinea,Malabo,Guinea Ecuatorial  Guinﾃｩe ﾃｩquatoriale  Guinﾃｩ Equatorial,Malabo  Malabo  Malabo,Spanish  French  Portuguese,,,,,,,,,,,,,
Eritrea,Asmara,Iritriyaﾘ･ﾘｱﾘｪﾘｱﾙ・EﾘｧErtra・E・E､・E・Eｭ・E・Eｵ・E・Eｫ,Asmaraaﾘ｣ﾘｳﾙ・EﾘｱﾘｧAsmﾃ､ra・E・E・E・E･・E・E・E・E・Eｫ,Arabic(Arabic script)Tigrinya(Ge'ez script),,,,,,,,,,,,,
Estonia,Tallinn,Eesti,Tallinn,Estonian,,,,,,,,,,,,,
Eswatini(formerly Swaziland),Mbabane,EswatinieSwatini,MbabaneMbabane,EnglishSwazi,,,,,,,,,,,,,
Ethiopia,Addis Ababa,Ityop'ia・E・E｢・E・Eｵ・E・Eｮ・E・Eｵ・E・Eｫ,Addis Abﾃ､ba・E・E・E・Eｲ・E・Eｵ ・E・E・E・E,Amharic(Ge'ez script),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Falkland Islands[2],Stanley,Falkland Islands,Stanley,English,,,,,,,,,,,,,
Faroe Islands[8],Tﾃｳrshavn,FﾃｸroyarFﾃｦrﾃｸerne,TﾃｳrshavnThorshavn,FaroeseDanish,,,,,,,,,,,,,
Fiji,Suva,FijiViti・E､ｫ・E､ｼ・E､ｿ・E､・E・E･,Suva Suva Suva,EnglishFijianFiji Hindi,,,,,,,,,,,,,
Finland,Helsinki,SuomiFinland,HelsinkiHelsingfors,FinnishSwedish,,,,,,,,,,,,,
France,Paris,France,Paris,French,,,,,,,,,,,,,
French Guiana[9],Cayenne,Guyane,Cayenne,French,,,,,,,,,,,,,
French Polynesia[10],Papeete,Polynﾃｩsie franﾃｧaise,Papeete,French,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Gabon,Libreville,Rﾃｩpublique gabonaise,Libreville,French,,,,,,,,,,,,,
The Gambia,Banjul,The Gambia,Banjul,English,,,,,,,,,,,,,
Georgia,Tbilisi,Sak'art'velo・E・E｡・E・E・E・E・E･・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E,Tbilisi・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E・E｡・E・E・E,Georgian(Georgian alphabet),,,,,,,,,,,,,
Germany,Berlin,Deutschland,Berlin,German,,,,,,,,,,,,,
Ghana,Accra,Ghana Gaana Gana Gana,Accra Nkran Nkran Accra,EnglishAkanTwiEwe,,,,,,,,,,,,,
Gibraltar[2],Gibraltar,Gibraltar,Gibraltar,English,,,,,,,,,,,,,
Greece,Athens,Hellasﾎ・Eﾎｻﾎｻﾎｬﾏ・E or Elladaﾎ・Eﾎｻﾎｻﾎｬﾎｴﾎｱ,Athinaiﾎ・Eﾎｸﾎｮﾎｽﾎｱﾎｹ or Athinaﾎ・Eﾎｸﾎｮﾎｽﾎｱ,Greek(Greek alphabet),,,,,,,,,,,,,
Greenland[8],Nuuk,Kalaallit NunaatGrﾃｸnland,NuukGodthﾃ･b,GreenlandicDanish,,,,,,,,,,,,,
Grenada,St. George's,Grenada,St. George's,English,,,,,,,,,,,,,
Guadeloupe[9],Basse-Terre,Guadeloupe,Basse-Terre,French,,,,,,,,,,,,,
Guam[1],Hagﾃ･tﾃｱaformerly Agaﾃｱa,GuamGuﾃ･hﾃ･n,Hagﾃ･tﾃｱaHagﾃ･tﾃｱa,EnglishChamorro,,,,,,,,,,,,,
Guatemala,Guatemala City,Guatemala,Ciudad de Guatemala,Spanish,,,,,,,,,,,,,
Guernsey[11],Saint Peter Port,Guernsey,Saint Peter Port,English,,,,,,,,,,,,,
Guinea,Conakry,GuinﾃｩeGineGine,ConakryKﾉ・EnakiriKonakiri,"FrenchManinka, SusuPular",,,,,,,,,,,,,
Guinea-Bissau,Bissau,Guinﾃｩ-Bissau,Bissau,Portuguese,,,,,,,,,,,,,
Guyana,Georgetown,Guyana,Georgetown,English,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Haiti,Port-au-Prince,HaﾃｯtiAyiti,Port-au-PrincePﾃｲtoprens,FrenchHaitian Creole,,,,,,,,,,,,,
Honduras,Tegucigalpa,Honduras,Tegucigalpa,Spanish,,,,,,,,,,,,,
Hong Kong[12],Hong Kong,Hong KongHeung Gong・Eｦ・E・Eｸｯ,Hong KongHeung Gong・Eｦ・E・Eｸｯ,EnglishCantonese(Traditional Chinese characters),,,,,,,,,,,,,
Hungary,Budapest,Magyarorszﾃ｡g,Budapest,Hungarian,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Iceland,Reykjavﾃｭk,ﾃ・Esland,Reykjavﾃｭk,Icelandic,,,,,,,,,,,,,
India,New Delhi,Bharﾃｴt・Eｦｭ・Eｦｾ・Eｧｰ・Eｦ､Bharﾃｴt・Eｦｭ・Eｦｾ・Eｦｰ・Eｦ､IndiaBhﾄ・Erat・Eｪｭ・Eｪｾ・Eｪｰ・Eｪ､Bhﾄ・Erat・E､ｭ・E､ｾ・E､ｰ・E､､Bhﾄ・Erata・Eｲｭ・Eｲｾ・Eｲｰ・Eｲ､Bhﾄ・Erat・E､ｭ・E､ｾ・E､ｰ・E､､Bhﾄ・Eratam・Eｴｭ・Eｴｾ・Eｴｰ・Eｴ､・Eｴ・EBhﾄ・Erat・E､ｭ・E､ｾ・E､ｰ・E､､Bhﾄ・Erat・E､ｭ・E､ｾ・E､ｰ・E､､Bhﾄ・Erata・Eｬｭ・Eｬｾ・Eｬｰ・Eｬ､Bhﾄ・Erat・Eｨｭ・Eｨｾ・Eｨｰ・Eｨ､Bhﾄ・Eratam・E､ｭ・E､ｾ・E､ｰ・E､､・E､ｮ・E･・EBﾄ・Erata・Eｮｪ・Eｮｾ・Eｮｰ・Eｮ､・Eｮｮ・Eｯ・EBhﾄ・Eratadﾄ・Esam・Eｰｭ・Eｰｾ・Eｰｰ・Eｰ､ ・Eｰｦ・Eｱ・E・Eｰｶ・Eｰ・E,Nﾃｴtun Dilli・Eｦｨ・Eｦ､・Eｧ・E・Eｦｨ ・Eｦｦ・Eｦｿ・Eｦｲ・Eｧ・E・Eｦｲ・EｧNﾃｴtun Dilli・Eｦｨ・Eｦ､・Eｧ・E・Eｦｨ ・Eｦｦ・Eｦｿ・Eｦｲ・Eｧ・E・Eｦｲ・EｧNew DelhiNavﾄｫ Dilhﾄｫ・Eｪｨ・Eｪｵ・Eｫ ・Eｪｦ・Eｪｿ・Eｪｲ・Eｫ・E・Eｪｹ・EｫNaﾄｫ Dillﾄｫ・E､ｨ・E､・E ・E､ｦ・E､ｿ・E､ｲ・E･・E・E､ｲ・E･Nava Dehali・Eｲｨ・Eｲｵ ・Eｲｦ・Eｳ・E・Eｲｹ・Eｲｲ・EｲｿNavﾄｫ Dillﾄｫ・E､ｨ・E､ｵ・E･ ・E､ｦ・E､ｿ・E､ｲ・E･・E・E､ｲ・E･Nyﾅｫ・Eｸ・Ealhi・Eｴｨ・Eｵ・E・Eｴｯ・Eｵ・E・Eｴ｡・Eｴｲ・Eｵ・E・Eｴｹ・EｴｿNavﾄｫ Dillﾄｫ・E､ｨ・E､ｵ・E･ ・E､ｦ・E､ｿ・E､ｲ・E･・E・E､ｲ・E･Naya Dilli・E､ｨ・E､ｯ・E､ｾ・E､・E ・E､ｦ・E､ｿ・E､ｲ・E･・E・E､ｲ・E･Nuﾄ・E Dilli・Eｬｨ・Eｭ・E・Eｬ・E ・Eｬｦ・Eｬｿ・Eｬｲ・Eｭ・E・Eｬｲ・EｭNavﾄｫﾃｱ Dillﾄｫ・Eｨｨ・Eｨｵ・Eｩ・Eｨ・E ・Eｨｦ・Eｨｿ・Eｩｱ・Eｨｲ・EｩNav Dilli・E､ｨ・E､ｵ ・E､ｦ・E､ｿ・E､ｲ・E･・E・E､ｲ・E･Pududilli・Eｮｪ・Eｯ・E・Eｮ､・Eｯ・E ・Eｮ､・Eｮｿ・Eｮｲ・Eｯ・E・Eｮｲ・EｮｿKrothha ・Eｸ・Ehillﾄｫ・Eｰ・E・Eｱ・E・Eｰｰ・Eｱ・E・Eｰ､・Eｱ・E・Eｰ､ ・Eｰ｢・Eｰｿ・Eｰｲ・Eｱ・E・Eｰｲ・Eｱ,Assamese(Assamese script)Bengali(Bengali script)EnglishGujarati(Gujarﾄ・Eti script)Hindi(Devanagari script)Kannada(Kannada script)Konkani(Devanagari script)Malayalam(Malayalam script)Marathi(Devanagari script)Nepalese(Devanagari script)Odia(Odia script)Punjabi(Gurmukhi script)Sanskrit(Devanagari script)Tamil(Tamil script)Telugu(Telugu script),,,,,,,,,,,,,
Indonesia,Jakarta,Indonesia,Jakarta,Bahasa Indonesia,,,,,,,,,,,,,
Iran,Tehran,ﾄｪrﾄ・Enﾘｧﾛ・Eﾘｱﾘｧﾙ・E,Tehrﾄ・Enﾘｪﾙ・Eﾘｱﾘｧﾙ・E,Persian(Persian script),,,,,,,,,,,,,
Iraq,Baghdad,Al-'Iraqﾘｧﾙ・Eﾘｹﾘｱﾘｧﾙ・Eﾃ・Eraq ﾘｹﾛ・Eﾘｱﾘｧﾙ・E,BaghdadﾘｨﾘｺﾘｯﾘｧﾘｯBexda ﾘｨﾛ・Eﾘｺﾘｯﾘｧ,Arabic(Arabic script)Kurdish,,,,,,,,,,,,,
Ireland,Dublin,ﾃ・EireIreland,Baile ﾃ・Etha CliathDublin,IrishEnglish,,,,,,,,,,,,,
Isle of Man[11],Douglas,Isle of ManEllan Vannin,DouglasDoolish,EnglishManx,,,,,,,,,,,,,
Israel,Jerusalem (declared)[lower-alpha 1],Yisra'elﾗ・Eﾗｩﾗｨﾗ・Eﾗ・EIsraﾊｼiylﾘ･ﾘｳﾘｱﾘｧﾘｦﾙ・Eﾙ・E,Yerushalayimﾗ・Eﾗｨﾗ・Eﾗｩﾗ・Eﾗ・Eﾗ・EAl-Qudsﾘｧﾙ・Eﾙ・Eﾙ・Eﾘｯﾘｳ,Hebrew(Hebrew script)Arabic(Arabic script),,,,,,,,,,,,,
Italy,Rome,Italia,Roma,Italian,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Jamaica,Kingston,Jamaica,Kingston,English,,,,,,,,,,,,,
Japan,Tokyo,NihonNippon・E・E･・E・Eｬ,Tﾅ・Ekyﾅ・E・E・Eｱ・Eｺｬ,Japanese(Japanese characters),,,,,,,,,,,,,
Jersey[11],St. Helier,JerseyJerseyJﾃｨrri,St. HelierSaint HﾃｩlierSaint Hﾃｩlyi,EnglishFrenchJﾃｨrriais,,,,,,,,,,,,,
Jordan,Amman,Al-・E・EUrdunﾘｧﾙ・Eﾘ｣ﾘｱﾘｯﾙ・E,・E・EAmmﾄ・Enﾘｹﾙ・Eﾘｧﾙ・E,Arabic(Arabic script),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Kazakhstan,Nur-Sultan,Qazaqstanﾒ・Eﾐｰﾐｷﾐｰﾒ・Eﾑ・Eﾑ・EﾐｰﾐｽKazakhstﾃ｡nﾐ・Eﾐｰﾐｷﾐｰﾑ・Eﾑ・Eﾑ・Eﾐｰﾐｽ,Nur-Sultanﾐ・Eﾒｱﾑ-ﾐ｡ﾒｱﾐｻﾑ・EﾐｰﾐｽNur-Sultanﾐ・Eﾑ・Eﾑ-ﾐ｡ﾑ・Eﾐｻﾑ・Eﾐｰﾐｽ,Kazakh(Cyrillic script)Russian(Cyrillic script),,,,,,,,,,,,,
Kenya,Nairobi,Kenya,Nairobi,"English, Swahili",,,,,,,,,,,,,
Kiribati,Tarawa[13],Kiribati,Tarawa,"English, Gilbertese",,,,,,,,,,,,,
North Korea,Pyongyang,Chosﾅ・En as called in NK・E｡ｰ・E・E / ・E・E・E・EｮｮBukchosﾅ・En・Eｶ・E・E｡ｰ・E・E,P'yﾅ・Engyang・E・E・E・E・E・E / ・Eｹｳ・E｣・E,Korean(Hangul/Hanja),,,,,,,,,,,,,
South Korea,Seoul,Hanguk as called in SK・E・E・E・Eｵｭ / ・E・E・E・E・E・ENamhan・E・Eｨ・E・E・E,Seoul・E・E・E・E・Eｸ,Korean(Hangul/Hanja),,,,,,,,,,,,,
Kosovo[14],Pristina,Kosova  Kosovo  ﾐ・Eﾐｾﾑ・Eﾐｾﾐｲﾐｾ,Prishtinﾃｫ  Priﾅ｡tina  ﾐ・Eﾑﾐｸﾑ・Eﾑ・Eﾐｸﾐｽﾐｰ,Albanian  Serbian (Latin)  Serbian (Cyrillic),,,,,,,,,,,,,
Kuwait,Kuwait City,Dawlat ul-Kuwaytﾘｯﾙ・Eﾙ・Eﾘｩ ﾘｧﾙ・Eﾙ・Eﾙ・Eﾙ・Eﾘｪil-ikwetﾘｧﾙ・Eﾙ・Eﾙ・Eﾙ・Eﾘｪ,Madiinat ul-Kuwaytﾙ・Eﾘｯﾙ・Eﾙ・Eﾘｩ ﾘｧﾙ・Eﾙ・Eﾙ・Eﾙ・Eﾘｪid-diiraﾘｧﾙ・Eﾘｯﾙ・Eﾘｱﾘｩ,Arabic (Official)(Arabic script) Kuwaiti Gulf Arabic (native)(Arabic script),,,,,,,,,,,,,
Kyrgyzstan,Bishkek,Kyrgyzstanﾐ・Eﾑ・Eﾑﾐｳﾑ・Eﾐｷﾑ・Eﾑ・EﾐｰﾐｽKirgizijaﾐ・Eﾐｸﾑﾐｳﾐｸﾐｷﾐｸﾑ・E,Bishkekﾐ・Eﾐｸﾑ・EﾐｺﾐｵﾐｺBishkekﾐ・Eﾐｸﾑ・Eﾐｺﾐｵﾐｺ,Kyrgyz(Cyrillic script)Russian(Cyrillic script),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Laos,Vientiane,Lao・Eｺ・E・Eｺｰ・Eｻ・Eｺ・E・Eｺ・E・Eｺ･・Eｺｲ・Eｺｧ,"Vientiane, Vieng Chan, or Wﾄｫang Chan・Eｺｧ・Eｺｽ・Eｺ・E・Eｺ・E・Eｺｱ・Eｺ・E",LaoLao alphabet,,,,,,,,,,,,,
Latvia,Riga,Latvija,Rﾄｫga,Latvian,,,,,,,,,,,,,
Lebanon,Beirut,Lubnﾄ・Enﾙ・Eﾘｨﾙ・Eﾘｧﾙ・E  Liban,Bayrﾅｫtﾘｨﾙ・Eﾘｱﾙ・Eﾘｪ  Beyrouth,"Arabic(Arabic script) 
French",,,,,,,,,,,,,
Lesotho,Maseru,Lesotho,Maseru,"Sesotho, English",,,,,,,,,,,,,
Liberia,Monrovia,Liberia,Monrovia,English,,,,,,,,,,,,,
Libya,Tripoli,Libya・Eｵ・E・Eｵ・E・Eｴｱ・Eｵ｢・EｴｰLﾄｫbiyﾄ・Eﾙ・Eﾙ・Eﾘｨﾙ・Eﾘｧ,・Eｹｬrables・Eｵ・E・Eｵ・E・Eｴｰ・Eｴｱ・Eｵ・E・Eｴｻ・Eｵ・ETarabulusﾘｷﾘｱﾘｧﾘｨﾙ・Eﾘｳ,Berber language(Tifinagh script)Arabic(Arabic script),,,,,,,,,,,,,
Liechtenstein,Vaduz,Liechtenstein,Vaduz,German,,,,,,,,,,,,,
Lithuania,Vilnius,Lietuva,Vilnius,Lithuanian,,,,,,,,,,,,,
