0,1,2,3,4,5,6,7
,This article possibly contains original research. Please improve it by verifying the claims made and adding inline citations. Statements consisting only of original research should be removed.  (July 2019) (Learn how and when to remove this template message),,,,,,
Country,Date of current form of government,Birth of current form of government,Date of acquisition of sovereignty,Acquisition of sovereignty,Date of territorial modification,Most recent significant territorial modification,
Algeria,1962,,03-Jul-62,French recognition of Algerian referendum on independence held two days earlier,05-Jul-62,Algeria gains sovereignty over the entire Algerian territory upon independence from France.,
Angola,1975,,11-Nov-75,Independence from Portugal,,,
Benin,,,01-Aug-60,Independence from France,15 January 1894,Borders of French Protectorate of Dahomey set at conclusion of Second Franco-Dahomean War,
Botswana,,,30-Sep-66,Independence from the United Kingdom,31-Dec-99,Sedudu ruled to belong to Botswana rather than Namibia by the International Court of Justice.,
Burkina Faso,,,05-Aug-60,Independence from France,,,
Burundi,28-Nov-66,Monarchy replaced by republic,01-Jul-62,Independence from Belgium,,,
Cabo Verde,,,05-Jul-75,Independence from Portugal,,,
Cameroon,,,01-Jan-60,Independence from France,01-Oct-61,Merger of part of British Cameroons with Cameroon,
Central African Republic,21-Sep-79,Monarchy replaced by republic,13-Aug-60,Independence from France,,,
Chad,,,11-Aug-60,Independence from France,03-Feb-97,Aouzou Strip awarded to Chad,
Comoros,,,06-Jul-75,Independence from France declared,,,
Democratic Republic of Congo,17-May-97,,30-Jun-60,Independence from Belgium,,,
Republic of Congo,,,15-Aug-60,Independence from France,,,
Djibouti,,,27-Jun-77,Independence from France,,,
Egypt,18-Jun-53,"Egyptian revolution of 1952, Egyptian monarchy overthrown in a military coup, republic declared",969,"The Fatimid Caliphate conquered Egypt, which became the political, cultural, and religious center of the empire. The Fatimid Caliphate eventually developed a new and indigenous Arabic culture in Egypt.",1925,The eastern borders of Libya and British Egypt are changed to their present boundaries.,
Egypt,18-Jun-53,"Egyptian revolution of 1952, Egyptian monarchy overthrown in a military coup, republic declared",28-Feb-22,"The UK ends its protectorate, granting independence to Egypt",1925,The eastern borders of Libya and British Egypt are changed to their present boundaries.,
Equatorial Guinea,,,12-Oct-68,Independence from Spain,,,
Eritrea,,,24-May-93,Independence from Ethiopia declared,01-Apr-02,Badme ruled to be Eritrean by the Eritrea・E・EEthiopia Boundary Commission (EEBC after the Eritrean・E・EEthiopian War). Contested by Ethiopia,
Eswatini (Swaziland),08-Feb-06,Constitution of Swaziland,06-Sep-68,Independence from the United Kingdom,,,
Ethiopia,21-Aug-95,1995 Constitution of Ethiopia,900,Zagwe dynasty,01-Apr-02,Badme ruled to be Eritrean by the Eritrea・E・EEthiopia Boundary Commission (EEBC after the Eritrean・E・EEthiopian War). Contested by Ethiopia,
Gabon,,,17-Aug-60,Independence from France,,,
Gambia,,,18-Feb-65,Independence from the United Kingdom,,,
Ghana,,,06-Mar-57,Independence from the United Kingdom,13-Dec-56,Union of British Togoland with Gold Coast,
Guinea,,,02-Oct-58,Independence from France,,,
Guinea-Bissau,,,24-Sep-73,Independence from Portugal declared,,,
Guinea-Bissau,10-Sep-74,Independence from Portugal recognized,,,,,
Ivory Coast,,,04-Dec-58,Autonomous republic within French Community,,,
Ivory Coast,07-Aug-60,Independence from France,,,,,
Kenya,,,12-Dec-63,Independence from the United Kingdom,,,
Lesotho,,,04-Oct-66,Independence from the United Kingdom,12 March 1868,Area that is now Lesotho placed under British rule,
Liberia,,,26 July 1847,Independence from American Colonization Society,06-Jan-86,Current constitution came into effect,
Libya,04-Aug-14,House of Representatives takes power.[note 2],24-Dec-51,Independence from UN Trusteeship (British and French administration after Italian governance ends in 1947),13-Feb-84,Aouzou Strip awarded to Chad.,
Madagascar,,,14-Oct-58,The Malagasy Republic was created as autonomous state within French Community,,,
Madagascar,26-Jun-60,France recognizes Madagascar's independence,,,,,
Malawi,,,06-Jul-64,Independence from the United Kingdom,,,
Mali,,,25-Nov-58,French Sudan gains autonomy,08-Apr-60,Senegal secedes from Mali Federation,
Mali,22-Sep-60,Independence from France,,,,,
Mauritania,,,28-Nov-60,Independence from France,11-Aug-79,Mauritania withdraws from Tiris al-Gharbiyya (part of Western Sahara),
Mauritius,,,12-Mar-68,Independence from the United Kingdom,1965,Separation of Chagos Archipelago,
Morocco,09-Dec-55,Establishment of the post-protectorate regime[1],1955,Independence from France,18-Nov-55,Protectorate abolished,
Mozambique,27-29 October 1994,Mozambique holds its first multiparty election since the Civil War,25-Jun-75,Independence from Portugal,,,
Namibia,,,21-Mar-90,Independence from South African rule,01-Mar-97,Walvis Bay integrated into Namibia,
Niger,,,04-Dec-58,Autonomy within French Community,,,
Niger,03-Aug-60,Independence from France,,,,,
Nigeria,,,01-Oct-60,Independence from the United Kingdom,15-Jan-70,Biafra re-integrated into Nigeria,
Nigeria,01-Jun-61,Northern Cameroons integrated in Nigeria,01-Oct-60,Independence from the United Kingdom,,,
Rwanda,,,01-Jul-62,Independence from Belgium,,,
Sﾃ｣o Tomﾃｩ and Prﾃｭncipe,,,12-Jul-75,Independence from Portugal,,,
Senegal,,,20-Aug-60,Independence from France,,,
Seychelles,,,29-Jun-76,Independence from the United Kingdom,,,
Sierra Leone,,,27-Apr-61,Independence from the United Kingdom,,,
Somalia,20-Aug-12,Federal Government of Somalia established.[note 3],01-Jul-60,Union of Trust Territory of Somalia (former Italian Somaliland) and State of Somaliland (formerly British Somaliland),18 May 1991 (disputed),"Somaliland declares independence, but is not recognized by any UN state.",
South Africa,31-May-61,Republic declared,11-Dec-31,"Statute of Westminster, which establishes a status of legislative equality between the self-governing dominion of the Union of South Africa and the UK",21-Mar-90,"De facto: South West Africa declares independence, forming Namibia",
South Africa,04-Feb-97,The post-Apartheid Constitution of South Africa comes into effect,31-May-10,"Creation of the autonomous Union of South Africa from the previously separate colonies of the Cape, Natal, Transvaal and Orange River",27-Apr-94,De jure: Reincorporation of the nominally independent but unrecognised bantustans into post-apartheid South Africa,
South Sudan,09-Jul-11,2011 South Sudanese independence referendum,09-Jul-11,Separation of Southern Sudan from Sudan,,,
Sudan,15-Apr-10,First democratic election since the Second Sudanese Civil War,01-Jan-56,Independence from Egyptian and British joint rule,09-Jul-11,South Sudan secedes from Sudan,Sudan has a military coup and takes over in the October 25th coup
Tanzania,01-Jul-91,Amendment to Constitution of Tanzania ends status as one-party state,09-Dec-61,Independence of Tanganyika from the United Kingdom,26-Apr-64,Merger of Zanzibar with Tanganyika to form Tanzania,
Togo,,,30-Aug-58,Autonomy within French Union,,,
Togo,27-Apr-60,Independence from France,,,,,
Tunisia,814ﾂBC,Foundation of Carthage,20-Mar-56,Independence from France,,,
Uganda,,,01-Mar-62,Self-government granted,,,
Uganda,09-Oct-62,Independence from the United Kingdom,,,,,
Zambia,,,24-Oct-64,Independence from the United Kingdom,,,
Zimbabwe,22-Dec-87,Robert Mugabe revises the Constitution of Zimbabwe to create an executive presidency.[note 4],11-Nov-65,Unilateral declaration of independence by Southern Rhodesia,1901,BSAC separates North-Eastern Rhodesia from Southern Rhodesia,
Zimbabwe,22-Dec-87,Robert Mugabe revises the Constitution of Zimbabwe to create an executive presidency.[note 4],18-Apr-80,Recognized independence from the United Kingdom as Zimbabwe,1901,BSAC separates North-Eastern Rhodesia from Southern Rhodesia,
Country,Date of current form of government,Birth of current form of government,Date of acquisition of sovereignty,Acquisition of sovereignty,Date of territorial modification,Most recent significant territorial modifiﾂｭcation,
Antigua and Barbuda,,,01-Nov-81,Independence from the United Kingdom,,,
Argentina,1 May 1853,The current Constitution of Argentina enters in force,25 May 1810,May Revolution installs first local government,18 October 1884,Conquest of the Desert,
Argentina,1 May 1853,The current Constitution of Argentina enters in force,9 July 1816,Argentine Declaration of Independence from Spain.,18 October 1884,Conquest of the Desert,
Bahamas,,,07-Jan-64,Internal self-governance granted,,,
Bahamas,10-Jul-73,Independence from the United Kingdom,,,,,
Barbados,,,30-Nov-66,Independence from the United Kingdom,,,
Belize,,,21-Sep-81,Independence from the United Kingdom,1859,Treaty establishes border between British Honduras and Guatemala,
Belize,01-Jan-64,Self-governing colony,,,,,
Bolivia,25-Jan-09,Constitution of Bolivia,6 August 1825,Bolivian War of Independence from Spain.,11-Nov-03,Treaty of Petrﾃｳpolis with Brazil whereby Bolivia gained lands in Mato Grosso in exchange for the territory of Acre,
Bolivia,25-Jan-09,Constitution of Bolivia,21 July 1844,Independence recognized by Spain,11-Nov-03,Treaty of Petrﾃｳpolis with Brazil whereby Bolivia gained lands in Mato Grosso in exchange for the territory of Acre,
Brazil,05-Oct-88,Constitution of Brazil established as the third Federative Republic,7 September 1822,"Independence from the United Kingdom of Portugal, Brazil and the Algarves declared",11-Nov-03,Signing of the Treaty of Petrﾃｳpolis with Bolivia whereby Brazil was given the territory of Acre in exchange for lands in Mato Grosso,
Brazil,05-Oct-88,Constitution of Brazil established as the third Federative Republic,29 August 1825,Independence recognized by Portugal,11-Nov-03,Signing of the Treaty of Petrﾃｳpolis with Bolivia whereby Brazil was given the territory of Acre in exchange for lands in Mato Grosso,
Brazil,05-Oct-88,Constitution of Brazil established as the third Federative Republic,15 November 1889,Proclamation of the Federal Republic,11-Nov-03,Signing of the Treaty of Petrﾃｳpolis with Bolivia whereby Brazil was given the territory of Acre in exchange for lands in Mato Grosso,
Canada,1 July 1867,"Granted nominal independence (Dominion status), establishing as a federation",11-Dec-31,Statute of Westminster,01-Apr-99,Nunavut Territory created as per native land claims act from two thirds of the area of Northwest Territories.,
Canada,1 July 1867,"Granted nominal independence (Dominion status), establishing as a federation",17-Apr-82,"Constitution Act, 1982 established",01-Apr-99,Nunavut Territory created as per native land claims act from two thirds of the area of Northwest Territories.,
Chile,17-Aug-89,Amendment to the Constitution of Chile ends the military dictatorship,18 September 1810,First Government Junta,03-Jul-29,Chile awarded Arica district in Treaty of Lima,
Chile,17-Aug-89,Amendment to the Constitution of Chile ends the military dictatorship,12 February 1818,Chilean Declaration of Independence from Spain,03-Jul-29,Chile awarded Arica district in Treaty of Lima,
Chile,17-Aug-89,Amendment to the Constitution of Chile ends the military dictatorship,25 April 1844,Independence recognized by Spain,03-Jul-29,Chile awarded Arica district in Treaty of Lima,
Colombia,04-Jul-91,Colombian Constitution of 1991 established as a presidential republic.,20 July 1810,Colombia declares independence from Spain.,04-Jul-91,The Sovereign territory was organized under the National Constituent Assembly.,
Colombia,04-Jul-91,Colombian Constitution of 1991 established as a presidential republic.,17 December 1819,"Colombia merged with Venezuela, Panama, and Ecuador.",04-Jul-91,The Sovereign territory was organized under the National Constituent Assembly.,
Colombia,04-Jul-91,Colombian Constitution of 1991 established as a presidential republic.,19 November 1831,Gran Colombia dissolved creating a pact with Panama as the Republic of New Granada.,04-Jul-91,The Sovereign territory was organized under the National Constituent Assembly.,
Colombia,04-Jul-91,Colombian Constitution of 1991 established as a presidential republic.,22 May 1858,The Republic of New Granada was replaced to the Granadine Confederation under the 1858 constitution.,04-Jul-91,The Sovereign territory was organized under the National Constituent Assembly.,
Colombia,04-Jul-91,Colombian Constitution of 1991 established as a presidential republic.,8 May 1863,The Granadine Confederation was replaced to the United States of Colombia under the constitutional change of 1864.,04-Jul-91,The Sovereign territory was organized under the National Constituent Assembly.,
Colombia,04-Jul-91,Colombian Constitution of 1991 established as a presidential republic.,30 January 1881,Declaration of Independence recognized by Spain,04-Jul-91,The Sovereign territory was organized under the National Constituent Assembly.,
Colombia,04-Jul-91,Colombian Constitution of 1991 established as a presidential republic.,8 August 1886,Establishment of the current sovereignty of Colombia as a republic.,04-Jul-91,The Sovereign territory was organized under the National Constituent Assembly.,
Costa Rica,07-Nov-49,Constitution of Costa Rica,15 September 1821,Costa Rica declared independence from Spain,25 July 1824,Partido de Nicoya,
Costa Rica,07-Nov-49,Constitution of Costa Rica,15 November 1838,Independence from Federal Republic of Central America,25 July 1824,Partido de Nicoya,
Costa Rica,07-Nov-49,Constitution of Costa Rica,10 May 1850,Independence recognized by Spain,25 July 1824,Partido de Nicoya,
Cuba,01-Jan-59,Cuban Revolution,10 October 1898,"Several wars were declared against Spain from 1868 to 1898, ending with the military support of USA to the Cuban Revolution.",,,
Cuba,01-Jan-59,Cuban Revolution,10 December 1898,Spain loses the war against the United States and the military occupation of Cuba by the U.S. begins.,,,
Cuba,01-Jan-59,Cuban Revolution,20-May-02,United States military occupation ends[2],,,
Dominica,03-Nov-78,Constitution of Dominica,27-Feb-67,Became an associated state of the United Kingdom,,,
Dominica,03-Nov-78,Constitution of Dominica,03-Nov-78,Independence from the United Kingdom,,,
Dominican Republic,28-Nov-66,Civilian constitution of the Dominican Republic following the Dominican Civil War.[note 5],27 February 1844,The Dominican Republic gains independence from Haiti,09-May-36,Haiti and the Dominican Republic sign a treaty setting a definitive border.,
Dominican Republic,28-Nov-66,Civilian constitution of the Dominican Republic following the Dominican Civil War.[note 5],14 October 1874,Independence recognized by Spain,09-May-36,Haiti and the Dominican Republic sign a treaty setting a definitive border.,
Ecuador,28-Sep-08,Constitution of Ecuador established.,10 August 1809,First declaration of Independence from Spain,26-Feb-46,Rio Protocol ends border dispute with Peru,
Ecuador,28-Sep-08,Constitution of Ecuador established.,24 May 1822,"Second declaration of independence from Spain of Gran Colombia, of which Ecuador is a part of",26-Feb-46,Rio Protocol ends border dispute with Peru,
Ecuador,28-Sep-08,Constitution of Ecuador established.,13 May 1830,Dissolution of Gran Colombia,26-Feb-46,Rio Protocol ends border dispute with Peru,
Ecuador,28-Sep-08,Constitution of Ecuador established.,16 February 1840,Declaration of Independence recognized by Spain,26-Feb-46,Rio Protocol ends border dispute with Peru,
El Salvador,16-Dec-83,Constitution of El Salvador established as the third Unitary presidential republic,15 September 1821,"El Salvador becomes independent from Spain, and 9 days later becomes province in First Mexican Empire",,,
El Salvador,16-Dec-83,Constitution of El Salvador established as the third Unitary presidential republic,1 July 1823,El Salvador becomes a state of Federal Republic of Central America from the First Mexican Empire,,,
El Salvador,16-Dec-83,Constitution of El Salvador established as the third Unitary presidential republic,2 February 1841,"Dissolution of the Federal Republic of Central America, El Salvador becomes independent nation",,,
El Salvador,16-Dec-83,Constitution of El Salvador established as the third Unitary presidential republic,18 February 1841,El Salvador was internationally recognized.,,,
El Salvador,16-Dec-83,Constitution of El Salvador established as the third Unitary presidential republic,24 June 1865,Independence recognized by Spain,,,
Grenada,30-Sep-78,Paul Scoon Takes power after the US Invasion Which Ousted the PRG,27-Feb-67,Associated state of the United Kingdom,,,
Grenada,30-Sep-78,Paul Scoon Takes power after the US Invasion Which Ousted the PRG,07-Feb-74,Full independence from the United Kingdom,,,
Guatemala,31-May-85,Constitution of Guatemala established,15 September 1821,"Guatemala becomes state in Federal Republic of Central America, which declared independence from Spain",,,
Guatemala,31-May-85,Constitution of Guatemala established,17 April 1839,Independence from Federal Republic of Central America declared,,,
Guatemala,31-May-85,Constitution of Guatemala established,29 May 1863,Independence recognized by Spain,,,
Guyana,,,26-May-66,Independence from the United Kingdom,,,
Haiti,Mar-87,Constitution of 1987 (superseded),1 January 1804,The French colony Saint-Domingue gains independence as Haiti,27 February 1844,The Dominican Republic gains independence from Haiti,
Haiti,Mar-87,Constitution of 1987 (superseded),1 January 1804,The French colony Saint-Domingue gains independence as Haiti,09-May-36,Haiti and the Dominican Republic sign a treaty setting a definitive border.,
Honduras,11-Jan-82,Constitution of Honduras.,15 September 1821,"Honduras becomes state in Federal Republic of Central America, which declared independence from Spain",01-Sep-72,Swan Islands returned to Honduras from United States occupation,
Honduras,11-Jan-82,Constitution of Honduras.,26 October 1838,Independence from Federal Republic of Central America,01-Sep-72,Swan Islands returned to Honduras from United States occupation,
Honduras,11-Jan-82,Constitution of Honduras.,17 November 1894,Independence from Spain recognized,01-Sep-72,Swan Islands returned to Honduras from United States occupation,
Jamaica,,,06-Aug-62,Independence from the United Kingdom,,,
Mexico,07-Feb-17,Constitution of Mexico,16 September 1810,Independence from Spain declared,30 December 1853,Gadsden Purchase,
Mexico,07-Feb-17,Constitution of Mexico,27 September 1821,Declaration of Independence of the Mexican Empire,30 December 1853,Gadsden Purchase,
Mexico,07-Feb-17,Constitution of Mexico,28 December 1836,Declaration of Independence recognized by Spain,30 December 1853,Gadsden Purchase,
Nicaragua,09-Jan-87,Constitution of Nicaragua established,15 September 1821,"Nicaragua becomes state in Federal Republic of Central America, which declared independence from Spain",,,
Nicaragua,09-Jan-87,Constitution of Nicaragua established,5 November 1838,Independence from Federal Republic of Central America,,,
Nicaragua,09-Jan-87,Constitution of Nicaragua established,24 July 1850,Independence recognized by Spain,,,
Panama,11-Oct-72,Constitution of Panama established,03-Nov-03,Independence from Colombia,31-Dec-99,Sovereignty of Panama Canal Zone transferred to Panama from the United States,
Panama,11-Oct-72,Constitution of Panama established,10-May-04,Independence from Spain recognized,31-Dec-99,Sovereignty of Panama Canal Zone transferred to Panama from the United States,
Paraguay,20-Jun-92,Democratic Constitution of Paraguay,14 May 1811,Independence from Spain declared,1938,Paraguay awarded a large portion of the Gran Chaco as a result of the Chaco War,
Paraguay,20-Jun-92,Democratic Constitution of Paraguay,10 September 1880,Independence from Spain recognized,1938,Paraguay awarded a large portion of the Gran Chaco as a result of the Chaco War,
Peru,31-Dec-93,Constitution of Peru established,28 July 1821,Independence from Spain declared,26-Feb-42,Rio Protocol ends border dispute with Ecuador,
Peru,31-Dec-93,Constitution of Peru established,14 August 1879,Independence from Spain recognized,26-Feb-42,Rio Protocol ends border dispute with Ecuador,
Saint Kitts and Nevis,,,27-Feb-67,Associated state of the United Kingdom,19-Dec-80,Anguilla separated from Saint Christopher-Nevis-Anguilla,
Saint Kitts and Nevis,19-Sep-83,Independence from the United Kingdom,,,,,
Saint Lucia,,,27-Feb-67,Associated statehood,,,
Saint Lucia,22-Feb-79,Independence from the United Kingdom,,,,,
Saint Vincent and the Grenadines,,,27-Oct-69,Associated statehood,,,
Saint Vincent and the Grenadines,27-Oct-79,Independence from the United Kingdom,,,,,
Suriname,,,15-Dec-54,Self-government granted,,,
Suriname,25-Nov-75,Independence from Netherlands,,,,,
Trinidad and Tobago,,,31-Aug-62,Independence from the United Kingdom,,,
United States,4 March 1789,"United States Constitution enters into force, replacing the previous Articles of Confederation and creating a new system of government",4 July 1776,Independence from Great Britain declared,07-Sep-81,Insular area:The United States cedes Serrana Bank and Roncador Bank to the Republic of Colombia as a result of a treaty signed in 1972,
United States,4 March 1789,"United States Constitution enters into force, replacing the previous Articles of Confederation and creating a new system of government",3 September 1783,Independence from Great Britain recognized,07-Sep-81,Insular area:The United States cedes Serrana Bank and Roncador Bank to the Republic of Colombia as a result of a treaty signed in 1972,
Uruguay,08-Dec-96,1996 Uruguayan constitutional referendum,25 August 1825,"Independence from Empire of Brazil declared, joined in union with United Provinces of the Rﾃｭo de la Plata (current Argentina).",,,
Uruguay,08-Dec-96,1996 Uruguayan constitutional referendum,27 August 1828,"Treaty of Montevideo signed, recognizing Uruguay's independence by Brazil",,,
