0,1,2,3,4,5,6,7,8
Afghanistan,38,Kader Khan,http://www.wikidata.org/entity/Q3191765,wd:Q3191765,2886006,"Indian-Canadian film actor, script and dialogue writer","Kader Khan  (22 October 1937 – 31 December 2018) was an Indian actor, screenwriter and film director. As an actor, he appeared in over 300 Bollywood films after his debut film in the 1973 film Daag, starring Rajesh Khanna, in which he acted as a prosecuting attorney. He was a prolific actor and screenwriter in Hindi cinema in the period late 1970s to 90s and wrote dialogues for 200 films. Khan graduated from Ismail Yusuf College affiliated to Bombay University. Before entering the film industry in the early 1970s, he taught at M. H. Saboo Siddik College of Engineering, Mumbai, as a professor of civil engineering.

",https://en.wikipedia.org/wiki/Kader_Khan
Albania,83,Masiela Lusha,http://www.wikidata.org/entity/Q37944,wd:Q37944,656544,American actress and author,"Masiela Lusha (; born October 23, 1985) is an Albanian-born American actress and author. She gained recognition for playing Carmen Lopez on the globally syndicated ABC sitcom George Lopez, a role that earned her two consecutive Young Artist Awards for Leading Young Actress in a Comedy or Drama. After transitioning into film, she starred in Sony Pictures’ Blood: The Last Vampire. Lusha also starred alongside David Hasselhoff and Ian Ziering in SyFy's television movie Sharknado: The 4th Awakens.Lusha made her acting debut in Summoning in 2001. That same year, she made her television debut in the Disney Channel series, Lizzie McGuire. Lusha appeared as a main cast member in Clifford's Puppy Days (2003-2005) for PBS, and also appeared in Law & Order: Criminal Intent, and Anger Management. Lusha starred in movies comprising a variety of genres, including  Cherry Bomb (2004), My Father's Eulogy (2007), Muertas (2007), Time of the Comet (2008), Ballad of Broken Angels (2009), Kill Katie Malone (2010), Dragonfyre (2013), The Architect (2014), Of Silence (2014), Fatal Instinct (2014), and Branded (2016).
In 2010, Lusha was appointed ambassador of Prince Harry's charity Sentebale.  In 2014, Lusha was made the World Assembly of Youth's goodwill ambassador. Lusha is an advocate for UN Women.Lusha has written five books of poetry, Inner Thoughts, Drinking the Moon, Amore Celeste, The Call, The Living Air; a novel, The Besa; and two children's books. Lusha has written poetry and translated it into Albanian. She has translated poems and prayers by Mother Teresa.",https://en.wikipedia.org/wiki/Masiela_Lusha
Algeria,54,Daniel Auteuil,http://www.wikidata.org/entity/Q106303,wd:Q106303,323818,French actor and director,"Daniel Auteuil (French: [danjɛl otœj]; born 24 January 1950) is a French actor and director who has appeared in a wide range of film genres, including period dramas, romantic comedies, and crime thrillers. In 1996 he won the Best Actor Award at the Cannes Film Festival together with Belgian actor Pascal Duquenne. He is also the winner of two César Awards for Best Actor, one in 1987 as Ugolin Soubeyran in Jean de Florette and Manon des Sources and one for his role in Girl on the Bridge. For his role in Jean de Florette he also won the BAFTA Award for Best Actor in a Supporting Role. Auteuil is considered one of France's most respected actors.",https://en.wikipedia.org/wiki/Daniel_Auteuil
Andorra,6,Isak Ferriz,http://www.wikidata.org/entity/Q5921023,wd:Q5921023,67240233,Andorran actor,"Isaac ""Isak"" Férriz Álvaro (born 20 June 1979) is an Andorran-born actor and director based in Barcelona.",https://en.wikipedia.org/wiki/Isak_F%C3%A9rriz
Angola,11,Helena Morena,http://www.wikidata.org/entity/Q27267640,wd:Q27267640,55745752,Angolan actress,"Helena Moreno (born 28 February 1989), also known as Helena Morena, is an Angolan actress who has appeared in several Angolan telenovela series. Outside of entertainment, she has worked as a Portuguese language teacher.",https://en.wikipedia.org/wiki/Helena_Moreno_(actress)
Antigua and Barbuda,8,Vivian Bonnell,http://www.wikidata.org/entity/Q28002408,wd:Q28002408,52570280,actor and calypso singer (1924-2003),"Vivian Bonnell (born Enid Mosier, May 23, 1924 – November 18, 2003) was an actress and calypso singer, originally from Antigua, British West Indies. In 1954, she starred opposite Pearl Bailey in the Broadway musical House of Flowers. She and her fellow cast members recorded calypso albums as ""Enid Mosier and her Trinidad Steel Band"". She later married one of those performers, Austin Stoker.After changing her name, Bonnell went on to appear in a number of films and television shows, including several American TV movies. She died of complications from diabetes in Los Angeles on November 18, 2003, at the age of 79.",https://en.wikipedia.org/wiki/Vivian_Bonnell
Argentina,101,Eva Perón,http://www.wikidata.org/entity/Q40933,wd:Q40933,51584,Argentinian actress and politician (1919-1952),"María Eva Duarte de Perón (Spanish pronunciation: [maˈɾi.a ˈeβa ˈðwaɾte ðe peˈɾon]; née María Eva Duarte; 7 May 1919 – 26 July 1952), better known as just Eva Perón or by the nickname Evita (Spanish: [eˈβita]), was an Argentine politician, activist, actress, and philanthropist who served as First Lady of Argentina from June 1946 until her death in July 1952, as the wife of Argentine President Juan Domingo Perón (1895–1974). She was born in poverty in the rural village of Los Toldos, in the Pampas, as the youngest of five children. In 1934, at the age of 15, she moved to the nation's capital of Buenos Aires to pursue a career as a stage, radio, and film actress.
She met Colonel Juan Perón on 22 January 1944 during a charity event at the Luna Park Stadium to benefit the victims of an earthquake in San Juan, Argentina. The two were married the following year. Juan Perón was elected President of Argentina in June 1946; during the next six years, Eva Perón became powerful within the pro-Peronist trade unions, primarily for speaking on behalf of labor rights. She also ran the Ministries of Labor and Health, founded and ran the charitable Eva Perón Foundation, championed women's suffrage in Argentina, and founded and ran the nation's first large-scale female political party, the Female Peronist Party.
In 1951, Eva Perón announced her candidacy for the Peronist nomination for the office of Vice President of Argentina, receiving great support from the Peronist political base, low-income and working-class Argentines who were referred to as descamisados or ""shirtless ones"". Opposition from the nation's military and bourgeoisie, coupled with her declining health, ultimately forced her to withdraw her candidacy. In 1952, shortly before her death from cancer at 33, Eva Perón was given the title of ""Spiritual Leader of the Nation"" by the Argentine Congress. She was given a state funeral upon her death, a prerogative generally reserved for heads of state.
Eva Perón has become a part of international popular culture, most famously as the subject of the musical Evita (1976).  Cristina Álvarez Rodríguez claims that Evita has never left the collective consciousness of Argentines. Cristina Fernández de Kirchner, the second woman elected president of Argentina (after Isabel Perón), claims that women of her generation owe a debt to Eva for ""her example of passion and combativeness"".",https://en.wikipedia.org/wiki/Eva_Per%C3%B3n
Armenia,49,Armen Dzhigarkhanyan,http://www.wikidata.org/entity/Q471740,wd:Q471740,3079914,"Armenian, Soviet, Russian actor (1935-2020)","Armen Borisovich Dzhigarkhanyan (Russian: Армен Борисович Джигарханян; Armenian: Արմեն Բորիսի Ջիգարխանյան, romanized: Armen Borisi Jigarkhanyan; pronounced [dʒiɡɑrχɑnjɑn]; 3 October 1935 – 14 November 2020) was a Soviet, Armenian, and Russian actor.
Born and raised in Yerevan, Dzhigarkhanyan started acting in the academic and Russian theaters of the city, before moving to Moscow to continue stage acting. Since 1960, he appeared in a number of Armenian films. He became popular in the 1970s with the various roles he portrayed in Soviet films like The New Adventures of the Elusive Avengers (1968), its sequel The Crown of the Russian Empire, or Once Again the Elusive Avengers (1971) and The Meeting Place Cannot Be Changed (1979). After almost 30 years on the stage of the Mayakovsky Theatre, Dzhigarkhanyan taught at VGIK and in 1996 he founded his own drama theater in Moscow.
With more than 250 appearances, Dzhigarkhanyan, one of the most renowned film and stage Armenian and Russian actors, appeared in more films than any other Russian actor.

",https://en.wikipedia.org/wiki/Armen_Dzhigarkhanyan
Australia,125,Nicole Kidman,http://www.wikidata.org/entity/Q37459,wd:Q37459,21504,"Australian-American actress, producer, and model","Nicole Mary Kidman  (born 20 June 1967) is an American and Australian actress and producer. Known for her work across various film and television productions from several genres, she has consistently ranked among the world's highest-paid actresses. She is the recipient of numerous accolades, including an Academy Award, a British Academy Film Award, two Primetime Emmy Awards and six Golden Globe Awards.
Kidman began her acting career in Australia with the 1983 films Bush Christmas and BMX Bandits. Her breakthrough came in 1989 with the thriller film Dead Calm and the miniseries Bangkok Hilton. In 1990, she achieved international success with the action film Days of Thunder. She received greater recognition with lead roles in Far and Away (1992), Batman Forever (1995), To Die For (1995) and Eyes Wide Shut (1999). For her portrayal of writer Virginia Woolf in the drama The Hours (2002), Kidman won the Academy Award for Best Actress. She received additional Academy Award nominations for her roles in the musical Moulin Rouge! (2001) and the dramas Rabbit Hole (2010), Lion (2016) and Being the Ricardos (2021).
Kidman's television roles include Hemingway & Gellhorn (2012), Big Little Lies (2017–2019), Top of the Lake: China Girl (2017), The Undoing (2020) and Nine Perfect Strangers (2021). For Big Little Lies, she received two Primetime Emmy Awards, one for Outstanding Lead Actress and the other for Outstanding Limited Series as an executive producer.
Kidman has served as a Goodwill Ambassador for UNICEF since 1994 and for UNIFEM since 2006. In 2006, she was appointed Companion of the Order of Australia. She was married to actor Tom Cruise from 1990 to 2001 and has been married to country music singer Keith Urban since 2006. In 2010, she founded the production company Blossom Films. In 2004 and 2018, Time magazine included her on its list of the 100 most influential people in the world, and in 2020, The New York Times named her one of the greatest actors of the 21st century.

",https://en.wikipedia.org/wiki/Nicole_Kidman
Austria,144,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685,wd:Q2685,1806,"Austrian-American actor, bodybuilder, and politician (born 1947)","Arnold Alois Schwarzenegger (born July 30, 1947) is an Austrian and American actor, film producer, businessman, retired professional bodybuilder and politician who served as the 38th governor of California between 2003 and 2011. Time magazine named Schwarzenegger one of the 100 most influential people in the world in 2004 and 2007.Schwarzenegger began lifting weights at the age of 15 and went on to win the Mr. Universe title at age 20 and subsequently won the Mr. Olympia title seven times. He is widely regarded as one of the greatest bodybuilders of all time, and has written many books and articles about bodybuilding. The Arnold Sports Festival, considered the second-most important bodybuilding event after Mr. Olympia, is named after him. He appeared in the bodybuilding documentary Pumping Iron (1977). Schwarzenegger retired from bodybuilding and gained worldwide fame as a Hollywood action star, with his breakthrough in the sword and sorcery epic Conan the Barbarian (1982), a box-office hit with a sequel in 1984. After playing the title character in the science fiction film The Terminator (1984), he starred in the sequels Terminator 2: Judgment Day (1991), Terminator 3: Rise of the Machines (2003), Terminator Genisys (2015), and Terminator: Dark Fate (2019). His other successful action films included Commando (1985), The Running Man (1987), Predator (1987), Red Heat (1988), Total Recall (1990), and True Lies (1994), in addition to comedy films such as Twins (1988), Kindergarten Cop (1990), Junior (1994), and Jingle All the Way (1996). He is the founder of the film production company Oak Productions.As a Republican candidate, Schwarzenegger was first elected on October 7, 2003, in a special recall election to replace then-Governor Gray Davis. He received 48.6% of the vote, 17 points ahead of Democrat runner-up Cruz Bustamante. He was sworn in on November 17 to serve the remainder of Davis' term, and was re-elected in the 2006 California gubernatorial election with an increased vote share of 55.9% to serve a full term as governor. In 2011, he reached his term limit as governor and returned to acting.
Schwarzenegger was nicknamed the ""Austrian Oak"" in his bodybuilding days, ""Arnie"" or ""Schwarzy"" during his acting career, and ""the Governator"" (a portmanteau of ""Governor"" and ""Terminator"") during his political career. He married Maria Shriver, a niece of President John F. Kennedy, in 1986. They separated in 2011 after he admitted to having fathered a child with their housemaid in 1997; their divorce was finalized in 2021.",https://en.wikipedia.org/wiki/Arnold_Schwarzenegger
