0,1,2,3,4,5,6
Albania,1[note 1],2,1,4,2.0,Europe and North America
Algeria,,6,1,7,,Arab States
Andorra,,1,,1,,Europe and North America
Angola,,1,,1,,Africa
Antigua and Barbuda,,1,,1,,Latin America and the Caribbean
Argentina,5,6[note 2][note 3][note 4],,11,3.0,Latin America and the Caribbean
Armenia,,2,1,3,,Europe and North America
Australia,12,4,4,20,,"Asia and the Pacific, Antarctica"
Austria,1[note 1],11[note 5][note 6],,12,4.0,Europe and North America
Azerbaijan,,3,,3,,Europe and North America
Bahrain,,3,,3,,Arab States
Bangladesh,1,2,,3,,Asia and the Pacific
Barbados,,1,,1,,Latin America and the Caribbean
Belarus,1[note 7],3[note 8],,4,2.0,Europe and North America
Belgium,1[note 1],14[note 9][note 3],,15,5.0,Europe and North America
Belize,1,,,1,,Latin America and the Caribbean
Benin,1[note 10],1,,2,1.0,Africa
Bolivia,1,6[note 4],,7,1.0,Latin America and the Caribbean
Bosnia and Herzegovina,1,3[note 11],,4,2.0,Europe and North America
Botswana,1,1,,2,,Africa
Brazil,7,15[note 2],1,23,1.0,Latin America and the Caribbean
Bulgaria,3[note 1],7,,10,1.0,Europe and North America
Burkina Faso,1[note 10],2,,3,1.0,Africa
Cambodia,,3,,3,,Asia and the Pacific
Cameroon,2[note 12],,,2,1.0,Africa
Canada,10[note 13],9,1,20,2.0,Europe and North America
Cape Verde,,1,,1,,Africa
Central African Republic,2[note 12],,,2,1.0,Africa
Chad,1,,1,2,,Africa
Chile,,6[note 4],,6,1.0,Latin America and the Caribbean
China,14,38[note 14],4,56,1.0,Asia and the Pacific
Colombia,2,6[note 4],1,9,1.0,Latin America and the Caribbean
Congo,1[note 12],,,1,1.0,Africa
Costa Rica,3[note 15],1,,4,1.0,Latin America and the Caribbean
Cﾃｴte d'Ivoire,3[note 16],2,,5,1.0,Africa
Croatia,2,8[note 11],,10,3.0,Europe and North America
Cuba,2,7,,9,,Latin America and the Caribbean
Cyprus,,3,,3,,Europe and North America
Czech Republic,,16[note 17],,16,2.0,Europe and North America
Democratic People's Republic of Korea,,2,,2,,Asia and the Pacific
Democratic Republic of the Congo,5,,,5,,Africa
Denmark,3,7,,10,1.0,Europe and North America
Dominica,1,,,1,,Latin America and the Caribbean
Dominican Republic,,1,,1,,Latin America and the Caribbean
Ecuador,2,3[note 4],,5,1.0,Latin America and the Caribbean
Egypt,1,6,,7,,Arab States
El Salvador,,1,,1,,Latin America and the Caribbean
