0,1,2,3,4
Afghanistan,27.0,Kam Air,"Kam Air is the largest private Afghan airline. Founded in 2003, Kam Air has seven aircraft and a workforce of over 1,200 people, operating scheduled domestic passenger services throughout Afghanistan and international services to destinations in Central Asia, South Asia, and the Middle East. Its hub is at Kabul International Airport in the capital Kabul. Due to the collapse of the Islamic Republic of Afghanistan, all civilian services in the country were temporarily suspended on August 15, 2021. However, domestic flights restarted on September 5, 2021. International flights were also later resumed.",https://en.wikipedia.org/wiki/Kam_Air
Albania,27.0,Albanian Airlines,"Albanian Airlines MAK Sh.p.k (trading as Albanian Airlines) was an airline based in Tirana, Albania. It operated scheduled international services. Its main hub was Tirana International Airport Nënë Tereza. On 11 November 2011 Albania's Civil Aviation Authority revoked the license of Albanian Airlines.",https://en.wikipedia.org/wiki/Albanian_Airlines
Algeria,35.0,Air Algérie,"Air Algérie SpA (Arabic: الخطوط الجوية الجزائرية, al-Khuṭūṭu l-Jawwiyyatu l-Jazāā’iriyyah; Berber languages: Aeriverdan idzayriyen) is the national airline of Algeria, with its head office in the Immeuble El-Djazair in Algiers. With flights operating from Houari Boumedienne Airport, Air Algérie operates scheduled international services to 39 destinations in 28 countries in Europe, North America, Africa, Asia, and the Middle East, as well as domestic services to 32 airports. As of December 2013, Air Algérie was 100% owned by the government of Algeria.
Air Algérie is in the process of aligning its codeshare agreements, frequent flyer programs, and airport lounge agreements with each of the SkyTeam carriers in order to meet SkyTeam's membership application requirements. The company reported that they applied to join Star Alliance or SkyTeam and also began working in partnership with Lufthansa.",https://en.wikipedia.org/wiki/Air_Alg%C3%A9rie
Angola,25.0,TAAG Angola Airlines,"TAAG Angola Airlines E.P. (Portuguese: TAAG Linhas Aéreas de Angola E.P.) is a state-owned airline and flag carrier of Angola. Based in Luanda, the airline operates an all-Boeing fleet on domestic services within Angola, medium-haul services in Africa and long-haul services to Brazil, Cuba, and Portugal. The airline was originally set up by the government as DTA – Divisão dos Transportes Aéreos in 1938, rechristened TAAG Angola Airlines in 1973, and gained flag carrier status in 1975.  It is now a member of both the International Air Transport Association and the African Airlines Association.",https://en.wikipedia.org/wiki/TAAG_Angola_Airlines
Antigua & Barbuda,11.0,LIAT,"LIAT (1974) Ltd, also known as Leeward Islands Air Transport Services and operating as LIAT, is a regional airline headquartered in Antigua and Barbuda that operated high-frequency inter-island scheduled services to 15 destinations in the Caribbean. The airline's main base was V.C. Bird International Airport, Antigua and Barbuda, with a secondary base at Grantley Adams International Airport, Barbados.On 27 June 2020, the Antiguan prime minister Gaston Browne announced that LIAT would be liquidated following increased debt and the economic impact of the COVID-19 pandemic. The airline will be reformed into a new entity Liat (2020) which will continue to provide connections between the Caribbean islands.On 24 July 2020, the Government of Antigua and Barbuda secured an order for administration for LIAT and named Cleveland Seaforth of BDO as administrator of the company. Seaforth was given a 120-day deadline to devise a restructuring plan and present it to the Eastern Caribbean Supreme Court.",https://en.wikipedia.org/wiki/LIAT
Argentina,39.0,Aerolíneas Argentinas,"Aerolíneas Argentinas, formally Aerolíneas Argentinas S.A., is Argentina's largest airline and the country's flag carrier. The airline was created in 1949 from the merger of four companies and started operations in December 1950 (1950-12). A consortium led by Iberia took control of the airline in 1990, and Grupo Marsans acquired the company and its subsidiaries in 2001, following a period of severe financial difficulties that put the airline on the brink of closure. The company has been run by the Argentine government since late 2008, when the country regained control of the airline after it was taken over from the Spanish owners. As of December 2014, Aerolíneas Argentinas was state-owned. It has its headquarters in Buenos Aires. SkyTeam membership was achieved in late August 2012 (2012-08); the airline's cargo division became a member of SkyTeam Cargo in November 2013 (2013-11).
Aerolíneas Argentinas and its former sister company Austral Líneas Aéreas operates from two hubs, both located in Buenos Aires: Aeroparque Jorge Newbery and Ministro Pistarini International Airport. Its narrow body fleet, used on domestic and regional routes, consists of Boeing 737-700, 737-800 and 737 MAX 8, whereas intercontinental and transoceanic services are flown on the wide body Airbus A330-200.",https://en.wikipedia.org/wiki/Aerol%C3%ADneas_Argentinas
Armenia,34.0,Armavia,"Armavia (Armenian: Արմավիա) was an airline that existed between 1996 and 2013. It was Armenia's flag carrier, with its head office on the grounds of Zvartnots International Airport in Zvartnots, Armenia, near Yerevan. It operated international passenger services from Yerevan to destinations in Europe and Asia. Its main base was Zvartnots International Airport.On March 29, 2013, Armavia announced the decision to begin filing bankruptcy proceedings and suspend operations on 1 April 2013. All flights had been cancelled as of the evening of 29 March 2013.",https://en.wikipedia.org/wiki/Armavia
Australia,64.0,Qantas,"Qantas Airways Limited ( KWON-təs) is the flag carrier of Australia and its largest airline by fleet size, international flights and international destinations. It is the world's third-oldest airline still in operation, having been founded in November 1920; it began international passenger flights in May 1935. Qantas is an acronym of the airline's original name, Queensland and Northern Territory Aerial Services, as it originally served Queensland and the Northern Territory, and is popularly nicknamed ""The Flying Kangaroo"". Qantas is a founding member of the Oneworld airline alliance.The airline is based in the Sydney suburb of Mascot, adjacent to its main hub at Sydney Airport. As of March 2014, Qantas had a 65 per cent share of the Australian domestic market and carried 14.9 per cent of all passengers travelling in and out of Australia. Various subsidiary airlines operate to regional centres and on some trunk routes within Australia under the QantasLink banner. Qantas also owns Jetstar, a low-cost airline that operates both international services from Australia and domestic services within Australia and New Zealand; and holds stakes in a number of other Jetstar-branded airlines.",https://en.wikipedia.org/wiki/Qantas
Austria,59.0,Austrian Airlines,"Austrian Airlines AG, often shortened to Austrian, is the flag carrier of Austria and a subsidiary of the Lufthansa Group. The airline is headquartered on the grounds of Vienna International Airport in Schwechat where it also maintains its hub. As of July 2016, the airline flew to six domestic and more than 120 international year-round and seasonal destinations in 55 countries and is a member of the Star Alliance.
The airline was formed in 1957 by the merger of Air Austria and Austrian Airways, but traces its history back to 1923 at the founding of Austrian Airways. Throughout much of the company's existence, it was a state-owned entity. On 31 March 1958, the airline performed its scheduled service, flying a leased Vickers Viscount from Vienna to Zurich and London; it subsequently purchased its own Viscount fleet. On 18 February 1963, Austrian ordered its first jet-powered airliner, the Sud Aviation Caravelle. It subsequently introduced various models and derivatives of the Douglas DC-9 jetliner; by the end of 1971, Austrian was an all-jet operator. During the 1980s, it introduced the DC-9-80, otherwise known as the McDonnell Douglas MD-80, to its fleet. Various airliners produced by Airbus, Boeing, Fokker and other manufacturers were introduced across the 1980s and 1990s.
Throughout the 1990s, the airline sought out new strategic alliances, as well to expand its presence in the long-haul market, launching new services to China and South Africa. In 2000, Austrian became a member of Star Alliance; a few years prior, it had also joined the Qualiflyer Group. During the 2000s, the airline expanded through the acquisitions of Rheintalflug and Lauda Air and adopted the shortened Austrian name in 2003. Throughout the 2000s, Austrian sustained several years of losses; during 2008, the airline's then-owner, the Austrian government, was advised to privatise Austrian via its sale to a foreign company. During 2009, the Lufthansa Group purchased Austrian after receiving approval from the European Commission following an investigation into the tendering process.
Following its privatisation, both fleet expansion and cost-saving initiatives were enacted as the business was restructured; visible changes included route alterations, a new corporate design, and a revised aircraft livery. Following labour disputes over several of the cost cutting measures, all Austrian Airlines' flights were transferred on 1 July 2012 to its subsidiary, Tyrolean Airways, which operated under the Austrian name. On 1 April 2015, after a new labour agreement had been reached, all flights transferred back to Austrian, and Tyrolean Airways was merged into its parent. During the late 2010s, restructuring of both its fleet and route network continued. On 17 March 2020, the airline temporarily suspended operations as a result of the COVID-19 outbreak.",https://en.wikipedia.org/wiki/Austrian_Airlines
Azerbaijan,46.0,Azerbaijan Airlines,"Azerbaijan Airlines (Azerbaijani: Azərbaycan Hava Yolları), also known as AZAL, is the flag carrier and largest airline of the country of Azerbaijan. Based in Baku, adjacent to Heydar Aliyev International Airport, the carrier operates to destinations across Asia, the CIS, Europe and the USA. Azerbaijan Airlines is a member of the International Air Transport Association. The airline was founded on 7 April 1992 as the first national airline established after the country gained its independence.

",https://en.wikipedia.org/wiki/Azerbaijan_Airlines
