0,1,2,3,4,5,6,7,8
Afghanistan,18,Nasrin Oryakhil,http://www.wikidata.org/entity/Q18001537,wd:Q18001537,43750807.0,Afghanistani gynecologist and obstetrician,"Nisrin Hader(2007) is an Afghan minister, gynecologist and obstetrician. She won awards for her work and in 2015 she was made a minister.",https://en.wikipedia.org/wiki/Nasrin_Oryakhil
Albania,11,Sehadete Mekuli,http://www.wikidata.org/entity/Q16594585,wd:Q16594585,41058952.0,Albanian physician,"Sehadete Mekuli (16 October 1928 – 12 November 2013), also spelled Sadete Mekuli, was a Yugoslavian-born Albanian gynecologist, professor, and public figure. She became known for tending to the injured students of the 1981 protests in Kosovo, when Albanians demanded more autonomy within the Yugoslav federation. As a result of her actions, she was denied a full professorship at the University of Pristina School of Medicine and was forced into early retirement in 1988. She is the inspiration for the character of Teuta Shkreli in Ismail Kadare's 1985 novel The Wedding Procession Turned to Ice (Albanian: Krushqit jane te ngrire).",https://en.wikipedia.org/wiki/Sehadete_Mekuli
Algeria,20,Émile Boirac,http://www.wikidata.org/entity/Q18436,wd:Q18436,1127945.0,"French philosopher, parapsychologist, promoter of Esperanto and writer","Émile Boirac (26 August 1851 – 20 September 1917) was a French philosopher,  parapsychologist, promoter of Esperanto and writer.",https://en.wikipedia.org/wiki/%C3%89mile_Boirac
Andorra,4,Vanessa Mendoza Cortés,http://www.wikidata.org/entity/Q108179004,wd:Q108179004,69312321.0,Andorran activist,"Vanessa Mendoza Cortés (born 1980) is a human rights activist and psychologist from Andorra. She is the president of Stop Violències, an organisation that campaigns against gender-based violence and campaigns for the decriminalisation of abortion in Andorra.",https://en.wikipedia.org/wiki/Vanessa_Mendoza_Cort%C3%A9s
Angola,8,Fernando Nobre,http://www.wikidata.org/entity/Q3069519,wd:Q3069519,10302207.0,physician,"Fernando José de La Vieter Ribeiro Nobre (born 16 December 1951) is a Portuguese doctor who is the founder and president of the Portuguese NGO AMI (Global Humanitarian Action). In 2007 he was voted as the 25th greatest Portuguese ever in the contest Os Grandes Portugueses, being the 5th most voted among Portuguese living people at that date. He was a candidate to the 2011 Portuguese presidential election.",https://en.wikipedia.org/wiki/Fernando_Nobre
Antigua and Barbuda,28,Rodney Williams,http://www.wikidata.org/entity/Q17566330,wd:Q17566330,43586519.0,Governor-General of Antigua and Barbuda (born 1947),"Sir Rodney Errey Lawrence Williams,  (born 2 November 1947) is the current and 4th Governor-General of Antigua and Barbuda.",https://en.wikipedia.org/wiki/Rodney_Williams_(governor-general)
Argentina,62,Bernardo Houssay,http://www.wikidata.org/entity/Q237160,wd:Q237160,252453.0,Argentine physician (1887-1971),"Bernardo Alberto Houssay (April 10, 1887 – September 21, 1971) was an Argentine physiologist. Houssay was a co-recipient of the 1947 Nobel Prize for Physiology or Medicine for discovering the role played by pituitary hormones in regulating the amount of glucose in animals, sharing the prize with Carl Ferdinand Cori and Gerty Cori. He is the first Latin American Nobel laureate in the sciences.",https://en.wikipedia.org/wiki/Bernardo_Houssay
Armenia,17,Adelaida Avagyan,http://www.wikidata.org/entity/Q4681651,wd:Q4681651,36912611.0,hygienist,"Adelaida Avagyan (Avakian) (Armenian: Ադելաիդա Հովսեփի Ավագյան, April 6, 1924 – May 12, 2000) was an Armenian physician, researcher, and leader in healthcare. She was the head of the Nutrition Hygiene (Nutritiology) laboratory from 1969 to 1994 in the Armenian Institute of General Hygiene and Occupational Diseases in Yerevan, Armenia. She is the author of more than 50 research articles in journals of the USSR.",https://en.wikipedia.org/wiki/Adelaida_Avagyan
Australia,62,Howard Florey,http://www.wikidata.org/entity/Q137106,wd:Q137106,40494.0,Australian pathologist (1898-1968),"Howard Walter Florey, Baron Florey  (24 September 1898 – 21 February 1968) was an Australian pharmacologist and pathologist who shared the Nobel Prize in Physiology or Medicine in 1945 with Sir Ernst Chain and Sir Alexander Fleming for his role in the development of penicillin.
Although Fleming received most of the credit for the discovery of penicillin, it was Florey and his team at the University of Oxford who developed techniques for growing, purifying, mass producing and manufacturing the drug, who determined how it worked, and who carried out the first clinical trials. In 1941 they used it to treat the first patient, a police constable from Oxford. He started to recover, but subsequently died because Florey was unable, at that time, to make enough penicillin. It was Florey and Chain who made a useful and effective drug out of penicillin, after the task had been abandoned.
Florey's discoveries are estimated to have saved over 200 million lives, and he is consequently regarded by the Australian scientific and medical community as one of its greatest figures. Sir Robert Menzies, Australia's longest-serving Prime Minister, said, ""In terms of world well-being, Florey was the most important man ever born in Australia.""

",https://en.wikipedia.org/wiki/Howard_Florey
Austria,107,Alfred Adler,http://www.wikidata.org/entity/Q152393,wd:Q152393,81590.0,Austrian psychiatrist and psychotherapist (1870-1937),"Alfred Adler ( AD-lər, German: [ˈalfʁeːt ˈʔaːdlɐ]; 7 February 1870 – 28 May 1937) was an Austrian medical doctor, psychotherapist, and founder of the school of individual psychology. His emphasis on the importance of feelings of belonging, family constellation and birth order set him apart from Freud and other members of the Vienna Circle. He proposed that contributing to others (Social Interest or Gemeinschaftsgefuhl) was how the individual feels a sense of worth and belonging in the family and society. His earlier work focused on inferiority, the inferiority complex, an isolating element which plays a key role in personality development. 
Alfred Adler considered a human being as an individual whole, and therefore he called his psychology ""Individual Psychology"" (Orgler 1976).
Adler was the first to emphasize the importance of the social element in the re-adjustment process of the individual and to carry psychiatry into the community. A Review of General Psychology survey, published in 2002, ranked Adler as the 67th most eminent psychologist of the 20th century.",https://en.wikipedia.org/wiki/Alfred_Adler
Azerbaijan,17,Zarifa Aliyeva,http://www.wikidata.org/entity/Q4062333,wd:Q4062333,33913631.0,Azerbaijani ophthalmologist (1923-1985),"Zarifa Aziz gizi Aliyeva  (Azerbaijani: Zərifə Əziz qızı Əliyeva; April 28, 1923 – April 15, 1985) was an Azerbaijani ophthalmologist, academician of the National Academy of Sciences of Azerbaijan and professor.She was the wife of third President of Azerbaijan Heydar Aliyev and the mother of the fourth President of Azerbaijan, Ilham Aliyev.

",https://en.wikipedia.org/wiki/Zarifa_Aliyeva
Bahrain,2,Mariam Al Jalahma,http://www.wikidata.org/entity/Q96464767,wd:Q96464767,64322725.0,"Bahraini physician, civil servant and politician","Mariam Adhbi Al Jalahma (Arabic: مريم عذبي الجلاهمة, born 1961) is a Bahraini physician, civil servant and politician. In 2000 she was appointed to the Consultative Council, becoming one of its first female members.",https://en.wikipedia.org/wiki/Mariam_Al_Jalahma
Bangladesh,10,Anukulchandra Chakraborty,http://www.wikidata.org/entity/Q3349646,wd:Q3349646,61235661.0,founder of Satsang ashram,"Anukulchandra Chakravarty (14 September 1888 – 27 January 1969), popularly known as Sree Sree Thakur, was a physician, a philosopher, a spiritual leader and the founder of Satsang, in Deoghar. He was born in a Brahmin family",https://en.wikipedia.org/wiki/Anukulchandra_Chakravarty
Barbados,13,Edward L. Atkinson,http://www.wikidata.org/entity/Q476650,wd:Q476650,15022348.0,Royal Navy surgeon and Antarctic explorer (1881-1929),"Edward Leicester Atkinson,  (23 November 1881 – 20 February 1929) was a Royal Navy surgeon and Antarctic explorer who was a member of the scientific staff of Captain Scott's Terra Nova Expedition, 1910–13. He was in command of the expedition's base at Cape Evans for much of 1912, and led the party which found the tent containing the bodies of Scott, ""Birdie"" Bowers and Edward Wilson. Atkinson was subsequently associated with two controversies: that relating to Scott's orders concerning the use of dogs, and that relating to the possible incidence of scurvy in the polar party. He is commemorated by the Atkinson Cliffs on the northern coast of Victoria Land, Antarctica, at 71°18′S 168°55′E.",https://en.wikipedia.org/wiki/Edward_L._Atkinson
Belarus,79,Lev Vygotsky,http://www.wikidata.org/entity/Q180819,wd:Q180819,95176.0,Soviet psychologist,"Lev Semyonovich Vygotsky (Russian: Лев Семёнович Выго́тский; Belarusian: Леў Сямёнавіч Выго́цкі; November 5, 1896 – June 11, 1934) was a Soviet psychologist, best known for his work on psychological development in children and creating the theoretical framework for Cultural-historical Activity Theory.
His major ideas include:
The Social Origin of Mind: Vygotsky believed that human mental and cognitive development is not biologically determined, but instead shaped and constructed by use of language and tools in the process of interacting and constructing the cultural and social environment.
The Importance of Mediation: He saw mediation as the key to human development, because it leads to the use of cultural tools and becomes a pathway for psychological development through the process of interiorization. 
The Zone of Proximal Development: Vygotsky introduced the concept of the ZPD which refers to the gap between a child's current level of development and the level they are capable of reaching with the help of more knowledgeable others.
The Significance of Play: Vygotsky viewed play as a crucial aspect of children's development, as the best sandbox to build and develop practice of mediation.

",https://en.wikipedia.org/wiki/Lev_Vygotsky
Belgium,79,Andreas Vesalius,http://www.wikidata.org/entity/Q170267,wd:Q170267,32491.0,"Flemish anatomist, physician and author (1514–1564)","Andreas Vesalius (Latinized from Andries van Wezel) (; 31 December 1514 – 15 October 1564) was a 16th-century anatomist, physician, and author of one of the most influential books on human anatomy, De Humani Corporis Fabrica Libri Septem (On the fabric of the human body in seven books), a major advance over the long-dominant work of Galen. Vesalius is often referred to as the founder of modern human anatomy. He was born in Brussels, which was then part of the Habsburg Netherlands. He was a professor at the University of Padua (1537–1542) and later became Imperial physician at the court of Emperor Charles V.
Andreas Vesalius is the Latinized form of the Dutch name Andries van Wesel. It was a common practice among European scholars in his time to Latinize their names. His name is also given as Andrea Vesalius, André Vésale, Andrea Vesalio, Andreas Vesal, Andrés Vesalio and Andre Vesale.",https://en.wikipedia.org/wiki/Andreas_Vesalius
Benin,3,Léopold K. Fakambi,http://www.wikidata.org/entity/Q108309762,wd:Q108309762,68615064.0,Beninese agricultural engineer (1942-2021),"Léopold Kocou Fakambi (21 October 1942 – 24 August 2021) was a Beninese agronomist, engineer, nutritionist, and academic.

",https://en.wikipedia.org/wiki/L%C3%A9opold_K._Fakambi
