0,1,2,3,4
Afghanistan,15.0,Battle of Parwan,"The Battle of Parwan was fought between Sultan Jalal ad-Din Mingburnu of the Khwarezmid Empire and the Mongols ruled by Genghis Khan in September 1221 CE at Parwan, north of Kabul, in present-day Afghanistan. Jalal ad-Din had previously attacked a detachment of Mongols near Wilan, which provoked Genghis Khan into sending an army of 30,000 troops under Shigi Qutuqu. As a result of the tactics adopted by Jalal ad-Din, the Mongol army was destroyed in a two-day battle. As news of the Mongol defeat spread, several cities, including Merv and Herat, which had previously surrendered and accepted Mongol rule, rebelled. In response, Genghis Khan moved to battle Jalal ad-Din, who had lost half of his troops to desertion due to a quarrel over the division of spoils after the battle, and was forced to move to Ghazni to prepare to retreat to India. Genghis Khan intercepted Jalal ad-Din's army as he was preparing to cross the Indus River, and in the ensuing battle he lost his army, treasury and family, but survived to eventually establish a power base in Punjab and Sindh.",https://en.wikipedia.org/wiki/Battle_of_Parwan
Albania,65.0,Battle of Actium,"The Battle of Actium was a naval battle fought between a maritime fleet of Octavian led by Marcus Agrippa and the combined fleets of both Mark Antony and Cleopatra VII Philopator. The battle took place on 2 September 31 BC in the Ionian Sea, near the former Roman colony of Actium, Greece, and was the climax of over a decade of rivalry between Octavian and Antony. 
In early 31 BC, the year of the battle, Antony and Cleopatra were temporarily stationed in Greece. Mark Antony possessed 500 ships and 70,000 infantry, and made his camp at Actium, and Octavian, with 400 ships and 80,000 infantry, arrived from the north and occupied Patrae and Corinth, where he managed to cut Antony’s southward communications with Egypt (via the Peloponnese) with help from Marcus Agrippa. Octavian previously gained a preliminary victory in Greece, where his navy successfully ferried troops across the Adriatic Sea under the command of Marcus Agrippa. Octavian landed on mainland Greece, opposite of the island of Corcyra (modern Corfu) and proceeded south, on land. 
Trapped on both land and sea, portions of Antony's army deserted and fled to Octavian's side (daily), and Octavian's forces became comfortable enough to make preparations for battle. Antony's fleet sailed through the bay of Actium on the western coast of Greece, in a desperate attempt to break free of the naval blockade. It was there that Antony's fleet faced the much larger fleet of smaller, more manoeuvrable ships under commanders Gaius Sosius and Agrippa. Antony and his remaining forces were spared only due to a last-ditch effort by Cleopatra's fleet that had been waiting nearby. Octavian pursued them and defeated their forces in Alexandria on 1 August 30 BC—after which Antony and Cleopatra committed suicide. 
Octavian's victory enabled him to consolidate his power over Rome and its dominions. He adopted the title of Princeps (""first citizen""), and in 27 BC was awarded the title of Augustus (""revered"") by the Roman Senate. This became the name by which he was known in later times. As Augustus, he retained the trappings of a restored Republican leader, but historians generally view his consolidation of power and the adoption of these honorifics as the end of the Roman Republic and the beginning of the Roman Empire.",https://en.wikipedia.org/wiki/Battle_of_Actium
Algeria,14.0,Bombardment of Algiers (1816),"The Bombardment of Algiers was an attempt on 27 August 1816 by Britain and the Netherlands to end the slavery practices of Omar Agha, the Dey of Algiers. An Anglo-Dutch fleet under the command of Admiral Edward Pellew, 1st Viscount Exmouth bombarded ships and the harbour defences of Algiers.
There was a continuing campaign by various European navies and the American navy to suppress the piracy against Europeans by the North African Barbary states. The specific aim of this expedition, however, was to free Christian slaves and to stop the practice of enslaving Europeans. To this end, it was partially successful, as the Dey of Algiers freed around 3,000 slaves following the bombardment and signed a treaty against the slavery of Europeans. However, this practice did not end completely until the French conquest of Algeria.",https://en.wikipedia.org/wiki/Bombardment_of_Algiers_(1816)
Andorra,39.0,Battle of Guadalete,"The Battle of Guadalete was the first major battle of the Umayyad conquest of Hispania, fought in 711 at an unidentified location in what is now southern Spain between the Christian Visigoths under their king, Roderic, and the invading forces of the Muslim Umayyad Caliphate, composed mainly of Berbers and some Arabs under the commander Ṭāriq ibn Ziyad. The battle was significant as the culmination of a series of Berber attacks and the beginning of the Umayyad conquest of Hispania. Roderic was killed in the battle, along with many members of the Visigothic nobility, opening the way for the capture of the Visigothic capital of Toledo.",https://en.wikipedia.org/wiki/Battle_of_Guadalete
Angola,4.0,Capture of Luanda,"Loango-Angola is the name for the possessions of the Dutch West India Company in contemporary Angola and the Republic of the Congo. Notably, the name refers to the colony that was captured from the Portuguese between 1641 and 1648. Due to the distance between Luanda and Elmina, the capital of the Dutch Gold Coast, a separate administration for the southern districts of Africa was established at Luanda during the period of the Dutch occupation.After Angola was recaptured by the Portuguese in 1648, Dutch trade with Loango-Angola did not stop, however. From about 1670 onward, the Dutch West India Company acquired slaves from the Loango region on a regular basis, and Dutch free traders continued this practice until after 1730.",https://en.wikipedia.org/wiki/Dutch_Loango-Angola
Antigua & Barbuda,1.0,Action of 10 February 1809,"The action of 10 February 1809 was a minor naval engagement of the Napoleonic Wars, in which a British Royal Navy squadron chased and captured the French frigate Junon in the Caribbean Sea. Junon was on a mission to carry trade goods from the Îles des Saintes near Guadeloupe back to France and was part of a succession of French warships sent during 1808 and the early months of 1809 in an effort to break the British blockade of the French Caribbean, which was destroying the economies and morale of the islands. Having landed supplies, Junon's return cargo was intended to improve the economic situation on Guadeloupe with much needed oceanic trade.
The patrolling British warships first sighted Junon in the Virgin Islands on 8 February. They then chased her north into the Atlantic Ocean for two days until the frigates HMS Horatio and HMS Latona were able to bring her to action. In a bitterly contested running engagement, Junon was badly damaged and suffered heavy casualties before surrendering to the numerically superior British force. She was later commissioned into the Royal Navy under the same name and remained in the Caribbean. Less than a year after her capture, a French convoy to Guadeloupe recaptured and destroyed Junon; the British subsequently intercepted and defeated the convoy in turn.",https://en.wikipedia.org/wiki/Action_of_10_February_1809
Argentina,37.0,May Revolution,"The May Revolution (Spanish: Revolución de Mayo) was a week-long series of events that took place from May 18 to 25, 1810, in Buenos Aires, capital of the Viceroyalty of the Río de la Plata. This Spanish colony included roughly the territories of present-day Argentina, Bolivia, Paraguay, Uruguay, and parts of Brazil. The result was the removal of Viceroy Baltasar Hidalgo de Cisneros and the establishment of a local government, the Primera Junta (First Junta), on May 25. 
The May Revolution was a direct reaction to Napoleon's invasion of Spain. In 1808, King Ferdinand VII of Spain abdicated in favor of Napoleon, who granted the throne to his brother, Joseph Bonaparte. A Supreme Central Junta led resistance to Joseph's government and the French occupation of Spain, but eventually suffered a series of reversals that resulted in the Spanish loss of the northern half of the country. On February 1, 1810, French troops took Seville and gained control of most of Andalusia. The Supreme Junta retreated to Cádiz, formed the Council of Regency of Spain and the Indies to govern, and dissolved itself. News of these events arrived in Buenos Aires on May 18, brought by British ships.
Viceroy Cisneros tried to maintain the political status quo, but a group of criollo lawyers and military officials organized an open cabildo (a special meeting of notables of the city) on May 22 to decide the future of the Viceroyalty. The Regency of Spain was the prelude to the Spanish Cortes of Cádiz of 1810 and the Spanish Constitution of 1812. All of these Spanish governments considered the Argentine Junta to be insurgent and denied it any legitimacy to govern the territories of the viceroyalty. At the other end, delegates of the Junta refused to recognize the Council of Regency in Spain and established a junta to govern in place of Cisneros, as the government that had appointed him Viceroy no longer existed. To maintain a sense of continuity, Cisneros was initially appointed president of the Junta. However, this caused much popular unrest, and so Cisneros resigned under pressure on May 25. The newly formed government, the Primera Junta, included only representatives from Buenos Aires and invited other cities of the Viceroyalty to send delegates to join them. The revolutionary army began the war and this resulted in the outbreak of a secessionist Civil war between the regions that accepted the outcome of the events at Buenos Aires and those that remained loyal to Spain.The May Revolution began the Argentine War of Independence, although no declaration of independence from Spain was issued at the time and the Primera Junta continued to govern in the name of the king, Ferdinand VII, as a subordinate king to popular sovereignty. As similar events occurred in many other cities of the continent, the May Revolution is also considered one of the early events of the Spanish American wars of independence. The question of the mask of Ferdinand is particularly controversial in Argentinean History. Historians today debate whether the revolutionaries were truly loyal to the Spanish crown, or whether the declaration of fidelity to the king was a necessary ruse to conceal the true objective—to achieve independence—from a population that was not yet ready to accept such a radical change, but there is strong evidence of the truly loyal to the Spanish crown. The Argentine Declaration of Independence was issued at the Congress of Tucumán on July 9, 1816.",https://en.wikipedia.org/wiki/May_Revolution
Armenia,18.0,Battle of Artaxata,"The Battle of Artaxata was fought near the Arsanias River in 68 BC between an army of the Roman Republic and the army of the Kingdom of Armenia. The Romans were led by proconsul Lucius Licinius Lucullus, while the Armenians were led by Tigranes II of Armenia, who was sheltering Mithridates VI of Pontus. The battle was part of the Third Mithridatic War, and was a Roman victory.",https://en.wikipedia.org/wiki/Battle_of_Artaxata
Australia,7.0,Australian frontier wars,"The Australian frontier wars were the violent conflicts between Indigenous Australians (including both Aboriginal Australians and Torres Strait Islanders) and non-Indigenous settlers during the colonisation of Australia. The first conflict took place several months after the landing of the First Fleet in January 1788, and the last frontier conflicts occurred into the early 20th century, with some occurring as late as 1934.
An estimated minimum of 100,000 Indigenous Australians and between 2,000 and 2,500 settlers died in the conflicts. Conflicts occurred in a number of locations across Australia.",https://en.wikipedia.org/wiki/Australian_frontier_wars
Austria,63.0,Battle of Vienna,"The Battle of Vienna took place at Kahlenberg Mountain near Vienna on 12 September 1683 after the imperial city had been besieged by the Ottoman Empire for two months. The battle was fought by the Holy Roman Empire (led by the Habsburg monarchy and the Polish–Lithuanian Commonwealth, both under the command of King John III Sobieski) against the Ottomans and their vassal and tributary states. The battle marked the first time the Commonwealth and the Holy Roman Empire had cooperated militarily against the Ottomans, and it is often seen as a turning point in history, after which ""the Ottoman Turks ceased to be a menace to the Christian world"". In the ensuing war that lasted until 1699, the Ottomans lost almost all of Hungary to the Holy Roman Emperor Leopold I.The battle was won by the combined forces of the Holy Roman Empire and the Polish–Lithuanian Commonwealth, the latter represented only by the forces of the Crown of the Kingdom of Poland (the march of the Lithuanian army was delayed, and they reached Vienna after it had been relieved). The Viennese garrison was led by Feldzeugmeister of the Imperial Army (Holy Roman Empire) Ernst Rüdiger Graf von Starhemberg, an Austrian subject of Holy Roman Emperor Leopold I. The overall command was held by the senior leader, the king of Poland, John III Sobieski, who led the relief forces.
The opposing military forces were those of the Ottoman Empire and its vassal states, commanded by Grand Vizier Merzifonlu Kara Mustafa Pasha. The Ottoman army numbered approximately 90,000 to 300,000 men (according to documents on the order of battle found in Kara Mustafa's tent, initial strength at the start of the campaign was 170,000 men). They began the siege on 14 July 1683. Ottoman forces consisted, among other units, of 60 ortas of Janissaries (12,000 men paper-strength) with an observation army of some 70,000 men watching the countryside. The decisive battle took place on 12 September, after the arrival of the united relief army.
Historians maintain that the battle marked the turning point in the Ottoman–Habsburg wars, a 300-year struggle between the Holy Roman and Ottoman Empires. During the 16 years following the battle, the Austrian Habsburgs gradually recovered and dominated southern Hungary and Transylvania, which was largely cleared of Ottoman forces. The battle is noted for including the largest known cavalry charge in history.

",https://en.wikipedia.org/wiki/Battle_of_Vienna
