0,1,2,3,4
Belize,2,2012 Kurse a di Xtabai,"2012: Kurse a di Xtabai (Curse of the Xtabai) is an 80-minute Belizean Creole-language supernatural thriller and the first major feature length dramatic movie to be entirely made in Belize.  It was directed by Matthiew Klinck and selected as the opening night movie of the 2012 Belize International Film Festival.  It was then taken on a national tour around the country and projected for audiences on an inflatable screen. The movie was made with an entirely Belizean cast, some of which had never acted before.",https://en.wikipedia.org/wiki/2012:_Kurse_a_di_Xtabai
Romania,41,"4 Months, 3 Weeks and 2 Days","4 Months, 3 Weeks and 2 Days (Romanian: 4 luni, 3 săptămâni și 2 zile) is a 2007 Romanian art film  written and directed by Cristian Mungiu and starring Anamaria Marinca, Laura Vasiliu, and Vlad Ivanov. The film is set in Communist Romania in the final years of the Nicolae Ceaușescu era. It tells the story of two students, roommates in a university dormitory, who try to procure an illegal abortion. Inspired by an anecdote from the period and the general social historic context, it depicts the loyalty of the two friends and the struggles they face.
Mungiu and cinematographer Oleg Mutu shot it in Bucharest and other Romanian locations in 2006. After making its world premiere at Cannes, 4 Months, 3 Weeks and 2 Days made its Romanian debut on 1 June 2007, at the Transilvania International Film Festival. It opened to critical acclaim, and was noted for its minimalism and intense themes.
The film won three awards at the 2007 Cannes Film Festival, including the Palme d'Or. It went on to win numerous honours, including Best Film at the European Film Awards and Romania's national Gopo Awards. 4 Months, 3 Weeks and 2 Days became the subject of some controversy over censorship, the abortion debate, and its exclusion from the 80th Academy Awards, but in 2016 it was ranked No. 15 on the BBC's list of 100 Greatest Films of the 21st Century.","https://en.wikipedia.org/wiki/4_Months,_3_Weeks_and_2_Days"
Bahrain,3,A Bahraini Tale,"The cinema of Bahrain is small as its lacks support from the government and the private sector. There are many short films produced by individual filmmakers, and about five feature films in Bahrain's history.
There are a number of theaters in Bahrain showing a mix of Indian, American and Arabic movies. Bahrain also has a cinema club established in 1980, and the Bahraini Film Production Company, established in 2006 to support the Bahraini film industry.",https://en.wikipedia.org/wiki/Cinema_of_Bahrain
Lithuania,15,A Gentle Creature,"""A Gentle Creature"" (Russian: Кроткая, romanized: Krotkaya), sometimes also translated as ""The Meek One"", is a short story by Fyodor Dostoyevsky written in November 1876.  The piece comes with the subtitle of ""A Fantastic Story"", and it chronicles the relationship between a pawnbroker and a girl that frequents his shop. The story was inspired by a news report that Dostoyevsky read in April 1876 about the suicide of a seamstress. Dostoyevsky referred to it as a ""meek suicide"" that ""keeps haunting you for a long time.""",https://en.wikipedia.org/wiki/A_Gentle_Creature
Yemen,7,A New Day in Old Sana'a,"Kodomo no Omocha (Japanese: こどものおもちゃ, ""Child's Toy""), also known as Kodocha for short, is a Japanese manga series by Miho Obana. The series was adapted as an OVA by J.C. Staff and released on December 16, 1995 by Shueisha under their Ribon Video label. An anime television series was produced by NAS and TV Tokyo, animated by Studio Gallop, and broadcast on TV Tokyo every Friday from April 5, 1996 to March 27, 1998.
In 2002, the manga was published in North America in English by Tokyopop as Kodocha: Sana's Stage. In 2006, Tokyopop lost the license to the manga, leaving it out of print. In 2005, the first half of the anime series was licensed for North American distribution by Funimation Entertainment and has been released on DVD. In 2012, Funimation announced that their Kodocha DVDs went out of print.In 2020, Discotek Media announced that they have rescue licensed the series for release on SD Blu-ray in 2021.Both the manga and anime have been well received by publications for different media for the character interactions and the comedy. The manga won the 1998 Kodansha Manga Award for shōjo. At the American Anime Awards held in 2007, it was nominated for best comedy anime.

",https://en.wikipedia.org/wiki/Kodocha
Chad,11,A Screaming Man,"The Wilhelm scream is a stock sound effect that has been used in a number of films and TV series, beginning in 1951 with the film Distant Drums. The scream is usually used when someone is shot, falls from a great height, or is thrown from an explosion. The sound is named after Private Wilhelm, a character in The Charge at Feather River, a 1953 Western in which the character gets shot in the thigh with an arrow. This was its first use following its inclusion in the Warner Bros. stock sound library, although The Charge at Feather River is the third film to use the effect. The scream is believed to be voiced by actor Sheb Wooley.

",https://en.wikipedia.org/wiki/Wilhelm_scream
Brunei,4,Ada Apa Dengan Rina,"Ada Apa Dengan Rina (What's So Special About Rina) is a 2013 Bruneian comedy feature film produced by Regalblue Production.
The film is the second Bruneian feature film, after 1968 film called Gema Dari Menara.
Ada Apa Dengan Rina is in Brunei Malay, a dialect used by Bruneians every day.  This is the first time such dialect being played on big cinema screens. The film is also the first to involve fully local creative and technical expertise including cast members.",https://en.wikipedia.org/wiki/Ada_Apa_Dengan_Rina
Nicaragua,12,Alsino and the Condor,"The Believer is a 2001 American drama film directed by Henry Bean and written by Bean and Mark Jacobson. It stars Ryan Gosling as Daniel Balint, a Jew who becomes a neo-Nazi. It won the Grand Jury Prize at the 2001 Sundance Film Festival and the Golden St. George at the 23rd Moscow International Film Festival.",https://en.wikipedia.org/wiki/The_Believer_(2001_film)
France,74,Amelie,"Amélie (also known as Le Fabuleux Destin d'Amélie Poulain; French pronunciation: ​[lə fabylø destɛ̃ d‿ameli pulɛ̃]; English: The Fabulous Destiny of Amélie Poulain) is a 2001 French-language romantic comedy film directed by Jean-Pierre Jeunet. Written by Jeunet with Guillaume Laurant, the film is a whimsical depiction of contemporary Parisian life, set in Montmartre. It tells the story of a shy waitress, played by Audrey Tautou, who decides to change the lives of those around her for the better while dealing with her own isolation. The film features an ensemble cast of supporting roles, including Mathieu Kassovitz, Rufus, Lorella Cravotta, Serge Merlin, Jamel Debbouze, Claire Maurier, Clotilde Mollet, Isabelle Nanty, Dominique Pinon, Artus de Penguern, Yolande Moreau, Urbain Cancelier, and Maurice Bénichou.
The film was theatrically released in France on 25 April 2001 by UGC-Fox Distribution and in Germany on 16 August 2001 by Prokino Filmverleih. The film received critical acclaim, with praise for Tautou's performance, the cinematography, production design, and writing. Amélie won Best Film at the European Film Awards, four César Awards, including Best Film and Best Director, and two British Academy Film Awards including Best Original Screenplay. It was nominated for five Academy Awards, including Best Foreign Language Film and Best Original Screenplay. The film was a commercial success, grossing $174.2 million worldwide against a budget of $10 million, and is one of the biggest international successes for a French film.",https://en.wikipedia.org/wiki/Am%C3%A9lie
Guinea,11,Amok,"""Amok Time"" is the second season premiere episode of the American science fiction television series  Star Trek. Written by science fiction author Theodore Sturgeon, scored by Gerald Fried, and directed by Joseph Pevney, it first aired on September 15, 1967.
The episode features First Officer Spock returning to his homeworld for a brutal Vulcan wedding ritual. It is the only episode of The Original Series to depict scenes on the planet Vulcan.
It was the first episode to air featuring Ensign Pavel Chekov (Walter Koenig) as the ship's navigator. It was also the first episode to list ""DeForest Kelley as Dr. McCoy"" in the opening credits, and the first episode broadcast in the series' new time slot of 8:30 pm on Friday night. This is the first episode to use the ""Vulcan salute"" and introduced the concept of pon farr.",https://en.wikipedia.org/wiki/Amok_Time
Haiti,7,Ayiti Mon Amour,This is a list of films produced in Haiti:,https://en.wikipedia.org/wiki/List_of_Haitian_films
Ghana,10,Azali,"Azali is a 2018 Ghanaian drama film directed by Kwabena Gyansah. It was selected as the Ghanaian entry for the Best International Feature Film at the 92nd Academy Awards, but it was not nominated. It was the first time that Ghana had submitted a film for the Best International Feature Film Oscar.",https://en.wikipedia.org/wiki/Azali_(film)
Maldives,2,Bageecha,This is an alphabetical list of film articles (or sections within articles about films). It includes made for television films. See the talk page for the method of indexing used.,https://en.wikipedia.org/wiki/List_of_films:_B
Barbados,2,Barrows Freedom Fighter,"Barrows: Freedom Fighter is a documentary film shot in 2016 that centers on how Barbados was led to their independence on November 30, 1966.It won the Africa Movie Academy Award for Best Diaspora Documentary in 2018.",https://en.wikipedia.org/wiki/Barrows:_Freedom_Fighter
Timor-Leste,8,Beatriz's War,"Alon Moni Abutbul (or Aboutboul, Hebrew: אלון מוני אבוטבול; born 28 May 1965) is an Israeli actor. He won the IFFI Best Actor Award (Male) at the 44th International Film Festival of India.",https://en.wikipedia.org/wiki/Alon_Abutbul
Timor-Leste,8,Beatriz's War,"Alon Moni Abutbul (or Aboutboul, Hebrew: אלון מוני אבוטבול; born 28 May 1965) is an Israeli actor. He won the IFFI Best Actor Award (Male) at the 44th International Film Festival of India.",https://en.wikipedia.org/wiki/Alon_Abutbul
Switzerland,45,Before Sunrise,"Before Sunrise is a 1995 romantic drama film directed by Richard Linklater and co-written by Linklater and Kim Krizan. The first installment in the Before trilogy, it follows Jesse (Ethan Hawke) and Céline (Julie Delpy) as they meet on a Eurail train and disembark in Vienna to spend the night together.
Inspired by personal experiences, Linklater collaborated with Krizan, who previously appeared in his films Slacker (1991) and Dazed and Confused (1993), to develop the screenplay. Casting was extensive; it took nine months for Hawke and Delpy to be cast with principal photography taking place entirely in Vienna.
The plot is considered minimalistic, consisting mostly of monologues and casual conversation with extended dialogue as the characters navigate Vienna. Their contrasting ideas and perspectives on life and love are detailed, with Jesse a romantic disguised as a cynic, and Céline seemingly a romantic. Before Sunrise also explores time, death, and self-discovery.
Before Sunrise premiered at the Sundance Film Festival on January 19, 1995, and was theatrically released eight days later. It grossed $22.5 million against a $2.5 million budget and received critical acclaim, particularly for its exploration of postmodern romance, the screenplay, Linklater's direction, and acting performances. Before Sunrise also received a rating of 100% on Rotten Tomatoes, and appeared on many critics' lists of the greatest films of the year. A sequel, Before Sunset, was released in 2004, and a third film, Before Midnight, was released in 2013.

",https://en.wikipedia.org/wiki/Before_Sunrise
North Macedonia,29,Before the Rain,"Before the Rain (Macedonian: Пред дождот, Pred doždot) is a 1994 film written and directed by Milcho Manchevski, starring Katrin Cartlidge, Rade Šerbedžija, Grégoire Colin and Labina Mitevska, photographed by Manuel Teran, edited by Nicolas Guster and featuring an original score by the Macedonian band Anastasia. The sophisticated interplay of three seemingly unrelated short narratives and the emotional effect of the masterful directing were highly praised by the reviews and festivals, and appreciated by audiences in more than 50 countries.",https://en.wikipedia.org/wiki/Before_the_Rain_(1994_film)
Zambia,3,Between Rings,"The Lord of the Rings is a series of three epic fantasy adventure films directed by Peter Jackson, based on the novel The Lord of the Rings by J. R. R. Tolkien. The films are subtitled The Fellowship of the Ring (2001), The Two Towers (2002), and The Return of the King (2003). Produced and distributed by New Line Cinema with the co-production of WingNut Films, the series is an international venture between New Zealand and the United States. The films feature an ensemble cast including Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Christopher Lee, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving, Andy Serkis and Sean Bean.
Set in the fictional world of Middle-earth, the films follow the hobbit Frodo Baggins as he and the Fellowship embark on a quest to destroy the One Ring, to ensure the destruction of its maker, the Dark Lord Sauron. The Fellowship eventually splits up and Frodo continues the quest with his loyal companion Sam and the treacherous Gollum. Meanwhile, Aragorn, heir in exile to the throne of Gondor, along with the elf Legolas, the dwarf Gimli, Merry, Pippin, and the wizard Gandalf, unite to save the Free Peoples of Middle-earth from the forces of Sauron and rally them in the War of the Ring to aid Frodo by distracting Sauron's attention.
The three films were shot simultaneously in Jackson's native New Zealand from 11 October 1999 until 22 December 2000, with pick-up shots done from 2001 to 2003. It was one of the biggest and most ambitious film projects ever undertaken, with a budget of $281 million (equivalent to $457 million in 2021). The first film in the series premiered at the Odeon Leicester Square in London on 10 December 2001; the second film premiered at the Ziegfeld Theatre in New York City on 5 December 2002; the third film premiered at the Embassy Theatre in Wellington on 1 December 2003. An extended edition of each film was released on home video a year after its release in cinemas.
The Lord of the Rings is widely regarded as one of the greatest and most influential film series ever made. It was a major financial success and is among the highest-grossing film series of all time with $2.991 billion in worldwide receipts. All three films received widespread acclaim from critics and audiences, who lauded the acting, direction, writing, production values, score, ambition, emotional depth, groundbreaking special effects and faithfulness to the source material. The series received numerous accolades, winning 17 Academy Awards out of 30 total nominations, including Best Picture for The Return of the King. In 2021, The Fellowship of the Ring was selected for preservation in the United States National Film Registry by the Library of Congress for being ""culturally, historically, or aesthetically significant"".

",https://en.wikipedia.org/wiki/The_Lord_of_the_Rings_(film_series)
Sierra Leone,2,Big Wata,"The 2023 Sundance Film Festival took place from January 19 to 29, 2023. The first lineup of competition films was announced on December 7, 2022.",https://en.wikipedia.org/wiki/2023_Sundance_Film_Festival
Serbia,35,"Black Cat, White Cat","Black Cat, White Cat (Serbian: Црна мачка, бели мачор, romanized: Crna mačka, beli mačor) is a 1998 Serbian romantic black comedy film directed by Emir Kusturica. It won the Silver Lion for Best Direction at the Venice Film Festival.
The literal translation of the title is actually ""Black pussycat, white tomcat"". The movie characters speak in Romani, Serbian, and Bulgarian - frequently switching among them.","https://en.wikipedia.org/wiki/Black_Cat,_White_Cat"
Hungary,56,Blade Runner 2049,"Blade Runner 2049 is a 2017 American epic neo-noir science fiction film directed by Denis Villeneuve and written by Hampton Fancher and Michael Green. A sequel to the 1982 film Blade Runner, the film stars Ryan Gosling and Harrison Ford, with Ana de Armas, Sylvia Hoeks, Robin Wright, Mackenzie Davis, Dave Bautista, and Jared Leto in supporting roles. Ford and Edward James Olmos reprise their roles from the original film. Gosling plays K, a Nexus-9 replicant ""blade runner"" who uncovers a secret that threatens to destabilize society and the course of civilization.
Ideas for a Blade Runner sequel were first proposed in the 1990s, but licensing issues stalled their development. Andrew Kosove and Broderick Johnson obtained the film rights from Bud Yorkin. Ridley Scott stepped down as the film's initial director and worked as an executive producer, while Villeneuve was later appointed to direct. Blade Runner 2049 was financed through a partnership between Alcon Entertainment and Sony Pictures, as well as a Hungarian government-funded tax rebate. Warner Bros., on behalf of Alcon, distributed the film in North America, while Sony handled distribution in international markets. Principal photography took place mostly at two soundstages in Budapest over four months from July to November 2016.
Blade Runner 2049 premiered in Los Angeles on October 3, 2017, and was released in the United States in 2D, 3D, and IMAX on October 6, 2017. The film received acclaim from critics, who praised its performances, direction, cinematography, editing, musical score, production design, visual effects, and faithfulness to the original film, although its runtime was criticized. It was widely considered among the best films of 2017. However, it became a box office failure, grossing $267.5 million worldwide against a production budget between $150–185 million. Blade Runner 2049 was nominated for and won several accolades: at the 90th Academy Awards, the film won Best Cinematography and Best Visual Effects, and was nominated for Best Production Design, Best Sound Editing, and Best Sound Mixing. It also received eight nominations at the 71st British Academy Film Awards, including Best Director, and won Best Cinematography and Best Special Visual Effects.   A sequel series, Blade Runner 2099, is in development at Amazon Studios, with Scott set to return as executive producer.",https://en.wikipedia.org/wiki/Blade_Runner_2049
Grenada,3,Blinded,"The Blind Side is a 2009 American biographical sports drama film written and directed by John Lee Hancock. Based on the 2006 book of the same name by Michael Lewis, the film tells the story of Michael Oher, an American football offensive lineman who overcame an impoverished upbringing to play in the National Football League (NFL) with the help of his adoptive parents Sean and Leigh Anne Tuohy. It stars Sandra Bullock as Leigh Anne Tuohy, Tim McGraw as Sean Tuohy, and Quinton Aaron as Oher.
The film was a commercial success, grossing $309 million on a $29 million budget. Despite mixed reviews from critics, Bullock's performance was universally praised, leading to her winning the Academy Award for Best Actress. Bullock also won the Golden Globe Award for Best Actress in a Motion Picture – Drama and the Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role. The film also received a nomination for the Academy Award for Best Picture.",https://en.wikipedia.org/wiki/The_Blind_Side_(film)
Bolivia,10,Blood of the Condor,"Marianna Hill (née  Schwarzkopf, February 9, 1942) is an  American actress. She predominantly worked in American television and is known for her starring roles in the Western films El Condor (1970) and High Plains Drifter and the cult horror film Messiah of Evil (both 1973), as well as many roles on television series in the 1960s and 1970s. She was sometimes credited as Mariana Hill.

",https://en.wikipedia.org/wiki/Marianna_Hill
Seychelles,4,Bolot Feray,error,error
Russia,39,Burnt by the Sun,"Burnt by the Sun (Russian: Утомлённые солнцем, translit. Utomlyonnye solntsem, literally ""wearied by the sun"") is a 1994 film by Russian director and screenwriter Nikita Mikhalkov and Azerbaijani screenwriter Rustam Ibragimbekov. The film depicts the story of a senior Red Army officer, played by Mikhalkov, and his family during the Great Purge of the late 1930s in the Stalinist Soviet Union. While on vacation with his wife, young daughter, and assorted friends and family, things change dramatically for Colonel Kotov when his wife's old lover, Dmitri, shows up after being away for many years. The film also stars Oleg Menshikov, Ingeborga Dapkūnaitė and Mikhalkov's daughter Nadezhda Mikhalkova.
Burnt by the Sun was popular in Russia and received positive reviews in the United States. It won the Grand Prix at the 1994 Cannes Film Festival, the Academy Award for Best Foreign Language Film and other honours.",https://en.wikipedia.org/wiki/Burnt_by_the_Sun
Azerbaijan,8,Buta,"Būta Kōlā, also referred to as daiva kōlā or nēmā, is a ritual dance performance prevalent among the Hindus of Tulu Nadu and parts of Kasargod in northern Kerala, India. The dance is highly stylized and performed as part of 'Bhootaradhana' or worship of the local deities worshipped by the Tulu speaking population. It has influenced Yakshagana folk theatre. Būta kōlā is closely related to Theyyam of neighbouring Malayalam-speaking populations. According to Tulu mythology, a wild boar perished in Lord Shiva's pleasure garden. The young boar's offspring was adopted by Goddess Parvati. The young boar became destructive as he grew older and began destroying the plants and trees in Lord Shiva's garden. Lord Shiva became upset by this and decided to kill him. Goddess Parvati, however, defended the boar and asked her husband to pardon him. So instead of killing him, Lord Shiva banished the boar to earth and tasked him with protecting the people of earth. This particular became a Bhoota (divine spirit) known as Panjurli.

",https://en.wikipedia.org/wiki/Buta_Kola
Egypt,17,Cairo Station,"Cairo Station, also called The Iron Gate (Arabic: باب الحديد Bāb al-Ḥadīd), is a 1958 Egyptian drama film directed by Youssef Chahine. It was entered for competition in the 8th Berlin International Film Festival. The film was selected as the Egyptian entry for the Best Foreign Language Film at the 31st Academy Awards, but was not accepted as a nominee. Since the 1970s, the film has found renewed interest with new generations of international film lovers and has been hailed as a masterpiece in the style of neorealist cinema.Themes depicted in the film include the urban working class, gender-based violence, and sexual repression.",https://en.wikipedia.org/wiki/Cairo_Station
