country,number,nonsense,item,wikidata_id,wikidata_id_short,pageid,wikidata_description
Afghanistan,31,1,Kamāl ud-Dīn Behzād,http://www.wikidata.org/entity/Q334875,wd:Q334875,1639000,Iranian artist (1450-1535)
Albania,20,1,Kolë Idromeno,http://www.wikidata.org/entity/Q1390711,wd:Q1390711,1455976,"Albanian painter, sculptor, photographer, architect and engineer (1860-1939)"
Algeria,45,1,Édouard-Henri Avril,http://www.wikidata.org/entity/Q122427,wd:Q122427,11451056,French painter artist (1849-1928)
Angola,1,1,António Olé,http://www.wikidata.org/entity/Q27159914,wd:Q27159914,62753497,"Angolan sculptor, painter, and filmmaker, born 1951"
Argentina,26,1,Leonor Fini,http://www.wikidata.org/entity/Q464011,wd:Q464011,1159074,"Argentine painter, designer and writer"
Armenia,33,1,Martiros Saryan,http://www.wikidata.org/entity/Q718409,wd:Q718409,2816324,Armenian painter
Australia,29,1,Sidney Nolan,http://www.wikidata.org/entity/Q381031,wd:Q381031,38203112,Australian artist (1917-1992)
Austria,95,1,Gustav Klimt,http://www.wikidata.org/entity/Q34661,wd:Q34661,12425,Austrian symbolist painter (1862-1918)
Azerbaijan,26,1,Tahir Teimurovitsch Salakhov,http://www.wikidata.org/entity/Q2627373,wd:Q2627373,2904881,"Soviet, Azerbaijani and Russian artist (1928-2021)"
Bahrain,2,1,Alessandro Raho,http://www.wikidata.org/entity/Q4716407,wd:Q4716407,26518952,British artist
Bangladesh,13,1,Zainul Abedin,http://www.wikidata.org/entity/Q2443222,wd:Q2443222,2168408,Bengali painter (1914-1976)
Barbados,5,1,Goodridge Roberts,http://www.wikidata.org/entity/Q3110727,wd:Q3110727,4539824,Canadian artist (1904-1974)
Belarus,93,1,Marc Chagall,http://www.wikidata.org/entity/Q93284,wd:Q93284,63135,Russian-French artist of Belarusian Jewish origin (1887-1985)
Belgium,85,1,René Magritte,http://www.wikidata.org/entity/Q7836,wd:Q7836,26034,Belgian surrealist painter
Belize,3,1,Pen Cayetano,http://www.wikidata.org/entity/Q2068562,wd:Q2068562,11262247,Belizean artist and musician
Benin,8,1,Paul Ahyi,http://www.wikidata.org/entity/Q3743747,wd:Q3743747,25770222,"Artist, sculptor, architect (1930-2010)"
Bolivia,10,1,Benjamín Mendoza y Amor Flores,http://www.wikidata.org/entity/Q3494332,wd:Q3494332,10257261,Bolivian artist (1933-2014)
Bosnia and Herzegovina,16,1,Ksenia Milicevic,http://www.wikidata.org/entity/Q2625077,wd:Q2625077,24770736,French painter
Botswana,5,1,Cg'ose Ntcox'o,http://www.wikidata.org/entity/Q56599689,wd:Q56599689,58426391,was a member of the Ncoakhoe tribe of the San people
Brazil,36,1,Sebastião Salgado,http://www.wikidata.org/entity/Q358158,wd:Q358158,340954,Brazilian photographer
Bulgaria,25,1,Jules Pascin,http://www.wikidata.org/entity/Q469063,wd:Q469063,154271,French painter (1885-1930)
Cambodia,12,1,Vann Nath,http://www.wikidata.org/entity/Q611335,wd:Q611335,12220011,Cambodian writer and sculptor (1946-2011)
Canada,33,1,Emily Carr,http://www.wikidata.org/entity/Q289624,wd:Q289624,290595,Canadian painter and writer (1871-1945)
Cape Verde,8,1,António Pedro,http://www.wikidata.org/entity/Q3847484,wd:Q3847484,8019399,Portuguese painter (1909-1966)
Chad,7,1,Salma Khalil Alio,http://www.wikidata.org/entity/Q48876981,wd:Q48876981,63032484,Chadian writer and artist
Chile,23,1,Roberto Matta,http://www.wikidata.org/entity/Q450236,wd:Q450236,1067409,Chilean pointer (1911-2002)
Colombia,48,1,Fernando Botero,http://www.wikidata.org/entity/Q272877,wd:Q272877,301370,Colombian painter and sculptor
Costa Rica,11,1,Guillermo Vargas,http://www.wikidata.org/entity/Q2666181,wd:Q2666181,16731014,Visual Artist
Côte d'Ivoire,10,1,Ben Heine,http://www.wikidata.org/entity/Q4885823,wd:Q4885823,30880027,Belgian artist
Croatia,36,1,Alfred Freddy Krupa,http://www.wikidata.org/entity/Q17385549,wd:Q17385549,43235568,"Croatian contemporary painter, master draughtsman, book artist and art teacher, the pioneer of the New Ink Art movement"
Cuba,68,1,Max Ernst,http://www.wikidata.org/entity/Q154842,wd:Q154842,42649,"German painter, sculptor and graphic artist (1891-1976)"
