,country,number,item,item_id,shortform,pageid,wikipedia_summary,wikipedia_url
0,Afghanistan,1,Zakia Wardak,http://www.wikidata.org/entity/Q108312212,wd:Q108312212,68614759,"Zakia Wardak is an Afghan architect, politician, and businesswoman. She served as the first female Consul General of Afghanistan in Mumbai. Wardak is an advocate for inclusion and women's rights. She is from Kabul. Wardak has served as president of the Society of Afghan Women in Engineering and Construction. In 2018, she ran for a seat in the 2018 Afghan parliamentary election.",https://en.wikipedia.org/wiki/Zakia_Wardak
2,Albania,20,Kolë Idromeno,http://www.wikidata.org/entity/Q1390711,wd:Q1390711,1455976,"Nikoll Idromeno (Albanian pronunciation: [ˌniˈkɔɫa kɔl ˈidɾɔˌmɛnɔ]; 15 August 1860 – 12 December 1939), better known as Kolë Idromeno, was an Albanian painter, sculptor, architect, photographer, cinematographer, composer and engineer during the Albanian Renaissance in the nineteenth century. He is widely regarded as a precursor of both realism and landscape art in Albania.Kolë Idromeno was born in Shkodër, which was at that time part of the Ottoman Empire. At age 16, he moved to Venice for six months and began his studies at the Accademia di Belle Arti di Venezia. Subsequently, he travelled throughout Europe and moved back to Shkodër and worked essentially in a variety of artistic fields. In addition, he made himself strongly committed for the Independence of Albania whereby he was forced to emigrate to Ulcinj.Among his important works are a series of paintings where he tried to depict the social aspects of everyday life, customs and religion exactly as it appears. He was also distinguished for its rich use of colours and decorative shades with certain ethnographic elements and landscapes depicting places in or near Shkodër.As an architect, he drew the plans for around fifty buildings either private and public. He also designed several industrial facilities, banks, the Rozafa cinema and Kafja e Madhe café. The coffered ceiling of the St. Stephen's Cathedral, which is one of the largest cathedrals in the Balkans, was also a design by Kolë Idromeno.",https://en.wikipedia.org/wiki/Kol%C3%AB_Idromeno
12,Algeria,7,Rudy Ricciotti,http://www.wikidata.org/entity/Q2811177,wd:Q2811177,38866930,Rudy Ricciotti (born 1952) is a French architect and publisher.,https://en.wikipedia.org/wiki/Rudy_Ricciotti
21,Angola,5,Paula Nascimento,http://www.wikidata.org/entity/Q19662924,wd:Q19662924,44510730,"Paula Nascimento is an Angolan architect and curator who along with Stefano Rabolli Pansera curated the Angolan pavilion at the 55th International Art Exhibition - La Biennale di Venezia which won the Golden Lion  for ""best national participation"".In 2011, Nascimento  and Pansera founded Beyond Entropy Africa, a limited company registered in Angola. Beyond Entropy Africa focuses on Luanda as the paradigm of the urban condition of the African Sub-Saharan region, a type of city that is defined by a lack of basic infrastructures and a high density of population.
In 2012, Beyond Entropy Africa curated the Angola Pavilion at the 13th Architecture Biennale in Venice  with the title of their partnership ‘Beyond Entropy’.
In 2013, Beyond Entropy Africa curated the Angola Pavilion at the 55th Art Biennale in Venice entitled ‘Luanda, Encyclopedic City’ featuring the work of photographer Edson Chagas.",https://en.wikipedia.org/wiki/Paula_Nascimento
23,Argentina,38,César Pelli,http://www.wikidata.org/entity/Q309483,wd:Q309483,2573677,"César Pelli (October 12, 1926 – July 19, 2019) was an Argentine-American architect who designed some of the world's tallest buildings and other major urban landmarks. Two of his most notable buildings are the Petronas Towers in Kuala Lumpur and the World Financial Center in New York City. The American Institute of Architects named him one of the ten most influential living American architects in 1991 and awarded him the AIA Gold Medal in 1995. In 2008, the Council on Tall Buildings and Urban Habitat presented him with The Lynn S. Beedle Lifetime Achievement Award.",https://en.wikipedia.org/wiki/C%C3%A9sar_Pelli
44,Armenia,14,Momik,http://www.wikidata.org/entity/Q1964407,wd:Q1964407,6348407,"Momik (Armenian: Մոմիկ; died 1333) was an Armenian architect, sculptor and a master artist of Armenian illuminated manuscripts. As a sculptor, Momik is also known for his fine carving of khachkars, found primarily at the monastery complex at Noravank. He held an eminent position at the Gladzor School of Illuminated Manuscripts in Syunik, established at Vayots Dzor under the patronage of the Orbelian family's historian, Stepanos Orbelian. Of the manuscripts authored by Momik, only several survive: one is found at the repository of the Mekhitarist Order in Vienna and three others are found at the Mashtots Institute of Ancient Manuscripts in Yerevan, Armenia.Following Stepanos Orbelian's death in 1305, Momik began carving a khachkar in honor of the great historian, completing in 1306.Momik was the author of the miniatures for the Gospel, ""Entombment"" and ""Angel Appearing to Holy Women"", created in Glazdor in 1302, of the building of Astvatsatsin church in Areni village (1321), of its wonderful reliefs and of a number of khachkars. He also designed and carved the masterpiece church of S. Astvatsatsin at Noravank Monastery in Armenia.",https://en.wikipedia.org/wiki/Momik
59,Australia,33,Glenn Murcutt,http://www.wikidata.org/entity/Q333509,wd:Q333509,1820386,"Glenn Marcus Murcutt AO (born 25 July 1936) is an Australian architect and winner of the 1992 Alvar Aalto Medal, the 2002 Pritzker Architecture Prize, the 2009 American Institute of Architects Gold Medal and the 2021 Praemium Imperiale.  Glenn Murcutt works as a sole practitioner without staff, builds only within Australia and is known to be very selective with his projects. Being the only Australian winner of the prestigious Pritzker Prize, he is often referred to as Australia's most famous architect.

",https://en.wikipedia.org/wiki/Glenn_Murcutt
83,Austria,58,Adolf Loos,http://www.wikidata.org/entity/Q44323,wd:Q44323,53604,"Adolf Franz Karl Viktor Maria Loos
(German pronunciation: [ˈaːdɔlf loːs]; 10 December 1870 – 23 August 1933) was an Austrian architect and influential European theorist of modern architecture. His essay Ornament and Crime advocated smooth and clear surfaces in contrast to the lavish decorations of the fin de siècle, as well as the more modern aesthetic principles of the Vienna Secession, exemplified in his design of Looshaus, Vienna. Loos became a pioneer of modern architecture and contributed a body of theory and criticism of Modernism in architecture and design and developed the ""Raumplan"" (literally spatial plan) method of arranging interior spaces, exemplified in Villa Müller in Prague.
Loos had three tumultuous marriages that all ended in divorce. He suffered from poor health, including an inherited hearing affliction. He was convicted as a pedophile in 1928 for exploiting girls from poor families, aged 8 to 10. He died aged 62 on 23 August 1933 in Kalksburg near Vienna.",https://en.wikipedia.org/wiki/Adolf_Loos
106,Azerbaijan,18,Georgios Candilis,http://www.wikidata.org/entity/Q1377712,wd:Q1377712,40730473,"Georges Candilis (Greek: Γεώργιος Κανδύλης; Baku, Russian Empire, 29 March 1913 – Paris, 10 May 1995) was a Greek-French architect and urbanist.",https://en.wikipedia.org/wiki/Georges_Candilis
126,Bangladesh,27,Fazlur Khan,http://www.wikidata.org/entity/Q62918,wd:Q62918,1286023,"Fazlur Rahman Khan (Bengali: ফজলুর রহমান খান, Fozlur Rôhman Khan; 3 April 1929 – 27 March 1982) was a Bangladeshi-American structural engineer and architect, who initiated important structural systems for skyscrapers. Considered the ""father of tubular designs"" for high-rises, Khan was also a pioneer in computer-aided design (CAD). He was the designer of the Sears Tower, since renamed Willis Tower, the tallest building in the world from 1973 until 1998 and the 100-story John Hancock Center.
A partner in the firm Skidmore, Owings & Merrill in Chicago, Khan, more than any other individual, ushered in a renaissance in skyscraper construction during the second half of the 20th century. He has been called the ""Einstein of structural engineering"" and the ""Greatest Structural Engineer of the 20th Century"" for his innovative use of structural systems that remain fundamental to modern skyscraper design and construction. In his honor, the Council on Tall Buildings and Urban Habitat established the Fazlur Khan Lifetime Achievement Medal, as one of their CTBUH Skyscraper Awards.
Although best known for skyscrapers, Khan was also an active designer of other kinds of structures, including the Hajj airport terminal, the McMath–Pierce solar telescope and several stadium structures.

",https://en.wikipedia.org/wiki/Fazlur_Rahman_Khan
