,country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
0,Afghanistan,21,Samangan,http://www.wikidata.org/entity/Q1020649,wd:Q1020649,3164130,"capital of Samangan Province, Afghanistan","Aybak (Aibak or Haibak; previously Eukratidia (Ancient Greek: Εὐκρατιδία); historically known as Samangan) is a provincial town, medieval caravan stop, and the headquarters of the Samangan Province in the district of the same name in the northern part of Afghanistan. As an ancient town and major Buddhist centre during the 4th and 5th centuries under the then Kushan rulers, it has the ruins of that period at a place known now as Takht-i-rustam, which is located on a hill above the town.Due to its location, Haibak has been influenced by Buddhist, Islamic and Turkic and Persian peoples. In the past, it was significant because of its position on the main line of communication between Kabul and Afghan Turkestan.

In 2021, the Taliban gained control of the city during the 2021 Taliban offensive.","https://en.wikipedia.org/wiki/Aybak,_Samangan"
1,Albania,42,Tepelenë,http://www.wikidata.org/entity/Q81631,wd:Q81631,6595375,town in Albania,"Tepelenë (definite Albanian form: Tepelena) is a city and a municipality in Gjirokastër County, in the south of Albania. The town is located on the left bank of the Vjosa River, about three kilometres downstream from its union with the Drino.
Until the abolition of Districts in 2000, Tepelenë was the seat of the Tepelenë District. Its location is strategically important and there is a ruined citadel occupying a point 300 metres above the river. Ali Pasha of Tepelenë was born at the nearby village of Beçisht. In 1847, the British writer Edward Lear visited the town and noted the devastated buildings.",https://en.wikipedia.org/wiki/Tepelen%C3%AB
5,Andorra,35,El Pas de la Casa,http://www.wikidata.org/entity/Q24456,wd:Q24456,2449118,town in Andorra,"El Pas de la Casa (Catalan pronunciation: [əl ˈpas ðə lə ˈkazə]; French: Le Pas de la Case) is a ski resort (part of the Grandvalira resort), town, and mountain pass in the Encamp parish of Andorra, lying on the border with France.",https://en.wikipedia.org/wiki/El_Pas_de_la_Casa
6,Antigua and Barbuda,29,Codrington,http://www.wikidata.org/entity/Q1024679,wd:Q1024679,2275997,human settlement,"Codrington is a town located on the island of Barbuda, which is part of the country of Antigua and Barbuda.
Codrington was founded by Christopher Codrington and his brother John in 1685, to be the main residential centre on the island. They built a castle which dominated the town, but it was badly damaged by an earthquake in 1843 and little trace of it now remains. It had a population of 914 in 2001.
In 1741, the first slave rebellion happened in Codrington. Beach's Rebellion arose as a consequence of manager Thomas Beach's ""cruel and tyrannical"" behaviour. Several herds of cattle were slaughtered, damage was done to the Codrington's property and equipment. Codrington is served by Barbuda Codrington Airport.
The population of Codrington was recorded as 700 in the census of 1904, and 1,252 in the census of 1991. The town, along with the rest of the island, was completely evacuated in September 2017 following catastrophic damage caused by Hurricane Irma, but much of the population has now returned to the island.","https://en.wikipedia.org/wiki/Codrington,_Antigua_and_Barbuda"
7,Argentina,19,Perito Moreno,http://www.wikidata.org/entity/Q2061265,wd:Q2061265,24088973,town in the Argentine province of Santa Cruz,"Perito Moreno is a town in the northwest of Santa Cruz Province, Argentina, 25 km east of Lake Buenos Aires.  It should not be confused with the Perito Moreno National Park over 300 km south by road, or the Perito Moreno Glacier near El Calafate. The town is the capital of the Lago Buenos Aires Department. It lies on the RN43, a paved road which links Caleta Olivia on the Atlantic coast to Los Antiguos and the Chilean frontier 60 km west, and Ruta 40, running north and south.
The town is a centre of cattle ranches and smallholdings producing fruit and vegetables.  Tourism is also an important industry.  Perito Moreno is the closest town to Cueva de las Manos, 170 km south by road, and Parque Laguna.
In the 2010 census the town had a population of 4,617.","https://en.wikipedia.org/wiki/Perito_Moreno,_Santa_Cruz"
11,Armenia,36,Agarak,http://www.wikidata.org/entity/Q1647453,wd:Q1647453,5096058,"community in Syunik, Armenia","Agarak (Armenian: Ագարակ) is a village in the Meghri Municipality of the Syunik Province in southern Armenia, founded in 1949. As of 2011, the population of Agarak was 4,429.The village is located on the left bank of river Araks River, 9 km southwest of Meghri on the Armenia–Iran border. The border crossing at Agarak is Armenia's sole border crossing with Iran, with the Iranian village of Nurduz being located at the other side of the border. The village had a railway station on the demolished and non-functioning branch of the Yerevan-Nakhchivan-Horadiz railway.","https://en.wikipedia.org/wiki/Agarak,_Meghri"
13,Australia,62,Flying Fish Cove,http://www.wikidata.org/entity/Q30980,wd:Q30980,1493091,"settlement in Christmas Island, Australia","Flying Fish Cove (Chinese: 飛魚灣, Malay: Pantai Ikan Terbang) is the capital city and main settlement of Australia's Christmas Island. Although it was originally named after British survey-ship Flying-Fish, many maps simply label it ""The Settlement"". It was the first British settlement on the island, established in 1888.

About a third of the territory's total population of 1,600 lives in Flying Fish Cove, which lies near the north-eastern tip of the island. There is a small harbour which serves tourists with yachts. It is possible to carry out recreational diving at the settlement's beach.",https://en.wikipedia.org/wiki/Flying_Fish_Cove
26,Austria,39,Rust,http://www.wikidata.org/entity/Q259214,wd:Q259214,1031876,city in Austria,"Rust (German pronunciation: [ʁʊst] (listen); Croatian: Rušta; Hungarian: Ruszt) is a city in the Austrian state of Burgenland, located on the western shore of Lake Neusiedl near the border with Hungary. With only about 1,900 inhabitants, it is the country's smallest statutory city, as it was endowed with the rights of a royal free city by the Hungarian crown in 1681. As a Statutarstadt, it also forms an administrative district (Bezirk) in its own right. The city is famous for its wines, especially for Beerenauslese, ice wine and - especially - Ruster Ausbruch.

","https://en.wikipedia.org/wiki/Rust,_Burgenland"
29,Azerbaijan,64,Shusha,http://www.wikidata.org/entity/Q158903,wd:Q158903,1492790,city in Azerbaijan,"Shusha (Azerbaijani: Şuşa, (listen)) or Shushi (Armenian: Շուշի) is a city in Azerbaijan, in the disputed region of Nagorno-Karabakh. Situated at an altitude of 1,400–1,800 metres (4,600–5,900 ft) in the Karabakh mountains, the city was a mountain resort in the Soviet era.
Most sources date Shusha's establishment to the 1750s by Panah Ali Khan, founder of the Karabakh Khanate, coinciding with the foundation of the fortress of Shusha. Some attribute this to an alliance between Panah Ali Khan and Melik Shahnazar, the local Armenian prince (melik) of Varanda. In these accounts, the name of the town originated from a nearby Armenian village called Shosh or Shushikent (see § Etymology for alternative explanations). Conversely, some sources describe Shusha as an important center within the self-governing Armenian melikdoms of Karabakh in the 1720s, and others say the plateau was already the site of an Armenian fortification. From the mid-18th century to 1822, Shusha was the capital of the Karabakh Khanate. The town became one of the cultural centers of the South Caucasus after the Russian conquest of the Caucasus region from Qajar Iran in the first half of the 19th century. Over the course of the 19th century, the town grew in size to become a city, and was home to many Armenian and Azeri intellectuals, poets, writers and musicians (including Azeri ashiks, mugham singers and kobuz players).The town has religious, cultural and strategic importance to both groups. Shusha is often considered the cradle of Azerbaijan's music and poetry, and one of the leading centres of the Azerbaijani culture. Shusha also contains a number of Armenian Apostolic churches, including Ghazanchetsots Cathedral and Kanach Zham, and serves as a land link between Nagorno-Karabakh and Armenia, via the Lachin corridor to the west. Throughout modern history, the city fostered a mixed Armenian–Azerbaijani population. The first available demographic information about the city in 1823 suggests the city had an Azerbaijani majority. However, the number of Armenian inhabitants of the city steadily grew over time to constitute a majority of the city's population until the Shusha massacre in 1920, in which the Armenian half of the city was destroyed by Azerbaijani forces, resulting in the death or expulsion of the Armenian population, up to 20,000 people.The city has suffered significant destruction and depopulation during the Nagorno-Karabakh conflict. After the capture of Shusha in 1992 by Armenian forces during First Nagorno-Karabakh War, the city's Azerbaijani population fled, and most of the city was destroyed. Between May 1992 and November 2020, Shusha was under the de facto control of the self-proclaimed Republic of Artsakh and administered as the centre of its Shushi Province. On 8 November 2020, Azerbaijani forces retook the city during the 2020 Nagorno-Karabakh War following a three-day long battle.  The Armenian population of the city fled, and multiple reports emerged that the Armenian cultural heritage of the city was being destroyed.",https://en.wikipedia.org/wiki/Shusha
37,Barbados,22,Speightstown,http://www.wikidata.org/entity/Q2544610,wd:Q2544610,1177141,"town in Saint Peter, Barbados","Speightstown (), also known as Little Bristol, is the second largest City centre of Barbados. It is situated 12 miles (19 km) north of the capital city of Bridgetown, in the northern parish of Saint Peter.
The City is named after William Speight, a member of Barbados' first Assembly during the Settlement years, and the former owner of the land where the City is located.",https://en.wikipedia.org/wiki/Speightstown
