,country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
0,Afghanistan,47,Abdul Ghani Baradar,http://www.wikidata.org/entity/Q317219,wd:Q317219,26215955,Talliban leader,"Abdul Ghani Baradar (born 29 September 1963 or c. 1968) is an Afghan political and religious leader who is currently the acting first deputy prime minister alongside Abdul Salam Hanafi and Abdul Kabir, of Afghanistan. He is also a co-founder of the Taliban. He is known by the honorific Mullah. Originally Mullah Omar's top deputy, since 2019 he has been the Taliban's fourth-in-command, as the third of Leader Hibatullah Akhundzada's three deputies.
He held senior positions in the Taliban during their rule from 1996 to 2001. After the Taliban government fell to the US-led invasion in 2001, he rose to lead the organization's Quetta Shura in Pakistan, becoming the de facto leader of the Taliban. He was imprisoned by Pakistan in 2010, possibly because he had been discussing a peace deal with the Afghan government secretly, without the involvement of Pakistan. He was released in 2018 at the request of the United States and was subsequently appointed a deputy leader of the Taliban and head of their political office in Qatar.
On 15 September 2021, Baradar was listed on Time magazine as one of the ""100 Most Influential People In 2021"".",https://en.wikipedia.org/wiki/Abdul_Ghani_Baradar
19,Albania,178,Mother Teresa,http://www.wikidata.org/entity/Q30547,wd:Q30547,347105,Roman Catholic saint of Albanian origin,"Mother Mary Teresa Bojaxhiu (born Anjezë Gonxhe Bojaxhiu, Albanian: [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]; 26 August 1910 – 5 September 1997), honoured in the Catholic Church as Saint Teresa of Calcutta, was an Albanian-Indian Roman Catholic nun and missionary. She was born in Skopje (now the capital of North Macedonia), then part of the Kosovo Vilayet of the Ottoman Empire. After living in Skopje for eighteen years, she moved to Ireland and then to India, where she lived for most of her life.
In 1950, Teresa founded the Missionaries of Charity, a Roman Catholic religious congregation that had over 4,500 nuns and was active in 133 countries as of 2012. The congregation manages homes for people who are dying of HIV/AIDS, leprosy and tuberculosis. It also runs soup kitchens, dispensaries, mobile clinics, children's and family counselling programmes, as well as orphanages and schools. Members take vows of chastity, poverty, and obedience, and also profess a fourth vow – to give ""wholehearted free service to the poorest of the poor.""Teresa received a number of honours, including the 1962 Ramon Magsaysay Peace Prize and the 1979 Nobel Peace Prize. She was canonised on 4 September 2016, and the anniversary of her death (5 September) is her feast day. A controversial figure during her life and after her death, Teresa was admired by many for her charitable work. She was praised and criticized on various counts, such as for her views on abortion and contraception, and was criticized for poor conditions in her houses for the dying. Her authorized biography was written by Navin Chawla and published in 1992, and she has been the subject of films and other books. On 6 September 2017, Teresa and St. Francis Xavier were named co-patrons of the Roman Catholic Archdiocese of Calcutta.",https://en.wikipedia.org/wiki/Mother_Teresa
38,Algeria,202,Augustine of Hippo,http://www.wikidata.org/entity/Q8018,wd:Q8018,2030,"early Christian theologian, philosopher and Church Father","Augustine of Hippo (, also US: ; Latin: Aurelius Augustinus Hipponensis; 13 November 354 – 28 August 430), also known as Saint Augustine, was a theologian and philosopher of Berber origin and the bishop of Hippo Regius in Numidia, Roman North Africa. His writings influenced the development of Western philosophy and Western Christianity, and he is viewed as one of the most important Church Fathers of the Latin Church in the Patristic Period. His many important works include The City of God, On Christian Doctrine, and Confessions.
According to his contemporary, Jerome, Augustine ""established anew the ancient Faith"". In his youth he was drawn to the eclectic (and now extinct) Manichaean faith, and later to the Hellenistic philosophy/religion of Neoplatonism. After his conversion to Christianity and baptism in 386, Augustine developed his own approach to philosophy and theology, accommodating a variety of methods and perspectives. Believing the grace of Christ was indispensable to human freedom, he helped formulate the doctrine of original sin and made significant contributions to the development of just war theory. When the Western Roman Empire began to disintegrate, Augustine imagined the Church as a spiritual City of God, distinct from the material Earthly City. His thoughts profoundly influenced the medieval worldview. The segment of the Church that adhered to the concept of the Trinity as defined by the Council of Nicaea and the Council of Constantinople closely identified with Augustine's On the Trinity.
Augustine is recognized as a saint in the Catholic Church, the Eastern Orthodox Church, and the Anglican Communion. He is also a preeminent Catholic Doctor of the Church and the patron of the Augustinians. His memorial is celebrated on 28 August, the day of his death. Augustine is the patron saint of brewers, printers, theologians, and a number of cities and dioceses. Many Protestants, especially Calvinists and Lutherans, consider him one of the theological fathers of the Protestant Reformation due to his teachings on salvation and divine grace. Protestant Reformers generally, and Martin Luther in particular, held Augustine in preeminence among early Church Fathers. Luther was, from 1505 to 1521, a member of the Order of the Augustinian Eremites.
In the East his teachings are more disputed, and were notably attacked by John Romanides, but other theologians and figures of the Eastern Orthodox Church have shown significant approbation of his writings, chiefly Georges Florovsky. The most controversial doctrine associated with him, the filioque, was rejected by the Orthodox Church. Other disputed teachings include his views on original sin, the doctrine of grace, and predestination. Nevertheless, though considered to be mistaken on some points, he is still considered a saint and has influenced some Eastern Church Fathers, most notably Gregory Palamas. In the Orthodox Church his feast day is celebrated on 15 June. The historian Diarmaid MacCulloch has written: ""Augustine's impact on Western Christian thought can hardly be overstated; only his beloved example, Paul of Tarsus, has been more influential, and Westerners have generally seen Paul through Augustine's eyes.""",https://en.wikipedia.org/wiki/Augustine_of_Hippo
50,Algeria,9,Jean-Michel Faure,http://www.wikidata.org/entity/Q19631483,wd:Q19631483,50020322,traditionalist Catholic bishop,error,error
56,Andorra,51,Joan Enric Vives Sicília,http://www.wikidata.org/entity/Q57473,wd:Q57473,392266,Archbishop of Urgell and Co-Prince of Andorra,"Joan-Enric Vives Sicília  (Catalan: [ʒuˈan ənˈriɡ ˈbiβəz i siˈsili.ə]; born 24 July 1949) is a Spanish cleric, who serves as Bishop of Urgell since 2003, and is therefore the Co-Prince of Andorra. This makes him the joint-Head of State along with the President of France.  
He holds the rank of archbishop.",https://en.wikipedia.org/wiki/Joan_Enric_Vives_i_Sic%C3%ADlia
69,Angola,38,José Manuel Imbamba,http://www.wikidata.org/entity/Q1709402,wd:Q1709402,47657175,Angolan Roman Catholic archbishop and university teacher,"José Manuel Imbamba (born 7 January 1965 in Boma, Moxico Province, Angola) is an Angolan priest and the archbishop of Saurímo since 12 April 2011.",https://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_Imbamba
82,Antigua and Barbuda,4,George Alexander McGuire,http://www.wikidata.org/entity/Q5536158,wd:Q5536158,14287316,American bishop,"George Alexander McGuire (28 March 1866 – 10 November 1934) is best known for his prominence in Marcus Garvey's Universal Negro Improvement Association (UNIA). McGuire was elected in 1920 as Chaplain-General of the UNIA and wrote important documents about black ritual and catechism, drawing from his knowledge of religion and African history. Both he and Garvey were immigrants to the United States from Caribbean islands who had a vision of Pan-African goals.
In addition McGuire was known for his other religious contributions. Already a minister in the Moravian Church when he immigrated in 1894 to the US, McGuire soon joined the Episcopal Church. He was ordained in 1897 as an Episcopal priest. An early member of the American Negro Historical Society in Philadelphia, McGuire became more concerned about developing institutions that supported persons of African ancestry. In 1921 McGuire founded the African Orthodox Church (AOC); and he was consecrated that year as its first bishop, serving until his death in 1934. During his tenure, new congregations were started in several cities in the US, Canada, the Caribbean, and in East Africa.
McGuire envisioned the AOC as a home for Blacks of Episcopal belief who wanted ecclesiastical independence. It was based on Christian tradition and Apostolic succession. Orthodoxy attracted persons of African descent because it had not been implicated in colonialism or slavery.",https://en.wikipedia.org/wiki/George_Alexander_McGuire
84,Argentina,201,Francis,http://www.wikidata.org/entity/Q450675,wd:Q450675,1687680,266th pope of the Catholic Church,"Pope Francis (Latin: Franciscus; Italian: Francesco; Spanish: Francisco; born Jorge Mario Bergoglio, 17 December 1936) is the head of the Catholic Church and sovereign of the Vatican City State since 2013. Francis is the first pope to be a member of the Society of Jesus, the first from the Americas, the first from the Southern Hemisphere, and the first pope from outside Europe since Gregory III, a Syrian who reigned in the 8th century.
Born in Buenos Aires, Argentina, Bergoglio worked for a time as a bouncer and a janitor as a young man before training to be a chemist and working as a technician in a food science laboratory. After recovering from a severe illness, he was inspired to join the Society of Jesus (the Jesuits) in 1958. He was ordained a Catholic priest in 1969, and from 1973 to 1979 was the Jesuit provincial superior in Argentina. He became the archbishop of Buenos Aires in 1998 and was created a cardinal in 2001 by Pope John Paul II. He led the Argentine Church during the December 2001 riots in Argentina. The administrations of Néstor Kirchner and Cristina Fernández de Kirchner considered him to be a political rival. Following the resignation of Pope Benedict XVI on 28 February 2013, a papal conclave elected Bergoglio as his successor on 13 March. He chose Francis as his papal name in honor of Saint Francis of Assisi. Throughout his public life, Francis has been noted for his humility, emphasis on God's mercy, international visibility as pope, concern for the poor, and commitment to interreligious dialogue. He is credited with having a less formal approach to the papacy than his predecessors, for instance choosing to reside in the Domus Sanctae Marthae guesthouse rather than in the papal apartments of the Apostolic Palace used by previous popes.
Francis maintains the traditional views of the Church regarding abortion, clerical celibacy, and the ordination of women, but has initiated dialogue on the possibility of deaconesses and has made women full members of dicasteries in the Roman Curia. He maintains that the Church should be more open and welcoming for members of the LGBT community. Francis is an outspoken critic of unbridled capitalism and free market economics, consumerism, and overdevelopment, and advocates taking action on climate change, a focus of his papacy with the promulgation of Laudato si'. In international diplomacy, he helped to restore full diplomatic relations between the United States and Cuba and supported the cause of refugees during the European and Central American migrant crises. Since 2018, he has been an opponent of populism. He has faced criticism from theological conservatives on many questions, including his promotion of ecumenism, as well as admitting civilly divorced and remarried Catholics to communion with the publication of Amoris laetitia.",https://en.wikipedia.org/wiki/Pope_Francis
104,Armenia,42,Gregory the Illuminator,http://www.wikidata.org/entity/Q309953,wd:Q309953,12651,Patron saint of the Armenian Apostolic Church (c.257-c.331),"Gregory the Illuminator (Classical Armenian: Գրիգոր Լուսաւորիչ, reformed: Գրիգոր Լուսավորիչ, Grigor Lusavorich; c. 257 – c. 331) is the patron saint and first official head of the Armenian Apostolic Church. He was a religious leader who converted Armenia from paganism to Christianity in 301.",https://en.wikipedia.org/wiki/Gregory_the_Illuminator
123,Australia,35,George Pell,http://www.wikidata.org/entity/Q434118,wd:Q434118,914259,Australian Catholic cardinal,"George Pell  (born 8 June 1941) is an Australian cardinal of the Catholic Church. He served as the inaugural prefect of the Secretariat for the Economy between 2014 and 2019, and was a member of the Council of Cardinal Advisers between 2013 and 2018. Ordained a priest in 1966 and bishop in 1987, he was made a cardinal in 2003. Pell served as the eighth Archbishop of Sydney (2001–2014), the seventh Archbishop of Melbourne (1996–2001) and an auxiliary bishop of Melbourne (1987–1996). He has also been an author, columnist and public speaker. Since 1996, Pell has maintained a high public profile on a wide range of issues, while retaining an adherence to Catholic orthodoxy.
Pell worked as a priest in rural Victoria and in Melbourne and also chaired the aid organisation Caritas Australia (part of Caritas Internationalis) from 1988 to 1997. He was appointed as a delegate to the Australian Constitutional Convention in 1998, received the Centenary Medal from the Australian government in 2003 and was appointed a Companion of the Order of Australia in 2005. During his tenure as Archbishop of Melbourne, Pell set up the ""Melbourne Response"" protocol in 1996 to investigate and deal with complaints of child sexual abuse in the archdiocese. The protocol was the first of its kind in the world but has been subjected to a variety of criticisms.Pell in 2018 was found guilty of various sexual offences: the convictions were later quashed by the High Court of Australia in 2020. A separate investigation by the Holy See's Congregation for the Doctrine of the Faith into these allegations of abuse concluded upon his acquittal by the High Court.Australia's Royal Commission into Institutional Responses to Child Sexual Abuse revealed its findings on Pell in 2020 and found that he knew of child sexual abuse by clergy by the 1970s but did not take adequate action to address it. Pell said he was ""surprised"" and that the commission's views ""are not supported by evidence"".",https://en.wikipedia.org/wiki/George_Pell
