country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Afghanistan,614254,Kandahar,http://www.wikidata.org/entity/Q45604,wd:Q45604,17260,"capital of Kandahar Province, Afghanistan","Kandahar (English: ; Pashto: کندهار Kandahār, Dari: قندهار, Qandahār) is a city in Afghanistan, located in the south of the country on the Arghandab River, at an elevation of 1,010 m (3,310 ft). It is Afghanistan's second largest city after Kabul, with a population of about 614,118. It is the capital of Kandahar Province as well as the de facto capital of the Taliban, formally known as the Islamic Emirate of Afghanistan. It also happens to be the centre of the larger cultural region called Loy Kandahar. In 1709, Mirwais Hotak made the region an independent kingdom and turned Kandahar into the capital of the Hotak dynasty. In 1747, Ahmad Shah Durrani, founder of the Durrani dynasty, made Kandahar the capital of the Afghan Empire.Kandahar is one of the most culturally significant cities of the Pashtuns and has been their traditional seat of power for more than 300 years. It is a major trading center for sheep, wool, cotton, silk, felt, food grains, fresh and dried fruit, and tobacco. The region produces fine fruits, especially pomegranates and grapes, and the city has plants for canning, drying, and packing fruit, and is a major source of marijuana and hashish.
The region around Kandahar is one of the oldest known human settlements. A major fortified city existed at the site of Kandahar, probably as early as c. 1000–750 BC, and it became an important outpost of the Achaemenid (Persian) Empire in the 6th century BC. Alexander the Great had laid-out the foundation of what is now Old Kandahar in the 4th century BC and gave it the Ancient Greek name Ἀλεξάνδρεια Ἀραχωσίας (Alexandria of Arachosia).
Many empires have long fought over the city due to its strategic location along the trade routes of southern, central and western Asia.",https://en.wikipedia.org/wiki/Kandahar
Albania,130827,Vlorë,http://www.wikidata.org/entity/Q159610,wd:Q159610,322031,city in Albania,"Vlorë ( VLOR-ə, Albanian: [ˈvlɔɾə]; definite Albanian form: Vlora) is the third most populous city of the Republic of Albania and seat of Vlorë County and Vlorë Municipality. Located in southwestern Albania, Vlorë sprawls on the Bay of Vlorë and is surrounded by the foothills of the Ceraunian Mountains along the Albanian Adriatic and Ionian Sea Coasts. It experiences a Mediterranean climate, which is affected by the Ceraunian Mountains and the proximity to the Mediterranean Sea.
Vlorë was founded as Aulon as an Ancient Greek colony on the Illyrian coast and was conquered at different periods throughout history by Romans, Byzantines, Normans, Venetians and Ottomans. Between the 18th and 19th centuries, the Albanians gathered both spiritual and intellectual strength for national consciousness, which conclusively led to the Albanian Renaissance. Vlorë played an instrumental role in Albanian Independence as an epicenter for the founders of modern Albania, who signed the Declaration of Independence on 28 November 1912 at the Assembly of Vlorë.
Vlorë is one of the most significant cities of southern Albania and the region of Labëria which is traditionally noted for its culture, traditions and folklore. Vlorë is served by the Port of Vlorë, the SH8 highway, and the A2 motorway, collectively representing part of the Adriatic–Ionian Corridor and the Pan-European Corridor VIII.",https://en.wikipedia.org/wiki/Vlor%C3%AB
Algeria,2000000,Batna,http://www.wikidata.org/entity/Q338844,wd:Q338844,1738916,"commune and city in Batna Province, Algeria","Batna (Arabic: باتنة, Bātnah; Berber: ⴱⴰⵜⵏⴰ, Batna; Shawiya: ⵜⴱⴰⵟⴻⵏⵜ, Tbaṭent) is the main city and commune of Batna Province, Algeria. With a population of 290,645 (2008 census) it is the fifth largest city in Algeria. It is also one of the principal cities of the Chaoui area and is considered the capital of Aurès.",https://en.wikipedia.org/wiki/Batna_(city)
Angola,776249,Lubango,http://www.wikidata.org/entity/Q122044,wd:Q122044,541925,city in Angola,"Lubango, formerly known as Sá da Bandeira, is a municipality in Angola, capital of the Huíla Province, with a population of 776,249 (2014 census). The city center has a population of 600,751 (2014 census) making it the second largest city in Angola after the capital city Luanda.

",https://en.wikipedia.org/wiki/Lubango
Argentina,1329604,Córdoba,http://www.wikidata.org/entity/Q44210,wd:Q44210,241269,"city in Argentina, capital of its province","Córdoba (Spanish pronunciation: [ˈkoɾðoβa]) is a city in central Argentina, in the foothills of the Sierras Chicas on the Suquía River, about 700 km (435 mi) northwest of Buenos Aires. It is the capital of Córdoba Province and the second most populous city in Argentina after Buenos Aires, with about 1.3 million inhabitants according to the 2010 census. It was founded on 6 July 1573 by Jerónimo Luis de Cabrera, who named it after Córdoba, Spain. It was one of the early Spanish colonial capitals of the region that is now Argentina (the oldest city is Santiago del Estero, founded in 1553). The National University of Córdoba is the oldest university of the country and the seventh to be inaugurated in Spanish America. It was founded in 1613 by the Jesuit Order. Because of this, Córdoba earned the nickname La Docta (""the learned"").
Córdoba has many historical monuments preserved from Spanish colonial rule, especially buildings of the Catholic Church. The most recognizable is perhaps the Jesuit Block (Spanish: Manzana Jesuítica), declared in 2000 as a World Heritage Site by UNESCO which consists of a group of buildings dating from the 17th century, including the Colegio Nacional de Monserrat and the colonial university campus. The campus belongs today to the historical museum of the National University of Córdoba, which has been the second-largest university in the country since the early 20th century (after the University of Buenos Aires), in number of students, faculty, and academic programs. Córdoba is also known for its historical movements, such as Cordobazo and La Reforma del '18 (known as University Revolution in English).","https://en.wikipedia.org/wiki/C%C3%B3rdoba,_Argentina"
Armenia,121976,Gyumri,http://www.wikidata.org/entity/Q199500,wd:Q199500,1529357,second-largest city in Armenia and capital of Shirak Province in the northwestern part of the country,"Gyumri (Armenian: Գյումրի, pronounced [ɡjumˈɾi]) is an urban municipal community and the second-largest city in Armenia, serving as the administrative center of Shirak Province in the northwestern part of the country. By the end of the 19th century, when the city was known as Alexandropol, it was one of the largest cities of Russian-ruled Eastern Armenia with a population similar to that of Yerevan. It was renamed to Leninakan during the Soviet period. The city's population grew above 200,000 prior to the 1988 Spitak earthquake, when it was devastated. As of the 2011 census, the city had a population of 121,976, down from 150,917 reported at the 2001 census.
Gyumri is the seat of the Diocese of Shirak of the Armenian Apostolic Church.",https://en.wikipedia.org/wiki/Gyumri
Australia,4529500,Melbourne,http://www.wikidata.org/entity/Q3141,wd:Q3141,17306237,"capital city of Victoria, Australia","Melbourne ( (listen) MEL-bərn) (Boonwurrung: Naarm) is the capital and most-populous city of the Australian state of Victoria, and the second-most populous city in both Australia and Oceania.  Its name generally refers to a 9,993 km2 (3,858 sq mi) metropolitan area known as Greater Melbourne, comprising an urban agglomeration of 31 local municipalities, although the name is also used specifically for the local municipality of City of Melbourne based around its central business area. The city occupies much of the northern and eastern coastlines of Port Phillip Bay and spreads into the Mornington Peninsula and the hinterlands towards the Yarra Valley and the Dandenong and Macedon Ranges. It has a population over 5 million (19% of the population of Australia, as per 2020), mostly residing to the east side of the city centre, and its inhabitants are commonly referred to as ""Melburnians"".The area of Melbourne has been home to Aboriginal peoples for over 40,000 years and serves as an important meeting place for local Kulin nation clans. The name Naarm is commonly used by the broader Aboriginal community to refer to the city, being the traditional Boon wurrung name for Port Phillip Bay. A short-lived penal settlement was built at Port Phillip, then part of the British colony of New South Wales, in 1803, but it was not until 1835, with the arrival of free settlers from Van Diemen’s Land (modern-day Tasmania), that Melbourne was founded. It was incorporated as a Crown settlement in 1837, and named after the then British Prime Minister, William Lamb, 2nd Viscount Melbourne. In 1851, four years after Queen Victoria declared it a city, Melbourne became the capital of the new colony of Victoria. During the 1850s Victorian gold rush, the city entered a lengthy boom period that, by the late 1880s, had transformed it into one of the world's largest and wealthiest metropolises. After the federation of Australia in 1901, it served as the interim seat of government of the new nation until Canberra became the permanent capital in 1927. Today, it is a leading financial centre in the Asia-Pacific region and ranks 23rd globally in the 2021 Global Financial Centres Index.Melbourne is home to many of Australia's best-known landmarks, such as the Melbourne Cricket Ground, the National Gallery of Victoria and the World Heritage-listed Royal Exhibition Building. Noted for its cultural heritage, the city gave rise to Australian rules football, Australian impressionism and Australian cinema, and has more recently been recognised as a UNESCO City of Literature and a global centre for street art, live music and theatre. It hosts major annual international events, such as the Australian Grand Prix and the Australian Open, and also hosted the 1956 Summer Olympics and the 2006 Commonwealth Games, and will host the 2026 Commonwealth Games, along with a number of regional areas of Victoria. It was host to the 1880 World's Fair. Melbourne consistently ranked as the world's most liveable city for much of the 2010s.Melbourne Airport, also known as the Tullamarine Airport, is the second-busiest airport in Australia, and the Port of Melbourne is the nation's busiest seaport. Its main metropolitan rail terminus is Flinders Street station and its main regional rail and road coach terminus is Southern Cross station. It also has Australia's most extensive freeway network and the largest urban tram network in the world.",https://en.wikipedia.org/wiki/Melbourne
Austria,289440,Graz,http://www.wikidata.org/entity/Q13298,wd:Q13298,48946,"capital of Styria, Austria","Graz ( GRAHTS, German: [ɡʁaːts] (listen); Slovene: Gradec) is the capital city of the Austrian state of Styria and second-largest city in Austria after Vienna. As of 1 January 2021, it had a population of 331,562 (294,236 of whom had principal-residence status). In 2018, the population of the Graz larger urban zone (LUZ) stood at 652,654, based on principal-residence status. Graz is known as a college and university city, with four colleges and four universities. Combined, the city is home to more than 60,000 students. Its historic centre  (Altstadt) is one of the best-preserved city centres in Central Europe.In 1999, the city's historic centre was added to the UNESCO list of World Heritage Sites and in 2010 the designation was expanded to include Eggenberg Palace (German: Schloss Eggenberg) on the western edge of the city. Graz was designated the Cultural Capital of Europe in 2003 and became a City of Culinary Delights in 2008.",https://en.wikipedia.org/wiki/Graz
Azerbaijan,341200,Sumgait,http://www.wikidata.org/entity/Q179833,wd:Q179833,710842,city in Azerbaijan,"Sumgait (; Azerbaijani: Sumqayıt, Azerbaijani: [sumɡɑˈjɯt] (listen)) is the second-largest city in Azerbaijan, located near the Caspian Sea, about 31 kilometres (19 miles) away from the capital, Baku. The city has a population of around 345,300, making it the second-largest city in Azerbaijan after the capital Baku.
The city has a territory of 83 square kilometres (32 sq mi). It was founded on November 22, 1949. Two settlements are within the city administration: Jorat and Haji Zeynalabdin; a settlement named after oil businessman and philanthropist Haji Zeynalabdin Taghiyev. It is home to Sumqayit State University.

",https://en.wikipedia.org/wiki/Sumgait
Bahrain,121566,Riffa,http://www.wikidata.org/entity/Q1771398,wd:Q1771398,17767688,human settlement from Bahrain,"Riffa (Arabic: الرفاع, Ar-Rifāʿ) is the second largest city in the Kingdom of Bahrain by area size. Riffa is divided into three parts: East Riffa, West Riffa and North Riffa. The city is completely located in the Southern Governorate.
The city is growing fast: during the 2001 census, the population was recorded as 79,550 but by 2008 it was estimated as 111,000.",https://en.wikipedia.org/wiki/Riffa
Bangladesh,2581643,Chattogram,http://www.wikidata.org/entity/Q376749,wd:Q376749,380451,"second largest city of Bangladesh, situated at the southwestern part of the country","Chittagong (/ˈtʃɪt əˌɡɒŋ/ chit-uh-gong; Bengali: চট্টগ্রাম), officially Chattogram, is the second-largest city in Bangladesh.  It is the administrative seat of the eponymous division and district. It hosts the busiest seaport on the Bay of Bengal. The city is located on the banks of the Karnaphuli River between the Chittagong Hill Tracts and the Bay of Bengal. The Greater Chittagong Area had a population of more than 8.7 million in 2017. In 2021, the city proper had a population of more than 5.1 million.One of the world's oldest ports with a functional natural harbor for centuries,  Chittagong appeared on ancient Greek and Roman maps, including on Ptolemy's world map. It was located on the southern branch of the Silk Road. In the 9th century, merchants from the Abbasid Caliphate established a trading post in Chittagong. The port fell to the Muslim conquest of Bengal during the 14th century. It was the site of a royal mint under the Delhi Sultanate, Bengal Sultanate and Mughal Empire. Between the 15th and 17th centuries, Chittagong was also a center of administrative, literary, commercial and maritime activities in Arakan, a narrow strip of land along the eastern coast of the Bay of Bengal which was under strong Bengali influence for 350 years. During the 16th century, the port became a Portuguese trading post and João de Barros described it as ""the most famous and wealthy city of the Kingdom of Bengal"". The Mughal Empire expelled the Portuguese and Arakanese in 1666. The Nawab of Bengal ceded Chittagong to the British East India Company in 1760. The Port of Chittagong was re-organized in 1887 and its busiest shipping links were with British Burma. In 1928, Chittagong was declared a ""Major Port"" of British India. During World War II, Chittagong was a base for Allied Forces engaged in the Burma Campaign. The port city began to expand and industrialize during the 1940s, particularly after the Partition of British India. The city was the historic terminus of the Assam Bengal Railway and Pakistan Eastern Railway. During the Bangladesh Liberation War in 1971, Chittagong was the site of the Bangladeshi declaration of independence. The port city has benefited from the growth of heavy industry, logistics and manufacturing in Bangladesh. Trade unionism was strong during the 1990s.
Chittagong accounts for 12% of Bangladesh's GDP, including 40% of industrial output, 80% of international trade and 50% of tax revenue. The port city is home to many of the oldest and largest companies in the country. The Port of Chittagong is one of the busiest ports in South Asia. The largest base of the Bangladesh Navy is located in Chittagong, along with an air base of the Bangladesh Air Force, garrisons of the Bangladesh Army and the main base of the Bangladesh Coast Guard. The eastern zone of the Bangladesh Railway is based in Chittagong. The Chittagong Stock Exchange is one of the twin stock markets of Bangladesh with over 700 listed companies. The Chittagong Tea Auction is a commodity exchange dealing with Bangladeshi tea. The CEPZ and KEPZ are key industrial zones with foreign direct investments. The city is served by Shah Amanat International Airport for domestic and external flights. Chittagong has a high degree of religious and ethnic diversity among Bangladeshi cities, despite having an overwhelming Bengali Muslim majority. Minorities include Bengali Hindus, Bengali Christians, Bengali Buddhists, Chakmas, Marmas, Tripuris, Garos and others.",https://en.wikipedia.org/wiki/Chittagong
Belarus,503984,Gomel,http://www.wikidata.org/entity/Q2678,wd:Q2678,160976,city and administrative centre of Gomel region in southeastern Belarus,"Gomel (Russian: Го́мель, pronounced [ˈɡomʲɪlʲ]) or Homyel (Belarusian: Го́мель, romanized: Homieĺ, pronounced [ˈɣomʲelʲ]) is the administrative centre of Gomel Region and the second-most populous city of Belarus with 526,872 inhabitants (2015 census).

",https://en.wikipedia.org/wiki/Gomel
