Entity,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number)
Afghanistan,1940
African Region (WHO),13950
Albania,1
Algeria,259
American Samoa,0
Andorra,1
Angola,246
Antigua and Barbuda,0
Argentina,36
Armenia,2
Australia,10
Austria,3
Azerbaijan,24
Bahamas,0
Bahrain,4
Bangladesh,4437
Barbados,0
Belarus,19
Belgium,5
Belize,0
Benin,165
Bermuda,0
Bhutan,10
Bolivia,19
Bosnia and Herzegovina,3
Botswana,8
Brazil,237
Brunei,3
Bulgaria,9
Burkina Faso,298
Burundi,212
Cambodia,310
Cameroon,378
Canada,12
Cape Verde,4
Central African Republic,123
Chad,409
Chile,5
China,3726
Colombia,13
Comoros,12
Congo,32
Cook Islands,0
Costa Rica,3
Cote d'Ivoire,220
Croatia,1
Cuba,4
Cyprus,1
Czechia,3
Democratic Republic of Congo,1027
Denmark,2
Djibouti,14
Dominica,0
Dominican Republic,43
East Asia & Pacific (WB),11506
Eastern Mediterranean Region (WHO),15834
Ecuador,12
Egypt,1356
El Salvador,6
England,18
Equatorial Guinea,3
Eritrea,118
Estonia,0
Eswatini,6
Ethiopia,1626
Europe & Central Asia (WB),889
European Region (WHO),894
Fiji,2
Finland,2
France,19
French Guiana,
French Polynesia,
G20,41726
Gabon,9
Gambia,21
Georgia,8
Germany,36
Ghana,285
Greece,39
Greenland,0
Grenada,0
Guadeloupe,
Guam,0
Guatemala,15
Guinea,260
Guinea-Bissau,34
Guyana,2
Haiti,82
Honduras,22
Hong Kong,
Hungary,3
Iceland,0
India,30987
Indonesia,5560
Iran,466
Iraq,114
Ireland,1
Israel,3
Italy,86
Jamaica,2
Japan,104
Jordan,11
Kazakhstan,21
Kenya,1476
Kiribati,3
Kosovo,
Kuwait,1
Kyrgyzstan,18
Laos,37
Latin America & Caribbean (WB),809
Latvia,1
Lebanon,142
Lesotho,24
Liberia,64
Libya,45
Lithuania,1
Luxembourg,0
Macau,
Madagascar,249
Malawi,300
Malaysia,202
Maldives,0
Mali,411
Malta,0
Marshall Islands,0
Martinique,
Mauritania,26
Mauritius,1
Mexico,242
Micronesia (country),0
Middle East & North Africa (WB),3596
Moldova,1
Monaco,0
Mongolia,15
Montenegro,0
Morocco,386
Mozambique,481
Myanmar,251
Namibia,8
Nauru,0
Nepal,543
Netherlands,5
New Caledonia,
New Zealand,1
Nicaragua,6
Niger,355
Nigeria,2540
Niue,0
North America (WB),143
North Korea,125
North Macedonia,1
Northern Ireland,1
Northern Mariana Islands,0
Norway,2
OECD Countries,933
Oman,31
Pakistan,8516
Palau,0
Palestine,6
Panama,1
Papua New Guinea,91
Paraguay,2
Peru,30
Philippines,137
Poland,11
Portugal,4
Puerto Rico,3
Qatar,2
Region of the Americas (WHO),949
Romania,6
Russia,57
Rwanda,178
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,1
San Marino,0
Sao Tome and Principe,2
Saudi Arabia,65
Scotland,2
Senegal,107
Serbia,4
Seychelles,0
Sierra Leone,144
Singapore,1
Slovakia,2
Slovenia,1
Solomon Islands,10
Somalia,967
South Africa,124
South Asia (WB),46457
South Korea,28
South Sudan,191
South-East Asia Region (WHO),42135
Spain,14
Sri Lanka,23
Sub-Saharan Africa (WB),15741
Sudan,1083
Suriname,1
Sweden,3
Switzerland,4
Syria,12
Taiwan,10
Tajikistan,71
Tanzania,637
Thailand,193
Timor,6
Togo,86
Tokelau,0
Tonga,4
Trinidad and Tobago,1
Tunisia,87
Turkey,130
Turkmenistan,43
Tuvalu,0
Uganda,390
Ukraine,72
United Arab Emirates,69
United Kingdom,22
United States,131
United States Virgin Islands,0
Uruguay,1
Uzbekistan,130
Vanuatu,3
Venezuela,21
Vietnam,674
Wales,1
Wallis and Futuna,
Western Pacific Region (WHO),5355
Western Sahara,
World,79176
World (excluding China),
World Bank High Income,757
World Bank Low Income,11692
World Bank Lower Middle Income,60419
World Bank Upper Middle Income,6276
Yemen,523
Zambia,263
Zimbabwe,136
