Entity,"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)"
Afghanistan,485
African Region (WHO),23657
Albania,18
Algeria,782
American Samoa,0
Andorra,0
Angola,513
Antigua and Barbuda,2
Argentina,672
Armenia,45
Australia,109
Austria,42
Azerbaijan,413
Bahamas,10
Bahrain,15
Bangladesh,1407
Barbados,5
Belarus,681
Belgium,129
Belize,4
Benin,312
Bermuda,0
Bhutan,8
Bolivia,174
Bosnia and Herzegovina,53
Botswana,107
Brazil,1661
Brunei,5
Bulgaria,117
Burkina Faso,724
Burundi,272
Cambodia,213
Cameroon,572
Canada,303
Cape Verde,16
Central African Republic,167
Chad,470
Chile,341
China,11096
Colombia,200
Comoros,16
Congo,85
Cook Islands,0
Costa Rica,21
Cote d'Ivoire,510
Croatia,38
Cuba,95
Cyprus,9
Czechia,72
Democratic Republic of Congo,1405
Denmark,75
Djibouti,27
Dominica,2
Dominican Republic,144
East Asia & Pacific (WB),19404
Eastern Mediterranean Region (WHO),12672
Ecuador,203
Egypt,1496
El Salvador,42
England,312
Equatorial Guinea,14
Eritrea,161
Estonia,54
Eswatini,53
Ethiopia,2101
Europe & Central Asia (WB),17372
European Region (WHO),17436
Fiji,26
Finland,70
France,683
French Guiana,
French Polynesia,
G20,62943
Gabon,30
Gambia,45
Georgia,118
Germany,678
Ghana,612
Greece,108
Greenland,2
Grenada,2
Guadeloupe,
Guam,1
Guatemala,176
Guinea,390
Guinea-Bissau,47
Guyana,16
Haiti,508
Honduras,46
Hong Kong,
Hungary,129
Iceland,2
India,25876
Indonesia,1455
Iran,1763
Iraq,955
Ireland,34
Israel,50
Italy,503
Jamaica,19
Japan,1617
Jordan,196
Kazakhstan,457
Kenya,829
Kiribati,1
Kosovo,
Kuwait,34
Kyrgyzstan,80
Laos,82
Latin America & Caribbean (WB),6213
Latvia,113
Lebanon,90
Lesotho,124
Liberia,107
Libya,136
Lithuania,60
Luxembourg,3
Macau,
Madagascar,405
Malawi,321
Malaysia,311
Maldives,5
Mali,759
Malta,2
Marshall Islands,1
Martinique,
Mauritania,57
Mauritius,21
Mexico,1147
Micronesia (country),1
Middle East & North Africa (WB),8552
Moldova,97
Monaco,0
Mongolia,99
Montenegro,12
Morocco,808
Mozambique,687
Myanmar,287
Namibia,88
Nauru,0
Nepal,191
Netherlands,108
New Caledonia,
New Zealand,23
Nicaragua,24
Niger,708
Nigeria,4017
Niue,0
North America (WB),3919
North Korea,305
North Macedonia,13
Northern Ireland,11
Northern Mariana Islands,0
Norway,54
OECD Countries,12630
Oman,22
Pakistan,2778
Palau,1
Palestine,41
Panama,23
Papua New Guinea,717
Paraguay,60
Peru,278
Philippines,1004
Poland,554
Portugal,155
Puerto Rico,34
Qatar,35
Region of the Americas (WHO),10097
Romania,407
Russia,6599
Rwanda,219
Saint Kitts and Nevis,2
Saint Lucia,3
Saint Vincent and the Grenadines,3
Samoa,2
San Marino,0
Sao Tome and Principe,1
Saudi Arabia,713
Scotland,40
Senegal,283
Serbia,103
Seychelles,2
Sierra Leone,234
Singapore,13
Slovakia,62
Slovenia,11
Solomon Islands,20
Somalia,621
South Africa,2179
South Asia (WB),31114
South Korea,557
South Sudan,259
South-East Asia Region (WHO),30598
Spain,239
Sri Lanka,363
Sub-Saharan Africa (WB),24607
Sudan,1110
Suriname,12
Sweden,89
Switzerland,39
Syria,147
Taiwan,144
Tajikistan,259
Tanzania,1198
Thailand,687
Timor,13
Togo,153
Tokelau,0
Tonga,3
Trinidad and Tobago,21
Tunisia,211
Turkey,419
Turkmenistan,116
Tuvalu,0
Uganda,616
Ukraine,2198
United Arab Emirates,190
United Kingdom,383
United States,3616
United States Virgin Islands,2
Uruguay,67
Uzbekistan,684
Vanuatu,4
Venezuela,196
Vietnam,608
Wales,20
Wallis and Futuna,
Western Pacific Region (WHO),16599
Western Sahara,
World,111292
World (excluding China),
World Bank High Income,12394
World Bank Low Income,14831
World Bank Lower Middle Income,51471
World Bank Upper Middle Income,32500
Yemen,839
Zambia,326
Zimbabwe,662
