1,Reunion,76.39%,2012
2,New Caledonia,61.29%,2012
3,Martinique,55.12%,2012
4,Slovenia,54.51%,2012
5,Venezuela,52.97%,2012
6,French Guiana,48.31%,2012
7,Germany,48.03%,2012
8,Guadeloupe,46.09%,2012
9,Turks and Caicos Islands,44.39%,2012
10,Brunei,43.99%,2012
11,Namibia,43.17%,2012
12,Liechtenstein,43.11%,2012
13,Seychelles,42.05%,2012
14,Hong Kong,41.88%,2012
15,Greenland,41.09%,2012
16,Cyprus,40.95%,2012
17,Luxembourg,39.65%,2012
18,Zambia,37.78%,2012
19,Botswana,37.19%,2012
20,Belize,36.65%,2012
21,Bulgaria,36.61%,2012
22,Slovakia,36.09%,2012
23,Gibraltar,35.97%,2012
24,Monaco,35.93%,2012
25,Greece,34.65%,2012
26,Poland,34.2%,2012
27,Trinidad and Tobago,32.6%,2012
28,Tanzania,32.18%,2012
29,Saudi Arabia,31.26%,2012
30,Guatemala,30.93%,2012
31,Nicaragua,30.83%,2012
32,Spain,29.01%,2012
33,Bhutan,28.35%,2012
34,Saint Helena,28.26%,2012
35,Guinea,28.06%,2012
36,United Kingdom,27.91%,2012
37,New Zealand,27.26%,2012
38,Zimbabwe,27.17%,2012
39,Costa Rica,26.94%,2012
40,Guam,26.84%,2012
41,Switzerland,26.3%,2012
42,Brazil,26.26%,2012
43,Cambodia,26.21%,2012
44,Benin,26.1%,2012
45,Senegal,24.76%,2012
46,France,24.74%,2012
47,Togo,24.66%,2012
48,Ecuador,23.73%,2012
49,Austria,23.59%,2012
50,Saint Pierre and Miquelon,23.5%,2012
51,Hungary,23.14%,2012
52,Belgium,23.02%,2012
53,Cote d'Ivoire,22.89%,2012
54,Czech Republic,22.37%,2012
55,Portugal,22.26%,2012
56,Kiribati,22.01%,2012
57,Sri Lanka,22%,2012
58,Dominica,21.69%,2012
59,Italy,21.6%,2012
60,Morocco,21.54%,2012
61,Malta,21.5%,2012
62,Colombia,21.18%,2012
63,Honduras,21.1%,2012
64,Estonia,20.91%,2012
65,Bolivia,20.83%,2012
66,Equatorial Guinea,20.61%,2012
67,Panama,20.57%,2012
68,Gabon,19.94%,2012
69,Iceland,19.86%,2012
70,Netherlands,19.54%,2012
71,Peru,19.06%,2012
72,Thailand,18.82%,2012
73,Romania,18.71%,2012
74,Latvia,18.57%,2012
75,Chile,18.56%,2012
76,Dominican Republic,18.55%,2012
77,Denmark,18.42%,2012
78,Ethiopia,18.41%,2012
79,Kuwait,18.39%,2012
80,Malaysia,18.35%,2012
81,Malawi,18.25%,2012
82,United Arab Emirates,18.15%,2012
83,Central African Republic,17.98%,2012
84,Mozambique,17.63%,2012
85,Israel,17.43%,2012
86,Saint Lucia,16.86%,2012
87,Netherlands Antilles,16.83%,2012
88,Lithuania,16.78%,2012
89,Niger,16.72%,2012
90,China,16.71%,2012
91,Laos,16.68%,2012
92,Chad,16.62%,2012
93,Japan,16.54%,2012
94,Nepal,16.38%,2012
95,Guinea-Bissau,16.34%,2012
96,Norway,16.33%,2012
97,Palau,15.95%,2012
98,Jamaica,15.89%,2012
99,Tonga,15.62%,2012
100,Virgin Islands,15.34%,2012
101,Burkina Faso,15.19%,2012
102,Finland,15.1%,2012
103,Ghana,15.06%,2012
104,Montenegro,14.79%,2012
105,Suriname,14.72%,2012
106,Indonesia,14.7%,2012
107,Sweden,14.53%,2012
108,Ireland,14.27%,2012
109,Nigeria,14.11%,2012
110,Croatia,14.06%,2012
111,United States,13.82%,2012
112,Mongolia,13.78%,2012
113,The Bahamas,13.66%,2012
114,Mexico,12.92%,2012
115,Australia,12.85%,2012
116,Cuba,12.41%,2012
117,Angola,12.4%,2012
118,Democratic Republic of the Congo,12.04%,2012
119,Kenya,11.61%,2012
120,Uganda,11.45%,2012
121,Russia,11.33%,2012
122,Egypt,11.23%,2012
123,Cameroon,10.99%,2012
124,Albania,10.96%,2012
125,Philippines,10.91%,2012
126,Saint Vincent and the Grenadines,10.88%,2012
127,Pakistan,10.75%,2012
128,Oman,10.68%,2012
129,Rwanda,10.55%,2012
130,Sierra Leone,10.5%,2012
131,Montserrat,10.48%,2012
132,Puerto Rico,10.26%,2012
133,Antigua and Barbuda,10.18%,2012
134,Comoros,10.1%,2012
135,Andorra,9.83%,2012
136,Niue,9.08%,2012
137,British Virgin Islands,8.96%,2012
138,Cayman Islands,8.74%,2012
139,East Timor,8.72%,2012
140,Canada,8.56%,2012
141,El Salvador,8.44%,2012
142,Belarus,8.28%,2012
143,Armenia,8.1%,2012
144,Algeria,7.46%,2012
145,Azerbaijan,7.36%,2012
146,Burma,7.28%,2012
147,Republic of Macedonia,7.27%,2012
148,Iran,7.16%,2012
149,Argentina,6.91%,2012
150,Samoa,6.74%,2012
151,Vietnam,6.45%,2012
152,Paraguay,6.4%,2012
153,Kyrgyzstan,6.33%,2012
154,Serbia,6.3%,2012
155,South Korea,6.27%,2012
156,South Africa,6.2%,2012
157,Tokelau,6.09%,2012
158,Mali,6.05%,2012
159,Anguilla,5.96%,2012
160,Western Sahara,5.77%,2012
161,Bermuda,5.76%,2012
162,Tunisia,5.38%,2012
163,Singapore,5.37%,2012
164,India,5.21%,2012
165,Guyana,5.21%,2012
166,Madagascar,4.99%,2012
167,Eritrea,4.96%,2012
168,Burundi,4.89%,2012
169,Gambia,4.83%,2012
170,Mayotte,4.82%,2012
171,Tajikistan,4.77%,2012
172,Bangladesh,4.72%,2012
173,Mauritius,4.49%,2012
174,Fiji,4.33%,2012
175,Vanuatu,4.23%,2012
176,Ukraine,4.05%,2012
177,Federated States of Micronesia,4.03%,2012
178,Georgia,3.93%,2012
179,Moldova,3.82%,2012
180,Saint Kitts and Nevis,3.57%,2012
181,Uzbekistan,3.35%,2012
182,Kazakhstan,3.32%,2012
183,Qatar,3.18%,2012
184,Turkmenistan,3.18%,2012
185,Papua New Guinea,3.12%,2012
186,Northern Mariana Islands,3.07%,2012
187,Marshall Islands,3.04%,2012
188,Swaziland,3.02%,2012
189,American Samoa,2.93%,2012
190,Bahrain,2.8%,2012
191,Uruguay,2.68%,2012
192,Liberia,2.52%,2012
193,Cape Verde,2.47%,2012
194,Solomon Islands,2.2%,2012
195,Grenada,2.2%,2012
196,Turkey,2.05%,2012
197,French Polynesia,1.98%,2012
198,Tuvalu,1.94%,2012
199,Jordan,1.91%,2010
200,Faeroe Islands,1.7%,2012
201,Bosnia and Herzegovina,1.49%,2012
