object,objectLabel,countryLabel,siterank
http://www.wikidata.org/entity/Q9366,Google Search,United States of America,1
http://www.wikidata.org/entity/Q866,YouTube,United States of America,2
http://www.wikidata.org/entity/Q14772,Baidu,People's Republic of China,4
http://www.wikidata.org/entity/Q62129644,Pulzo,Colombia,4
http://www.wikidata.org/entity/Q37093,Yahoo,United States of America,6
http://www.wikidata.org/entity/Q857640,Tencent QQ,People's Republic of China,6
http://www.wikidata.org/entity/Q15912288,QQ.com,People's Republic of China,9
http://www.wikidata.org/entity/Q3884,Amazon,United States of America,10
http://www.wikidata.org/entity/Q355,Facebook,United States of America,3
http://www.wikidata.org/entity/Q2117484,Taobao,People's Republic of China,10
http://www.wikidata.org/entity/Q2829108,Tmall,People's Republic of China,12
http://www.wikidata.org/entity/Q116933,VK,Russia,15
http://www.wikidata.org/entity/Q52,Wikipedia,United States of America,13
http://www.wikidata.org/entity/Q1136,Reddit,United States of America,19
http://www.wikidata.org/entity/Q3598926,JD.com,People's Republic of China,19
http://www.wikidata.org/entity/Q92526,Sina Weibo,People's Republic of China,21
http://www.wikidata.org/entity/Q209330,Instagram,United States of America,20
http://www.wikidata.org/entity/Q965133,Sohu,People's Republic of China,18
http://www.wikidata.org/entity/Q4555537,Twitch,United States of America,30
http://www.wikidata.org/entity/Q4555537,Twitch,United States of America,40
http://www.wikidata.org/entity/Q182496,Microsoft Bing,United States of America,28
http://www.wikidata.org/entity/Q213660,LinkedIn,United States of America,29
http://www.wikidata.org/entity/Q907311,Netflix,United States of America,32
http://www.wikidata.org/entity/Q4555537,Twitch,United States of America,32
http://www.wikidata.org/entity/Q1146428,Yahoo! Japan,Japan,35
http://www.wikidata.org/entity/Q918,Twitter,United States of America,37
http://www.wikidata.org/entity/Q355022,Imgur,United States of America,45
http://www.wikidata.org/entity/Q58024,eBay,United States of America,42
http://www.wikidata.org/entity/Q4555537,Twitch,United States of America,44
http://www.wikidata.org/entity/Q1123836,Odnoklassniki,Russia,49
http://www.wikidata.org/entity/Q42232,Mail.ru,Russia,52
http://www.wikidata.org/entity/Q2796,iPad,United States of America,59
http://www.wikidata.org/entity/Q5281,Yandex,Russia,48
http://www.wikidata.org/entity/Q1123836,Odnoklassniki,Russia,48
http://www.wikidata.org/entity/Q483959,PayPal,United States of America,57
http://www.wikidata.org/entity/Q936394,Pornhub,Canada,57
http://www.wikidata.org/entity/Q17459,Fandom,United States of America,65
http://www.wikidata.org/entity/Q4299858,My World@Mail.Ru,Russia,52
http://www.wikidata.org/entity/Q10850884,Hao123,People's Republic of China,53
http://www.wikidata.org/entity/Q2931769,CNN Business,United States of America,104
http://www.wikidata.org/entity/Q1381966,Flipkart,India,106
http://www.wikidata.org/entity/Q7800252,Tianya Club,People's Republic of China,94
http://www.wikidata.org/entity/Q3491353,Soso,People's Republic of China,96
http://www.wikidata.org/entity/Q23306093,Pixnet,Taiwan,98
http://www.wikidata.org/entity/Q3046137,ESPN.com,United States of America,76
