Entity,Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number)
Afghanistan,59
African Region (WHO),5391
Albania,4
Algeria,40
American Samoa,0
Andorra,0
Angola,114
Antigua and Barbuda,0
Argentina,45
Armenia,47
Australia,37
Austria,35
Azerbaijan,129
Bahamas,1
Bahrain,1
Bangladesh,113
Barbados,0
Belarus,619
Belgium,48
Belize,0
Benin,74
Bermuda,0
Bhutan,2
Bolivia,21
Bosnia and Herzegovina,14
Botswana,18
Brazil,76
Brunei,1
Bulgaria,115
Burkina Faso,138
Burundi,89
Cambodia,5
Cameroon,128
Canada,128
Cape Verde,2
Central African Republic,46
Chad,133
Chile,38
China,4966
Colombia,16
Comoros,5
Congo,19
Cook Islands,0
Costa Rica,2
Cote d'Ivoire,134
Croatia,21
Cuba,18
Cyprus,3
Czechia,135
Democratic Republic of Congo,324
Denmark,14
Djibouti,8
Dominica,0
Dominican Republic,10
East Asia & Pacific (WB),8378
Eastern Mediterranean Region (WHO),1168
Ecuador,14
Egypt,42
El Salvador,3
England,102
Equatorial Guinea,3
Eritrea,59
Estonia,53
Eswatini,11
Ethiopia,694
Europe & Central Asia (WB),18533
European Region (WHO),18553
Fiji,1
Finland,98
France,1875
French Guiana,
French Polynesia,
G20,34626
Gabon,6
Gambia,11
Georgia,24
Germany,150
Ghana,131
Greece,24
Greenland,2
Grenada,0
Guadeloupe,
Guam,0
Guatemala,41
Guinea,96
Guinea-Bissau,15
Guyana,4
Haiti,162
Honduras,5
Hong Kong,
Hungary,207
Iceland,1
India,11348
Indonesia,132
Iran,71
Iraq,15
Ireland,7
Israel,16
Italy,180
Jamaica,1
Japan,2134
Jordan,3
Kazakhstan,741
Kenya,243
Kiribati,1
Kosovo,
Kuwait,3
Kyrgyzstan,104
Laos,12
Latin America & Caribbean (WB),708
Latvia,107
Lebanon,3
Lesotho,26
Liberia,19
Libya,5
Lithuania,200
Luxembourg,1
Macau,
Madagascar,140
Malawi,85
Malaysia,13
Maldives,0
Mali,134
Malta,1
Marshall Islands,0
Martinique,
Mauritania,12
Mauritius,0
Mexico,152
Micronesia (country),0
Middle East & North Africa (WB),422
Moldova,193
Monaco,0
Mongolia,263
Montenegro,5
Morocco,104
Mozambique,160
Myanmar,14
Namibia,17
Nauru,0
Nepal,227
Netherlands,16
New Caledonia,
New Zealand,7
Nicaragua,4
Niger,124
Nigeria,927
Niue,0
North America (WB),1506
North Korea,109
North Macedonia,5
Northern Ireland,4
Northern Mariana Islands,0
Norway,32
OECD Countries,8191
Oman,9
Pakistan,436
Palau,0
Palestine,2
Panama,2
Papua New Guinea,29
Paraguay,6
Peru,63
Philippines,192
Poland,351
Portugal,40
Puerto Rico,3
Qatar,4
Region of the Americas (WHO),2211
Romania,298
Russia,9104
Rwanda,51
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,1
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,11
Scotland,14
Senegal,66
Serbia,50
Seychelles,0
Sierra Leone,50
Singapore,2
Slovakia,110
Slovenia,14
Solomon Islands,3
Somalia,249
South Africa,421
South Asia (WB),12234
South Korea,301
South Sudan,73
South-East Asia Region (WHO),12039
Spain,59
Sri Lanka,49
Sub-Saharan Africa (WB),5659
Sudan,59
Suriname,1
Sweden,59
Switzerland,11
Syria,22
Taiwan,25
Tajikistan,12
Tanzania,242
Thailand,44
Timor,2
Togo,38
Tokelau,0
Tonga,0
Trinidad and Tobago,1
Tunisia,8
Turkey,44
Turkmenistan,136
Tuvalu,0
Uganda,152
Ukraine,2733
United Arab Emirates,12
United Kingdom,128
United States,1378
United States Virgin Islands,1
Uruguay,6
Uzbekistan,178
Vanuatu,1
Venezuela,11
Vietnam,82
Wales,8
Wallis and Futuna,
Western Pacific Region (WHO),8051
Western Sahara,
World,47461
World (excluding China),
World Bank High Income,8082
World Bank Low Income,3860
World Bank Lower Middle Income,18171
World Bank Upper Middle Income,17332
Yemen,43
Zambia,84
Zimbabwe,37
