Entity,Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number)
Afghanistan,5637
African Region (WHO),127158
Albania,329
Algeria,8201
American Samoa,26
Andorra,16
Angola,2464
Antigua and Barbuda,36
Argentina,15665
Armenia,449
Australia,5207
Austria,3367
Azerbaijan,1386
Bahamas,112
Bahrain,176
Bangladesh,12775
Barbados,123
Belarus,500
Belgium,2965
Belize,112
Benin,1581
Bermuda,19
Bhutan,147
Bolivia,4425
Bosnia and Herzegovina,658
Botswana,444
Brazil,42336
Brunei,78
Bulgaria,1950
Burkina Faso,2822
Burundi,1040
Cambodia,2193
Cameroon,4783
Canada,7501
Cape Verde,105
Central African Republic,653
Chad,1817
Chile,5038
China,196726
Colombia,9496
Comoros,117
Congo,701
Cook Islands,7
Costa Rica,1372
Cote d'Ivoire,3434
Croatia,923
Cuba,2727
Cyprus,335
Czechia,1317
Democratic Republic of Congo,8034
Denmark,1133
Djibouti,136
Dominica,43
Dominican Republic,2280
East Asia & Pacific (WB),417675
Eastern Mediterranean Region (WHO),130058
Ecuador,6914
Egypt,21981
El Salvador,4083
England,6288
Equatorial Guinea,139
Eritrea,660
Estonia,349
Eswatini,269
Ethiopia,9860
Europe & Central Asia (WB),177205
European Region (WHO),180431
Fiji,292
Finland,706
France,12700
French Guiana,
French Polynesia,
G20,941790
Gabon,367
Gambia,310
Georgia,706
Germany,35220
Ghana,4679
Greece,4604
Greenland,7
Grenada,50
Guadeloupe,
Guam,56
Guatemala,6018
Guinea,1933
Guinea-Bissau,293
Guyana,285
Haiti,2371
Honduras,3163
Hong Kong,
Hungary,1821
Iceland,33
India,222922
Indonesia,42131
Iran,12546
Iraq,7887
Ireland,700
Israel,2765
Italy,16513
Jamaica,939
Japan,45324
Jordan,1813
Kazakhstan,1873
Kenya,4764
Kiribati,37
Kosovo,
Kuwait,322
Kyrgyzstan,489
Laos,1712
Latin America & Caribbean (WB),209214
Latvia,263
Lebanon,1180
Lesotho,559
Liberia,645
Libya,1374
Lithuania,262
Luxembourg,119
Macau,
Madagascar,1938
Malawi,1783
Malaysia,6105
Maldives,89
Mali,2698
Malta,105
Marshall Islands,17
Martinique,
Mauritania,590
Mauritius,1260
Mexico,72539
Micronesia (country),49
Middle East & North Africa (WB),85119
Moldova,245
Monaco,8
Mongolia,391
Montenegro,127
Morocco,9320
Mozambique,2645
Myanmar,11554
Namibia,349
Nauru,3
Nepal,5108
Netherlands,3780
New Caledonia,
New Zealand,915
Nicaragua,3475
Niger,2201
Nigeria,20045
Niue,1
North America (WB),114475
North Korea,4318
North Macedonia,363
Northern Ireland,241
Northern Mariana Islands,24
Norway,776
OECD Countries,396464
Oman,199
Pakistan,44390
Palau,13
Palestine,649
Panama,1154
Papua New Guinea,741
Paraguay,1883
Peru,8044
Philippines,33358
Poland,4695
Portugal,4068
Puerto Rico,2057
Qatar,133
Region of the Americas (WHO),321560
Romania,3043
Russia,11652
Rwanda,1266
Saint Kitts and Nevis,32
Saint Lucia,71
Saint Vincent and the Grenadines,46
Samoa,61
San Marino,4
Sao Tome and Principe,50
Saudi Arabia,6930
Scotland,821
Senegal,2447
Serbia,2517
Seychelles,44
Sierra Leone,1036
Singapore,758
Slovakia,758
Slovenia,261
Solomon Islands,89
Somalia,1878
South Africa,12353
South Asia (WB),296628
South Korea,7979
South Sudan,933
South-East Asia Region (WHO),332282
Spain,14645
Sri Lanka,5560
Sub-Saharan Africa (WB),125589
Sudan,4754
Suriname,262
Sweden,1999
Switzerland,2218
Syria,2661
Taiwan,8248
Tajikistan,405
Tanzania,6232
Thailand,27446
Timor,233
Togo,1004
Tokelau,1
Tonga,32
Trinidad and Tobago,618
Tunisia,2634
Turkey,19193
Turkmenistan,712
Tuvalu,5
Uganda,3386
Ukraine,2660
United Arab Emirates,1433
United Kingdom,7776
United States,106954
United States Virgin Islands,52
Uruguay,989
Uzbekistan,3971
Vanuatu,70
Venezuela,10405
Vietnam,21485
Wales,426
Wallis and Futuna,
Western Pacific Region (WHO),329856
Western Sahara,
World,1427232
World (excluding China),
World Bank High Income,327660
World Bank Low Income,78939
World Bank Lower Middle Income,520920
World Bank Upper Middle Income,498749
Yemen,2676
Zambia,1931
Zimbabwe,2292
