Entity,Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number)
Afghanistan,4038
African Region (WHO),91905
Albania,3
Algeria,638
American Samoa,1
Andorra,0
Angola,2069
Antigua and Barbuda,0
Argentina,377
Armenia,8
Australia,13
Austria,3
Azerbaijan,32
Bahamas,4
Bahrain,5
Bangladesh,6598
Barbados,2
Belarus,13
Belgium,5
Belize,5
Benin,1320
Bermuda,0
Bhutan,26
Bolivia,557
Bosnia and Herzegovina,1
Botswana,51
Brazil,1935
Brunei,3
Bulgaria,8
Burkina Faso,2076
Burundi,1301
Cambodia,477
Cameroon,2917
Canada,25
Cape Verde,6
Central African Republic,845
Chad,3239
Chile,49
China,1537
Colombia,475
Comoros,26
Congo,392
Cook Islands,0
Costa Rica,20
Cote d'Ivoire,2270
Croatia,2
Cuba,53
Cyprus,0
Czechia,3
Democratic Republic of Congo,10119
Denmark,1
Djibouti,134
Dominica,1
Dominican Republic,231
East Asia & Pacific (WB),13152
Eastern Mediterranean Region (WHO),29893
Ecuador,263
Egypt,751
El Salvador,44
England,31
Equatorial Guinea,56
Eritrea,866
Estonia,0
Eswatini,26
Ethiopia,7634
Europe & Central Asia (WB),1374
European Region (WHO),1385
Fiji,15
Finland,2
France,46
French Guiana,
French Polynesia,
G20,55454
Gabon,80
Gambia,291
Georgia,19
Germany,35
Ghana,1518
Greece,4
Greenland,0
Grenada,1
Guadeloupe,
Guam,1
Guatemala,505
Guinea,2224
Guinea-Bissau,152
Guyana,24
Haiti,1562
Honduras,254
Hong Kong,
Hungary,10
Iceland,0
India,41843
Indonesia,5264
Iran,214
Iraq,352
Ireland,2
Israel,9
Italy,18
Jamaica,28
Japan,40
Jordan,76
Kazakhstan,54
Kenya,3767
Kiribati,8
Kosovo,
Kuwait,3
Kyrgyzstan,57
Laos,315
Latin America & Caribbean (WB),8647
Latvia,2
Lebanon,17
Lesotho,150
Liberia,713
Libya,27
Lithuania,2
Luxembourg,0
Macau,
Madagascar,2348
Malawi,1151
Malaysia,255
Maldives,7
Mali,3520
Malta,0
Marshall Islands,2
Martinique,
Mauritania,500
Mauritius,7
Mexico,1019
Micronesia (country),2
Middle East & North Africa (WB),4901
Moldova,6
Monaco,0
Mongolia,41
Montenegro,0
Morocco,567
Mozambique,2072
Myanmar,1653
Namibia,77
Nauru,0
Nepal,1714
Netherlands,7
New Caledonia,
New Zealand,6
Nicaragua,53
Niger,3504
Nigeria,17650
Niue,0
North America (WB),1015
North Korea,182
North Macedonia,1
Northern Ireland,2
Northern Mariana Islands,0
Norway,1
OECD Countries,2700
Oman,14
Pakistan,16162
Palau,0
Palestine,20
Panama,53
Papua New Guinea,770
Paraguay,114
Peru,486
Philippines,1859
Poland,14
Portugal,5
Puerto Rico,5
Qatar,6
Region of the Americas (WHO),9656
Romania,26
Russia,206
Rwanda,839
Saint Kitts and Nevis,1
Saint Lucia,2
Saint Vincent and the Grenadines,1
Samoa,1
San Marino,0
Sao Tome and Principe,6
Saudi Arabia,245
Scotland,5
Senegal,1767
Serbia,7
Seychelles,1
Sierra Leone,1390
Singapore,2
Slovakia,3
Slovenia,1
Solomon Islands,59
Somalia,3046
South Africa,1379
South Asia (WB),70492
South Korea,38
South Sudan,673
South-East Asia Region (WHO),57733
Spain,15
Sri Lanka,104
Sub-Saharan Africa (WB),96726
Sudan,2413
Suriname,11
Sweden,3
Switzerland,4
Syria,50
Taiwan,19
Tajikistan,55
Tanzania,5506
Thailand,282
Timor,62
Togo,551
Tokelau,0
Tonga,2
Trinidad and Tobago,7
Tunisia,55
Turkey,284
Turkmenistan,55
Tuvalu,0
Uganda,2121
Ukraine,81
United Arab Emirates,12
United Kingdom,40
United States,990
United States Virgin Islands,0
Uruguay,10
Uzbekistan,228
Vanuatu,8
Venezuela,497
Vietnam,234
Wales,2
Wallis and Futuna,
Western Pacific Region (WHO),5703
Western Sahara,
World,196471
World (excluding China),
World Bank High Income,1738
World Bank Low Income,68082
World Bank Lower Middle Income,115199
World Bank Upper Middle Income,11289
Yemen,1705
Zambia,804
Zimbabwe,1294
