country,1,2,3,prostitutes per 10000 population
Afghanistan,"12,500 (2016)",,"34,656,032",4
Albania,No data,"5,000 - 30,000 (2006)[7]","2,926,348",60
Algeria,No data,,"40,606,052",-
Angola,"54,000 (2017)",,"28,813,463",19
Antigua and Barbuda,No data,800 (2014),"100,963",79
Argentina,"74,900 (2014)",,"43,847,430",17
Armenia,"9,000 (2018)",,"2,924,816",30
Australia,"20,500 (2012)","20,000 (2017) [8]","24,125,848",8
Austria,No data,"30,000 (2013)[9]","8,712,137",34
Azerbaijan,"13,800 (2018)",,"9,725,376",14
Bahamas,"3,035 (2016)",,"391,232",78
Bahrain,No data,"13,500 (2007)[10]","1,425,171",95
Bangladesh,"140,000 (2015)",,"162,951,560",1
Belarus,"22,000 (2016)",,"9,480,042",23
Belgium,No data,"26,000 (2015)[11]","11,358,379",23
Benin,"28,800 (2017)",,"10,872,298",26
Bhutan,400 - 500 (2017)[12],,"797,765",5
Bolivia,"31,000 (2016)",,"10,887,882",29
Bosnia and Herzegovina,"4,000 (2016)",,"3,516,816",11
Botswana,"4,200 (2016)",,"2,250,260",19
Brazil,"1,400,000 (2013)",,"207,652,865",26
Bulgaria,"10,000 (2016)",,"7,131,494",14
Burkina Faso,"31,000 (2016)",,"18,646,433",17
Burundi,"51,000 (2016)",,"10,524,117",49
Cambodia,"34,000 (2016)",,"15,762,370",22
Cameroon,"70,500 (2018)",,"23,439,189",47
Canada,No data,,"36,289,822",-
Cape Verde,"1,400 (2016)",,"539,56",26
Central African Republic,782 (2016),,"4,594,621",2
Chad,"1,200 (2016)",,"14,452,543",1
Chile,No data,,"17,909,754",-
China,No data,"2,800,000 - 4,500,000 (2010)[13]","1,403,500,365",23
Colombia,"244,400 (2013)",,"48,653,419",2
Comoros,200 (2016),,"795,601",3
Congo,"9,700 (2017)",,"5,125,821",-
Costa Rica,"3,000 (2017)","15,000 (unknown)[14]","4,857,274",31
Croatia,No data,"21,066 (2006)[15]","4,213,265",50
Cuba,"82,500 (2017)",,"11,475,982",78
Cyprus,No data,,"1,170,125",-
Czech Republic,"13,000 (2016)",,"10,610,947",12
Democratic Republic of the Congo,"350,300 (2018)",,"78,736,153",45
Denmark,No data,"6,000 (2009)[16]","5,711,870",11
Djibouti,"2,900 (2016)",,"942,333",31
Dominican Republic,"97,800 (2015)",,"10,648,791",75
East Timor,"1,700 (2016)",,"1,268,671",13
Ecuador,"34,400 (2014)",,"16,385,068",21
Egypt,"23,000 (2016)",,"95,688,681",2
El Salvador,"20,000 (2016)",,"6,344,722",32
Equatorial Guinea,"5,800 (2016)",,"1,221,490",41
Eritrea,"1,600 (2016)",,"4,954,645",3
Estonia,"1,000 (2016)",,"1,312,442",7
Ethiopia,"85,000 (2016)",,"102,403,196",2
Federated States of Micronesia,290 (2016),,"104,937",29
Fiji,900 (2014),,"898,76",10
Finland,No data,"4,000 (2009)[16]","5,503,132",7
France,No data,"30,000 (2018)[17]","64,720,690",5
Gabon,368 (2016),,"1,979,786",2
Gambia,"3,100 (2016)",,"2,038,501",15
Georgia,"6,500 (2016)",,"3,925,405",17
Germany,No data,"300,000 (2009)[16]","81,914,672",37
Ghana,"52,000 (2016)",,"28,206,728",18
Greece,No data,"10,500 –15,000 (2009)[16]","11,183,716",11
Guatemala,"83,000 (2019)",,"16,582,469",16
Guinea,"8,400 (2016)",,"12,395,924",7
Guinea-Bissau,"3,100 (2016)",,"1,815,698",17
Guyana,"5,300 (2016)",,"773,303",69
Haiti,"70,300 (2015)",,"10,847,334",65
Honduras,"22,800 (2016)",,"9,112,867",25
Hungary,No data,"20,000 - 25,000 (2006)[18]","9,753,281",23
India,"657,800 (2016)",,"1,324,171,354",5
Indonesia,"226,800 (2016)",,"261,115,456",9
Iran,"90,000 (2015)","91,500 (2015)[19]","80,277,428",11
Iraq,No data,,"37,202,572",-
Ireland,"1,000 (2016)",,"4,726,078",2
Israel,No data,"12,000 (2015)[20]","8,191,828",15
Italy,No data,"60,000 (2009)[16]","59,429,938",10
Ivory Coast,"10,900 (2016)",,"23,695,919",4
Jamaica,"18,700 (2014)",,"2,881,355",66
Japan,No data,,"127,748,513",-
Jordan,No data,,"9,455,802",-
Kazakhstan,"19,000 (2016)",,"17,987,736",11
Kenya,"167,900 (2018)",,"48,461,567",35
Kiribati,114 (2016),,"114,395",10
Kuwait,No data,,"4,052,584",-
Kyrgyzstan,"7,100 (2016)",,"5,955,734",12
Laos,"13,000 (2016)",,"6,758,353",19
Latvia,No data,"29,558 (2006)[15]","1,970,530",150
Lebanon,"4,300 (2018)",,"6,006,668",7
