,Unnamed: 0,country,number,item,item_id,wikidata_description_x,pageid_y,wikidata_description_y,pageid_x.1,wikidata_description_x.1,pageid_y.1,wikidata_description_y.1,pageid_x.1.1,wikidata_description_x.1.1,pageid_y.1.1,wikidata_description_y.1.1,pageid_x,wikidata_description_x.1.1.1,shortform,pageid_y.1.1.1,wikidata_description_y.1.1.1,pageid_x.1.1.1,wikidata_description_x.1.1.1.1,pageid_y.1.1.1.1,wikidata_description_y.1.1.1.1,pageid,wikidata_description,wikipedia_summary,wikipedia_url
0,0,Afghanistan,51,Roxana,http://www.wikidata.org/entity/Q190055,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,"Roxana (c. 340 BCE – 310 BCE, Ancient Greek: Ῥωξάνη; Old Iranian: *Raṷxšnā- ""shining, radiant, brilliant""; sometimes Roxanne, Roxanna, Rukhsana, Roxandra and Roxane) was a Sogdian or a Bactrian princess whom Alexander the Great married after defeating Darius, ruler of the Achaemenid Empire, and invading Persia. The exact date of her birth is unknown, but she was probably in her late teens or early twenties at the time of her wedding to Alexander the Great.",https://en.wikipedia.org/wiki/Roxana
1,1,Albania,178,Mother Teresa,http://www.wikidata.org/entity/Q30547,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,wd:Q30547,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,"Mother Mary Teresa Bojaxhiu (born Anjezë Gonxhe Bojaxhiu, Albanian: [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]; 26 August 1910 – 5 September 1997), honoured in the Catholic Church as Saint Teresa of Calcutta, was an Albanian-Indian Roman Catholic nun and missionary. She was born in Skopje (now the capital of North Macedonia), then part of the Kosovo Vilayet of the Ottoman Empire. After living in Skopje for eighteen years, she moved to Ireland and then to India, where she lived for most of her life.
In 1950, Teresa founded the Missionaries of Charity, a Roman Catholic religious congregation that had over 4,500 nuns and was active in 133 countries as of 2012. The congregation manages homes for people who are dying of HIV/AIDS, leprosy and tuberculosis. It also runs soup kitchens, dispensaries, mobile clinics, children's and family counselling programmes, as well as orphanages and schools. Members take vows of chastity, poverty, and obedience, and also profess a fourth vow – to give ""wholehearted free service to the poorest of the poor.""Teresa received a number of honours, including the 1962 Ramon Magsaysay Peace Prize and the 1979 Nobel Peace Prize. She was canonised on 4 September 2016, and the anniversary of her death (5 September) is her feast day. A controversial figure during her life and after her death, Teresa was admired by many for her charitable work. She was praised and criticized on various counts, such as for her views on abortion and contraception, and was criticized for poor conditions in her houses for the dying. Her authorized biography was written by Navin Chawla and published in 1992, and she has been the subject of films and other books. On 6 September 2017, Teresa and St. Francis Xavier were named co-patrons of the Roman Catholic Archdiocese of Calcutta.",https://en.wikipedia.org/wiki/Mother_Teresa
5,5,Algeria,48,Assia Djebar,http://www.wikidata.org/entity/Q157313,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),wd:Q157313,1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),"Fatima-Zohra Imalayen (30 June 1936 – 6 February 2015), known by her pen name Assia Djebar (Arabic: آسيا جبار), was an Algerian novelist, translator and filmmaker. Most of her works deal with obstacles faced by women, and she is noted for her feminist stance. She is ""frequently associated with women's writing movements, her novels are clearly focused on the creation of a genealogy of Algerian women, and her political stance is virulently anti-patriarchal as much as it is anti-colonial."" Djebar is considered to be one of North Africa's pre-eminent and most influential writers. She was elected to the Académie française on 16 June 2005, the first writer from the Maghreb to achieve such recognition. For the entire body of her work she was awarded the 1996 Neustadt International Prize for Literature. She was often named as a contender for the Nobel Prize for Literature.",https://en.wikipedia.org/wiki/Assia_Djebar
25,25,Andorra,26,Susanne Georgi,http://www.wikidata.org/entity/Q236034,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,wd:Q236034,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,"Susanne Georgi Nielsen (born 27 July 1976 in Sjølund), commonly known as Susanne Georgi, is a Danish-Andorran singer who lives and works in Andorra and represented the country in the Eurovision Song Contest 2009.",https://en.wikipedia.org/wiki/Susanne_Georgi
30,30,Angola,36,Leila Lopes,http://www.wikidata.org/entity/Q232501,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",wd:Q232501,30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011","Leila Luliana da Costa Vieira Lopes Umenyiora (born 26 February 1986) is an Angolan model and beauty pageant titleholder who was crowned Miss Universe 2011. She had previously won Miss Angola UK 2010 and Miss Angola 2010, and was the first woman from Angola to win Miss Universe.

",https://en.wikipedia.org/wiki/Leila_Lopes_(Angolan_actress)
41,41,Antigua and Barbuda,27,Jamaica Kincaid,http://www.wikidata.org/entity/Q275601,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",wd:Q275601,939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer","Jamaica Kincaid (; born May 25, 1949) is an Antiguan-American novelist, essayist, gardener, and gardening writer. She was born in St. John's, Antigua (part of the twin-island nation of Antigua and Barbuda). She lives in North Bennington, Vermont (in the United States), during the summers, and is Professor of African and African American Studies in Residence at Harvard University during the academic year.",https://en.wikipedia.org/wiki/Jamaica_Kincaid
43,43,Argentina,111,Cristina Fernández de Kirchner,http://www.wikidata.org/entity/Q40649,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",wd:Q40649,1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina","Cristina Elisabet Fernández de Kirchner (Spanish pronunciation: [kɾisˈtina eˈlisaβet ferˈnandes ðe ˈkiɾʃneɾ] (listen); born 19 February 1953), often referred to by her initials CFK, is an Argentine lawyer and politician who has served as the 37th Vice President of Argentina since 2019. She also served as the President of Argentina from 2007 to 2015 and the first lady during the tenure of her husband, Néstor Kirchner. She was the second woman to hold the Argentine presidency, the first directly elected female president, and the first woman re-elected to the office. Ideologically, she identifies herself as a Peronist and a progressive, with her political approach called Kirchnerism.Born in La Plata, Buenos Aires Province, she studied law at the University of La Plata, and moved to Patagonia with her husband Néstor Kirchner upon graduation. She was elected to the provincial legislature; her husband was elected mayor of Río Gallegos. She was elected national senator in 1995, and had a controversial tenure, while her husband was elected governor of Santa Cruz Province. In 1994, she was also elected to the constituent assembly that amended the Constitution of Argentina. She was the First Lady from 2003 to 2007 after her husband was elected president.
Néstor Kirchner did not run for reelection. Instead, his wife was the candidate for the Front for Victory alliance, becoming president in the 2007 presidential election. Her first term of office started with a conflict with the agricultural sector, and her proposed taxation system was rejected. After this she nationalised private pension funds, and fired the president of the Central Bank. The price of public services remained subsidised and she renationalized energy firm YPF as a result. The country had good relations with other South American nations, and strained relations with the western bloc as part of the regional political movement known as pink tide. She also continued her husband's human rights policies, and had a rocky relationship with the press. Néstor Kirchner died in 2010, and she was later elected for a second term in 2011. She won the 2011 general election with 54.11% of the votes, the highest percentage obtained by any presidential candidate since 1983. The 37.3% difference between votes for hers and the runner-up ticket Binner-Morandini was the second largest in the history of Argentine general elections. She established currency controls during her second term, and the country fell into sovereign default in 2014. She left office in 2015 with approval ratings above 50%.During her two terms as president, several corruption scandals took place and subsequently her government faced several demonstrations against her rule. She was charged for fraudulent low price sales of dollar futures, and later acquitted. In 2015, she was indicted for obstructing the investigation into the 1994 AMIA Bombing, after Alberto Nisman's controversial accusation of a purported ""pact"" (a memorandum) signed between her government and Iran which was supposedly seeking impunity for Iranians involved in the terrorist attack. In 2017, an arrest warrant issued  by Claudio Bonadio for Fernández de Kirchner charged her with ""treason"", but due to her parliamentary immunity, she did not go to prison, and the treason accusation was later dropped, while others charges related to Nisman's accusation remained. In 2018, she was also indicted for corruption on charges alleging that her administration had accepted bribes in exchange for public works contracts. On 30 September 2020, the federal criminal cassation court confirmed the corruption trials of Fernández de Kirchner, ruling the former president's objections to be inadmissible. After analyzing the claims of the defendants in the case for the never-ratified Memorandum with Iran, on 7 October 2021, the Federal Oral Court 8 declared the case null and void. The judges concluded that there was no crime in the signing of the agreement with Iran, and declared a judicial dismissal of Cristina Kirchner and the other defendants.",https://en.wikipedia.org/wiki/Cristina_Fern%C3%A1ndez_de_Kirchner
49,49,Armenia,47,Sirusho,http://www.wikidata.org/entity/Q229383,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,wd:Q229383,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,"Siranush Harutyunyan (Armenian: Սիրանուշ Հարությունյան; born 7 January 1987), known professionally as Sirusho (Armenian: Սիրուշո), is an Armenian singer and songwriter. She received her first award when she was nine years old for her song ""Lusabats"". Sirusho's first studio album, Sirusho, was released in 2000; followed by the second album Sheram in 2005. In the same year, she was awarded the Future of Armenian Music, Best Album and Best Female Performer awards in the first Armenian National Music Awards.Sirusho reached international recognition after representing Armenia in the Eurovision Song Contest 2008 with her co-written song ""Qélé, Qélé"" in Belgrade, Serbia. The song finished fourth in the final and became a hit in Europe. The BBC described her as ""national treasure"" of Armenia during the contest.In 2012, Sirusho released the single ""PreGomesh"", which inspired her to launch a range of handcrafted silver jewelry of the same name, representing Armenian culture and craftsmanship mixed with modern fashion trends. Sirusho is the first Armenian artist to be twice-nominated at World Music Awards with ""PreGomesh"".In 2013, W magazine featured Sirusho in their list of ""6 un-American idols"", with the author saying ""the door is still open for Sirusho to introduce the world to a sound and language largely unknown in the West"". In 2017, Sirusho was awarded with the title of Honored Artist of Armenia upon the decree of President Serzh Sargsyan. Sirusho's musical style reflects the Armenian traditional sounds mixed with modern music.

",https://en.wikipedia.org/wiki/Sirusho
69,69,Australia,123,Nicole Kidman,http://www.wikidata.org/entity/Q37459,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model",wd:Q37459,21504,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model",21504,"Australian-American actress, producer, and model","Nicole Mary Kidman  (born 20 June 1967) is an American and Australian actress and producer. Known for her work across various film and television productions from several genres, she has been continuously identified as one of the world's highest-paid actresses. She is the recipient of numerous accolades, including an Academy Award, a British Academy Film Award, a Screen Actors Guild Award, two Primetime Emmy Awards and six Golden Globe Awards.
Kidman began her acting career in Australia with the 1983 films Bush Christmas and BMX Bandits. Her breakthrough came in 1989 with the thriller film Dead Calm and the miniseries Bangkok Hilton. In 1990, she achieved international success with the action film Days of Thunder. She received greater recognition with lead roles in Far and Away (1992), Batman Forever (1995), To Die For (1995) and Eyes Wide Shut (1999). In 2003, she won the Academy Award for Best Actress for her portrayal of writer Virginia Woolf in the drama film The Hours (2002). She received additional Academy Award nominations for her roles in the musical Moulin Rouge! (2001) and the dramas Rabbit Hole (2010), Lion (2016) and Being the Ricardos (2021).
Kidman's television roles include Hemingway & Gellhorn (2012), Big Little Lies (2017–2019), Top of the Lake: China Girl (2017), The Undoing (2020) and Nine Perfect Strangers (2021). For Big Little Lies, she received two Primetime Emmy Awards, one for Outstanding Lead Actress and the other for Outstanding Limited Series as an executive producer.
Kidman has served as a Goodwill Ambassador for UNICEF since 1994 and for UNIFEM since 2006. In 2006, she was appointed Companion of the Order of Australia. She was married to actor Tom Cruise from 1990 to 2001 and has been married to country music singer Keith Urban since 2006. In 2010, she founded the production company Blossom Films. In 2004 and 2018, Time magazine included her on its list of the 100 most influential people in the world, and in 2020, The New York Times named her one of the greatest actors of the 21st century.",https://en.wikipedia.org/wiki/Nicole_Kidman
89,89,Austria,167,Anna Netrebko,http://www.wikidata.org/entity/Q78516,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,wd:Q78516,2293506,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,2293506,Russian-born Austrian operatic soprano,"Anna Yuryevna Netrebko (Russian: Анна Юрьевна Нетребко; born 18 September 1971) is a Russian operatic soprano 
who had an active international career and performed prominently at the Salzburg Festival, Metropolitan Opera, Vienna State Opera, and Royal Opera, London. In 2022 she announced that she would retire from concert life, and her performances and appearances with the Bavarian State Opera and Metropolitan Opera were canceled due to her links with Vladimir Putin.Discovered and promoted by Valery Gergiev, she began her career at the Mariinsky Theatre, collaborating with the conductor in the theater and performances elsewhere. She was noticed globally after playing Donna Anna in Mozart's Don Giovanni at the 2002 Salzburg Festival. She had been known for her rendition of lyric and coloratura soprano roles but proceeded into heavier 19th-century romantic roles, such as Leonora in Il trovatore and the role of Lady Macbeth in Macbeth. Since 2016, she has turned her focus to verismo repertoire.
In 2015 she married Azerbaijani tenor Yusif Eyvazov, with whom she has been performing frequently since.
She has been an exclusive artist for Deutsche Grammophon since 2002. She has won multiple Echo Klassik Awards, and was included on Time 100 list in 2007. She was named People's Artist of Russia in 2008, and Austrian Kammersängerin in 2017.

",https://en.wikipedia.org/wiki/Anna_Netrebko
