0,1,2,3
2,Kiribati,11.99,2001
3,Solomon Islands,9.86,2010
4,Botswana,9.63,2009
5,Norway,7.98,2016
6,Sweden,7.67,2016
7,Denmark,7.63,2014
8,Palau,7.58,2002
9,Iceland,7.46,2016
10,Costa Rica,7.4,2017
11,Guinea,7.39,1977
12,Belize,7.38,2017
13,Bolivia,7.29,2014
14,Eswatini,7.13,2014
15,Finland,6.9,2016
16,Venezuela,6.87,2009
17,Oman,6.85,2017
18,Moldova,6.68,2017
19,Bhutan,6.64,2018
20,Tunisia,6.6,2015
21,Belgium,6.54,2016
22,Lesotho,6.51,2018
23,Mozambique,6.48,2013
24,New Zealand,6.43,2016
25,Cyprus,6.38,2015
26,Guyana,6.34,2017
27,Uzbekistan,6.29,2017
28,Brazil,6.24,2015
29,South Africa,6.16,2018
30,Zimbabwe,6.14,2014
31,Kyrgyz Republic,6.14,2017
32,Puerto Rico,6.07,2014
33,Honduras,5.96,2017
34,Israel,5.85,2016
35,St. Vincent and the Grenadines,5.78,2017
36,Czech Republic,5.59,2016
37,Argentina,5.51,2017
38,Austria,5.5,2016
39,United Kingdom,5.49,2016
40,Netherlands,5.48,2016
41,France,5.43,2016
42,Chile,5.42,2017
43,Ukraine,5.41,2017
44,Jamaica,5.41,2018
45,Australia,5.28,2016
46,Malta,5.28,2015
47,Canada,5.27,2011
48,Morocco,5.26,2009
49,Kenya,5.24,2017
50,Tajikistan,5.23,2015
51,Cabo Verde,5.17,2017
52,Estonia,5.17,2016
53,Nepal,5.16,2018
54,Yemen,5.15,2008
55,Cﾃｴte d'Ivoire,5.14,2017
56,Saudi Arabia,5.14,2008
57,Syria,5.13,2009
58,Switzerland,5.11,2016
59,Ecuador,5.0,2015
60,Togo,4.98,2016
61,United States,4.96,2014
62,Nauru,4.91,2007
63,Mexico,4.91,2016
64,Portugal,4.88,2015
65,Uruguay,4.87,2017
66,Sao Tome and Principe,4.86,2017
67,Mauritius,4.83,2018
68,Belarus,4.82,2017
69,Senegal,4.81,2017
70,Germany,4.8,2016
71,Slovenia,4.8,2016
72,Burundi,4.76,2017
73,Malaysia,4.74,2017
74,Ethiopia,4.74,2015
75,Latvia,4.72,2016
76,Hungary,4.71,2016
77,Vanuatu,4.7,2017
78,Barbados,4.66,2017
79,Poland,4.64,2016
80,Sierra Leone,4.64,2017
81,Congo,4.56,2015
82,Croatia,4.56,2013
83,Colombia,4.5,2017
84,Djibouti,4.49,2010
85,Brunei,4.43,2016
86,Seychelles,4.42,2016
87,Nicaragua,4.35,2017
88,Vietnam,4.34,2016
89,Algeria,4.34,2008
90,Spain,4.21,2016
91,Burkina Faso,4.17,2015
92,Thailand,4.12,2013
93,Mongolia,4.09,2017
94,Samoa,4.08,2016
95,Bulgaria,4.08,2013
96,Afghanistan,4.06,2017
97,Malawi,4.03,2017
98,Lithuania,4.01,2016
99,Benin,3.99,2016
100,Greece,3.96,2005
101,Serbia,3.96,2017
102,Iran,3.96,2018
103,Luxembourg,3.96,2015
104,Albania,3.95,2016
105,Peru,3.92,2017
106,Tonga,3.91,2004
107,Slovak Republic,3.9,2016
108,Fiji,3.88,2013
109,Georgia,3.85,2017
110,Timor-Leste,3.85,2017
111,India,3.84,2013
112,St. Lucia,3.83,2018
113,Italy,3.83,2016
114,Egypt,3.76,2008
115,Kuwait,3.76,2006
116,El Salvador,3.75,2017
117,Russia,3.74,2016
118,Tuvalu,3.73,1997
119,Ireland,3.7,2016
120,Ghana,3.62,2017
121,Jordan,3.6,2017
122,Japan,3.59,2014
123,Indonesia,3.58,2015
124,Iraq,3.55,1989
125,Niger,3.54,2017
126,Korea,3.45,1999
127,Paraguay,3.44,2016
128,Angola,3.42,2010
129,Dominica,3.39,2015
130,Tanzania,3.38,2014
131,China,3.32,2018
132,North Macedonia,3.3,2002
133,Andorra,3.2,2017
134,Grenada,3.17,2017
135,Panama,3.16,2011
136,Trinidad and Tobago,3.14,2003
137,Rwanda,3.11,2018
138,Romania,3.11,2015
139,Mali,3.1,2016
140,Cameroon,3.07,2017
141,Niger,3.06,1975
142,Turkmenistan,3.05,2012
143,San Marino,3.04,2017
144,Lao PDR,2.94,2014
145,Pakistan,2.9,2017
146,Singapore,2.9,2013
147,Qatar,2.86,2017
148,Chad,2.85,2013
149,Kazakhstan,2.82,2017
150,Sri Lanka,2.8,2017
151,Guatemala,2.8,2017
152,Madagascar,2.79,2014
153,Turkey,2.75,2006
154,China,2.71,2017
155,Armenia,2.71,2017
156,Gabon,2.67,2014
157,Philippines,2.65,2009
158,Uganda,2.64,2017
159,Mauritania,2.63,2016
160,Cayman Islands,2.61,2006
161,St. Kitts and Nevis,2.61,2015
162,Liechtenstein,2.56,2011
163,Antigua and Barbuda,2.52,2009
164,Comoros,2.49,2015
165,Azerbaijan,2.48,2017
166,Lebanon,2.46,2013
167,Haiti,2.45,2016
168,Bahrain,2.33,2017
169,Liberia,2.28,2014
170,Libya,2.26,1999
171,Bahamas,2.23,2000
172,Sudan,2.22,2009
173,Guinea,2.22,2017
174,Guinea,2.19,1998
175,Myanmar,2.16,2017
176,Guinea,2.13,2013
177,Eritrea,2.13,2006
178,Gambia,2.06,2016
179,Dominica,2.05,2007
180,Bangladesh,1.99,2018
181,Cambodia,1.91,2014
182,China,1.89,1999
183,Dem. Rep. Congo,1.47,2017
184,Monaco,1.46,2017
185,Somalia,1.28,1973
186,Central African Republic,1.23,2011
187,Zambia,1.1,2008
