Entity,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number)
Afghanistan,18697
African Region (WHO),662060
Albania,457
Algeria,5786
American Samoa,12
Andorra,20
Angola,12783
Antigua and Barbuda,30
Argentina,36264
Armenia,546
Australia,4269
Austria,1205
Azerbaijan,2454
Bahamas,94
Bahrain,83
Bangladesh,37302
Barbados,164
Belarus,1155
Belgium,6340
Belize,112
Benin,9053
Bermuda,18
Bhutan,161
Bolivia,6570
Bosnia and Herzegovina,414
Botswana,1528
Brazil,88641
Brunei,82
Bulgaria,1990
Burkina Faso,24392
Burundi,6462
Cambodia,12066
Cameroon,17015
Canada,9125
Cape Verde,294
Central African Republic,5677
Chad,19447
Chile,4703
China,185264
Colombia,7899
Comoros,450
Congo,2033
Cook Islands,10
Costa Rica,676
Cote d'Ivoire,16980
Croatia,580
Cuba,7125
Cyprus,169
Czechia,3386
Democratic Republic of Congo,44646
Denmark,2473
Djibouti,593
Dominica,30
Dominican Republic,2010
East Asia & Pacific (WB),570742
Eastern Mediterranean Region (WHO),176015
Ecuador,5436
Egypt,21371
El Salvador,2304
England,34889
Equatorial Guinea,363
Eritrea,4429
Estonia,224
Eswatini,721
Ethiopia,46301
Europe & Central Asia (WB),271123
European Region (WHO),273221
Fiji,216
Finland,775
France,23096
French Guiana,
French Polynesia,
G20,1304122
Gabon,697
Gambia,1223
Georgia,765
Germany,25096
Ghana,16306
Greece,5957
Greenland,12
Grenada,47
Guadeloupe,
Guam,34
Guatemala,9875
Guinea,13549
Guinea-Bissau,1121
Guyana,262
Haiti,6323
Honduras,1121
Hong Kong,
Hungary,1217
Iceland,102
India,433661
Indonesia,44317
Iran,10219
Iraq,3178
Ireland,1713
Israel,1739
Italy,12393
Jamaica,475
Japan,118801
Jordan,1054
Kazakhstan,4013
Kenya,21504
Kiribati,35
Kosovo,
Kuwait,668
Kyrgyzstan,772
Laos,3392
Latin America & Caribbean (WB),233225
Latvia,350
Lebanon,910
Lesotho,1941
Liberia,1940
Libya,837
Lithuania,531
Luxembourg,137
Macau,
Madagascar,13674
Malawi,9206
Malaysia,21711
Maldives,35
Mali,15184
Malta,192
Marshall Islands,20
Martinique,
Mauritania,1797
Mauritius,289
Mexico,22592
Micronesia (country),38
Middle East & North Africa (WB),69565
Moldova,872
Monaco,25
Mongolia,530
Montenegro,69
Morocco,6248
Mozambique,15524
Myanmar,21453
Namibia,1461
Nauru,4
Nepal,8760
Netherlands,6330
New Caledonia,
New Zealand,896
Nicaragua,1011
Niger,23642
Nigeria,172978
Niue,1
North America (WB),91064
North Korea,6998
North Macedonia,181
Northern Ireland,1172
Northern Mariana Islands,11
Norway,2036
OECD Countries,451493
Oman,407
Pakistan,68193
Palau,18
Palestine,500
Panama,818
Papua New Guinea,6311
Paraguay,1474
Peru,18179
Philippines,58413
Poland,11910
Portugal,8279
Puerto Rico,1267
Qatar,70
Region of the Americas (WHO),322980
Romania,6362
Russia,32972
Rwanda,5641
Saint Kitts and Nevis,20
Saint Lucia,54
Saint Vincent and the Grenadines,39
Samoa,63
San Marino,8
Sao Tome and Principe,109
Saudi Arabia,4699
Scotland,3226
Senegal,6793
Serbia,1571
Seychelles,77
Sierra Leone,7460
Singapore,3471
Slovakia,1850
Slovenia,693
Solomon Islands,479
Somalia,20751
South Africa,28941
South Asia (WB),571508
South Korea,15635
South Sudan,7714
South-East Asia Region (WHO),589025
Spain,14184
Sri Lanka,4699
Sub-Saharan Africa (WB),684051
Sudan,7026
Suriname,163
Sweden,2846
Switzerland,1946
Syria,2284
Taiwan,13067
Tajikistan,3279
Tanzania,32990
Thailand,31037
Timor,601
Togo,4356
Tokelau,0
Tonga,34
Trinidad and Tobago,274
Tunisia,1838
Turkey,14868
Turkmenistan,1284
Tuvalu,5
Uganda,16497
Ukraine,8734
United Arab Emirates,599
United Kingdom,41877
United States,81921
United States Virgin Islands,25
Uruguay,1595
Uzbekistan,10787
Vanuatu,113
Venezuela,5555
Vietnam,21345
Wales,2591
Wallis and Futuna,
Western Pacific Region (WHO),460996
Western Sahara,
World,2493200
World (excluding China),
World Bank High Income,441234
World Bank Low Income,411796
World Bank Lower Middle Income,1079601
World Bank Upper Middle Income,558829
Yemen,6289
Zambia,8190
Zimbabwe,12897
