0,1,2,3,4,5,6,7,8
Afghanistan,16,Leena Alam,http://www.wikidata.org/entity/Q6516339,wd:Q6516339,31364955,Afghani actress,"Leena Alam (Persian: لينا علم, born 01/11/1980 in Kabul, Afghanistan) is an Afghan film, television, and theater actress. She has appeared in films such as Kabuli Kid, Black Kite, Loori, A Letter to the President and Hassan. She is widely known to have worked on film and TV that speak of child marriage, gender inequality, women's rights and social conflicts. 
She has also been known as ""Shereen of Afghanistan"" (شیرین افغانستان) after playing in the taboo-smashing feminist television drama, Shereen (شیرین), the first of its kind to have been made in Afghanistan, directed by Ghafar Azad and produced by Kaboora and Tolo TV. Shereen was nominated for Best Mini-Series Drama alongside The Night Manager, Mr. Robot and Deutschland 83 and Leena Alam was nominated for Best Actress at the Seoul International Drama Awards 2016.
In 1991, Alam and her family moved to the United States of America because of the civil war in her homeland. She began her acting and cinema career in 1998.
In 2021 she was named as one of the BBC's 100 Women.",https://en.wikipedia.org/wiki/Leena_Alam
Albania,83,Masiela Lusha,http://www.wikidata.org/entity/Q37944,wd:Q37944,656544,American actress and author,"Masiela Lusha (; born October 23, 1985) is an Albanian-born American actress and author. She gained recognition for playing Carmen Lopez on the globally syndicated ABC sitcom George Lopez, a role that earned her two consecutive Young Artist Awards for Leading Young Actress in a Comedy or Drama. After transitioning into film, she starred in Sony Pictures’ Blood: The Last Vampire. Lusha also starred alongside David Hasselhoff and Ian Ziering in SyFy's television movie Sharknado: The 4th Awakens.Lusha made her acting debut in Summoning in 2001. That same year, she made her television debut in the Disney Channel series, Lizzie McGuire. Lusha appeared as a main cast member in Clifford's Puppy Days (2003-2005) for PBS, and also appeared in Law & Order: Criminal Intent, and Anger Management. Lusha starred in movies comprising a variety of genres, including  Cherry Bomb (2004), My Father's Eulogy (2007), Muertas (2007), Time of the Comet (2008), Ballad of Broken Angels (2009), Kill Katie Malone (2010), Dragonfyre (2013), The Architect (2014), Of Silence (2014), Fatal Instinct (2014), and Branded (2016).
In 2010, Lusha was appointed ambassador of Prince Harry's charity Sentebale.  In 2014, Lusha was made the World Assembly of Youth's goodwill ambassador. Lusha is an advocate for UN Women.Lusha has written five books of poetry, Inner Thoughts, Drinking the Moon, Amore Celeste, The Call, The Living Air; a novel, The Besa; and two children's books. Lusha has written poetry and translated it into Albanian. She has translated poems and prayers by Mother Teresa.",https://en.wikipedia.org/wiki/Masiela_Lusha
Algeria,36,Sofia Boutella,http://www.wikidata.org/entity/Q258777,wd:Q258777,14882980,"Algerian actress, dancer, model and former rhythmic gymnast","Sofia Boutella (Arabic: صوفيا بوتلة; born 3 April 1982) is an Algerian actress, dancer and model.",https://en.wikipedia.org/wiki/Sofia_Boutella
Andorra,23,Marta Roure,http://www.wikidata.org/entity/Q275912,wd:Q275912,6292897,Andorran singer,"Marta Roure i Besolí (born 16 January 1981) is an Andorran singer and actress. She represented Andorra in the Eurovision Song Contest 2004 with her song ""Jugarem a estimar-nos"", earning the eighteenth place in the semifinal. It was the first time a song in Catalan language was performed at the Eurovision Song Contest, as well as Andorra's debut at the competition.",https://en.wikipedia.org/wiki/Marta_Roure
Angola,11,Helena Morena,http://www.wikidata.org/entity/Q27267640,wd:Q27267640,55745752,Angolan actress,"Helena Moreno (born 28 February 1989), also known as Helena Morena, is an Angolan actress who has appeared in several Angolan telenovela series. Outside of entertainment, she has worked as a Portuguese language teacher.",https://en.wikipedia.org/wiki/Helena_Moreno_(actress)
Antigua and Barbuda,8,Vivian Bonnell,http://www.wikidata.org/entity/Q28002408,wd:Q28002408,52570280,actor and calypso singer (1924-2003),"Vivian Bonnell (born Enid Mosier, May 23, 1924 – November 18, 2003) was an actress and calypso singer, originally from Antigua, British West Indies. In 1954, she starred opposite Pearl Bailey in the Broadway musical House of Flowers. She and her fellow cast members recorded calypso albums as ""Enid Mosier and her Trinidad Steel Band"". She later married one of those performers, Austin Stoker.After changing her name, Bonnell went on to appear in a number of films and television shows, including several American TV movies. She died of complications from diabetes in Los Angeles on November 18, 2003, at the age of 79.

",https://en.wikipedia.org/wiki/Vivian_Bonnell
Argentina,101,Eva Perón,http://www.wikidata.org/entity/Q40933,wd:Q40933,51584,Argentinian actress and politician (1919-1952),"María Eva Duarte de Perón (Spanish pronunciation: [maˈɾi.a ˈeβa ˈðwaɾte ðe peˈɾon]; née María Eva Duarte; 7 May 1919 – 26 July 1952), better known as just Eva Perón or by the nickname Evita (Spanish: [eˈβita]), was an Argentine politician, activist, actress, and philanthropist who served as First Lady of Argentina from June 1946 until her death in July 1952, as the wife of Argentine President Juan Domingo Perón (1895–1974). She was born in poverty in the rural village of Los Toldos, in the Pampas, as the youngest of five children. In 1934, at the age of 15, she moved to the nation's capital of Buenos Aires to pursue a career as a stage, radio, and film actress.
She met Colonel Juan Perón on 22 January 1944 during a charity event at the Luna Park Stadium to benefit the victims of an earthquake in San Juan, Argentina. The two were married the following year. Juan Perón was elected President of Argentina in June 1946; during the next six years, Eva Perón became powerful within the pro-Peronist trade unions, primarily for speaking on behalf of labor rights. She also ran the Ministries of Labor and Health, founded and ran the charitable Eva Perón Foundation, championed women's suffrage in Argentina, and founded and ran the nation's first large-scale female political party, the Female Peronist Party.
In 1951, Eva Perón announced her candidacy for the Peronist nomination for the office of Vice President of Argentina, receiving great support from the Peronist political base, low-income and working-class Argentines who were referred to as descamisados or ""shirtless ones"". Opposition from the nation's military and bourgeoisie, coupled with her declining health, ultimately forced her to withdraw her candidacy. In 1952, shortly before her death from cancer at 33, Eva Perón was given the title of ""Spiritual Leader of the Nation"" by the Argentine Congress. She was given a state funeral upon her death, a prerogative generally reserved for heads of state.
Eva Perón has become a part of international popular culture, most famously as the subject of the musical Evita (1976).  Cristina Álvarez Rodríguez has said that Evita has never left the collective consciousness of Argentines. Cristina Fernández de Kirchner, the second woman elected president of Argentina (after Isabel Perón), claims that women of her generation owe a debt to Eva for ""her example of passion and combativeness"".",https://en.wikipedia.org/wiki/Eva_Per%C3%B3n
Armenia,34,Angela Sarafyan,http://www.wikidata.org/entity/Q553895,wd:Q553895,9221218,Armenian–American actress,"Angela Sarafyan (Armenian: Անժելա Սարաֆյան; June 30, 1983), sometimes credited as Angela Sarafian, is an Armenian-American actress. She has appeared as a guest star in several television series and has acted in the feature films: Kabluey (2007), On the Doll (2007), A Beautiful Life (2008), The Informers (2008), A Good Old Fashioned Orgy (2011), Lost & Found in Armenia (2012), and Reminiscence (2021).  Sarafyan earned supporting roles in blockbuster films such as The Twilight Saga: Breaking Dawn – Part 2 (2012).
From 2016, she portrayed Clementine Pennyfeather on the HBO series Westworld.",https://en.wikipedia.org/wiki/Angela_Sarafyan
Australia,125,Nicole Kidman,http://www.wikidata.org/entity/Q37459,wd:Q37459,21504,"Australian-American actress, producer, and model","Nicole Mary Kidman  (born 20 June 1967) is an American and Australian actress and producer. Known for her work across various film and television productions from several genres, she has consistently ranked among the world's highest-paid actresses. She is the recipient of numerous accolades, including an Academy Award, a British Academy Film Award, two Primetime Emmy Awards and six Golden Globe Awards.
Kidman began her acting career in Australia with the 1983 films Bush Christmas and BMX Bandits. Her breakthrough came in 1989 with the thriller film Dead Calm and the miniseries Bangkok Hilton. In 1990, she achieved international success with the action film Days of Thunder. She received greater recognition with lead roles in Far and Away (1992), Batman Forever (1995), To Die For (1995) and Eyes Wide Shut (1999). For her portrayal of writer Virginia Woolf in the drama The Hours (2002), Kidman won the Academy Award for Best Actress. She received additional Academy Award nominations for her roles in the musical Moulin Rouge! (2001) and the dramas Rabbit Hole (2010), Lion (2016) and Being the Ricardos (2021).
Kidman's television roles include Hemingway & Gellhorn (2012), Big Little Lies (2017–2019), Top of the Lake: China Girl (2017), The Undoing (2020) and Nine Perfect Strangers (2021). For Big Little Lies, she received two Primetime Emmy Awards, one for Outstanding Lead Actress and the other for Outstanding Limited Series as an executive producer.
Kidman has served as a Goodwill Ambassador for UNICEF since 1994 and for UNIFEM since 2006. In 2006, she was appointed Companion of the Order of Australia. She was married to actor Tom Cruise from 1990 to 2001 and has been married to country music singer Keith Urban since 2006. In 2010, she founded the production company Blossom Films. In 2004 and 2018, Time magazine included her on its list of the 100 most influential people in the world, and in 2020, The New York Times named her one of the greatest actors of the 21st century.

",https://en.wikipedia.org/wiki/Nicole_Kidman
Austria,86,Hedy Lamarr,http://www.wikidata.org/entity/Q49034,wd:Q49034,170982,Austrian-American actress and co-inventor of an early technique for spread spectrum communications and frequency hopping (1914-2000),"Hedy Lamarr (; born Hedwig Eva Maria Kiesler; November 9, 1914 –  January 19, 2000) was an Austrian-born Austro-Hungarian-American film actress and inventor. A film star during Hollywood's golden age, Lamarr has been described as one of the greatest movie actresses of all time.After a brief early film career in Czechoslovakia, including the controversial Ecstasy (1933), she fled from her first husband, a wealthy Austrian ammunition manufacturer, and secretly moved to Paris. Traveling to London, she met Metro-Goldwyn-Mayer studio head Louis B. Mayer, who offered her a movie contract in Hollywood. She became a film star with her performance in Algiers (1938). Her MGM films include Lady of the Tropics (1939), Boom Town (1940), H.M. Pulham, Esq. (1941), and White Cargo (1942). Her greatest success was as Delilah in Cecil B. DeMille's Bible-inspired Samson and Delilah (1949). She also acted on television before the release of her final film, The Female Animal (1958). She was honored with a star on the Hollywood Walk of Fame in 1960.
At the beginning of World War II, she and avant-garde composer George Antheil developed a radio guidance system for Allied torpedoes that used spread spectrum and frequency hopping technology to defeat the threat of jamming by the Axis powers.

",https://en.wikipedia.org/wiki/Hedy_Lamarr
