food,foodLabel,country,countryLabel,sitelinks
http://www.wikidata.org/entity/Q152088,French-fried potatoes,http://www.wikidata.org/entity/Q142,France,85
http://www.wikidata.org/entity/Q234646,ramen,http://www.wikidata.org/entity/Q17,Japan,66
http://www.wikidata.org/entity/Q12200,crêpe,http://www.wikidata.org/entity/Q142,France,56
http://www.wikidata.org/entity/Q235169,miso,http://www.wikidata.org/entity/Q17,Japan,47
http://www.wikidata.org/entity/Q420646,pho,http://www.wikidata.org/entity/Q881,Vietnam,47
http://www.wikidata.org/entity/Q466430,nachos,http://www.wikidata.org/entity/Q96,Mexico,45
http://www.wikidata.org/entity/Q120096,tempeh,http://www.wikidata.org/entity/Q252,Indonesia,43
http://www.wikidata.org/entity/Q471866,miso soup,http://www.wikidata.org/entity/Q17,Japan,43
http://www.wikidata.org/entity/Q920940,dosa,http://www.wikidata.org/entity/Q668,India,41
http://www.wikidata.org/entity/Q701075,Okonomiyaki,http://www.wikidata.org/entity/Q17,Japan,40
http://www.wikidata.org/entity/Q396184,poutine,http://www.wikidata.org/entity/Q16,Canada,39
http://www.wikidata.org/entity/Q828043,bouillabaisse,http://www.wikidata.org/entity/Q142,France,37
http://www.wikidata.org/entity/Q828043,bouillabaisse,http://www.wikidata.org/entity/Q142,France,37
http://www.wikidata.org/entity/Q510666,nasi goreng,http://www.wikidata.org/entity/Q252,Indonesia,35
http://www.wikidata.org/entity/Q244617,French onion soup,http://www.wikidata.org/entity/Q142,France,35
http://www.wikidata.org/entity/Q862569,sukiyaki,http://www.wikidata.org/entity/Q17,Japan,35
http://www.wikidata.org/entity/Q1076874,Fried Rice,http://www.wikidata.org/entity/Q148,People's Republic of China,34
http://www.wikidata.org/entity/Q505711,nattō,http://www.wikidata.org/entity/Q17,Japan,34
http://www.wikidata.org/entity/Q905527,takoyaki,http://www.wikidata.org/entity/Q17,Japan,33
http://www.wikidata.org/entity/Q1051482,dorayaki,http://www.wikidata.org/entity/Q17,Japan,33
http://www.wikidata.org/entity/Q581462,minestrone,http://www.wikidata.org/entity/Q38,Italy,33
http://www.wikidata.org/entity/Q941004,fufu,http://www.wikidata.org/entity/Q1033,Nigeria,32
http://www.wikidata.org/entity/Q1057256,Ossobuco,http://www.wikidata.org/entity/Q38,Italy,32
http://www.wikidata.org/entity/Q2548021,Appam,http://www.wikidata.org/entity/Q668,India,32
http://www.wikidata.org/entity/Q2548021,Appam,http://www.wikidata.org/entity/Q854,Sri Lanka,32
http://www.wikidata.org/entity/Q551514,Blancmange,http://www.wikidata.org/entity/Q38,Italy,30
http://www.wikidata.org/entity/Q655040,oden,http://www.wikidata.org/entity/Q148,People's Republic of China,30
http://www.wikidata.org/entity/Q655040,oden,http://www.wikidata.org/entity/Q17,Japan,30
http://www.wikidata.org/entity/Q1061856,shabu-shabu,http://www.wikidata.org/entity/Q17,Japan,30
http://www.wikidata.org/entity/Q3039,cassoulet,http://www.wikidata.org/entity/Q142,France,29
http://www.wikidata.org/entity/Q1052469,tom yum,http://www.wikidata.org/entity/Q869,Thailand,29
http://www.wikidata.org/entity/Q862557,osechi,http://www.wikidata.org/entity/Q17,Japan,28
http://www.wikidata.org/entity/Q2082064,Consommé,http://www.wikidata.org/entity/Q142,France,27
http://www.wikidata.org/entity/Q703313,Sour rye soup,http://www.wikidata.org/entity/Q36,Poland,27
http://www.wikidata.org/entity/Q934095,laksa,http://www.wikidata.org/entity/Q334,Singapore,27
http://www.wikidata.org/entity/Q934095,laksa,http://www.wikidata.org/entity/Q252,Indonesia,27
http://www.wikidata.org/entity/Q934095,laksa,http://www.wikidata.org/entity/Q833,Malaysia,27
http://www.wikidata.org/entity/Q540289,Baked Alaska,http://www.wikidata.org/entity/Q142,France,26
http://www.wikidata.org/entity/Q590076,Hawaiian pizza,http://www.wikidata.org/entity/Q16,Canada,26
http://www.wikidata.org/entity/Q1142841,Tonkatsu,http://www.wikidata.org/entity/Q17,Japan,26
http://www.wikidata.org/entity/Q1473422,Ful medames,http://www.wikidata.org/entity/Q79,Egypt,26
http://www.wikidata.org/entity/Q20748,raclette,http://www.wikidata.org/entity/Q39,Switzerland,25
http://www.wikidata.org/entity/Q500724,Margherita pizza,http://www.wikidata.org/entity/Q38,Italy,25
http://www.wikidata.org/entity/Q1133127,corn dog,http://www.wikidata.org/entity/Q30,United States of America,25
http://www.wikidata.org/entity/Q12264276,palatschinke,http://www.wikidata.org/entity/Q40,Austria,25
http://www.wikidata.org/entity/Q866640,bisque,http://www.wikidata.org/entity/Q142,France,25
http://www.wikidata.org/entity/Q816663,Jollof rice,http://www.wikidata.org/entity/Q117,Ghana,24
http://www.wikidata.org/entity/Q816663,Jollof rice,http://www.wikidata.org/entity/Q1033,Nigeria,24
http://www.wikidata.org/entity/Q816663,Jollof rice,http://www.wikidata.org/entity/Q1041,Senegal,24
http://www.wikidata.org/entity/Q1435874,ugali,http://www.wikidata.org/entity/Q114,Kenya,24
http://www.wikidata.org/entity/Q2339814,s'more,http://www.wikidata.org/entity/Q30,United States of America,24
http://www.wikidata.org/entity/Q701628,stinky tofu,http://www.wikidata.org/entity/Q148,People's Republic of China,24
http://www.wikidata.org/entity/Q713869,Grass jelly,http://www.wikidata.org/entity/Q148,People's Republic of China,23
http://www.wikidata.org/entity/Q10398,pot-au-feu,http://www.wikidata.org/entity/Q142,France,23
http://www.wikidata.org/entity/Q283740,Poffertjes,http://www.wikidata.org/entity/Q55,Netherlands,23
http://www.wikidata.org/entity/Q714027,nikujaga,http://www.wikidata.org/entity/Q17,Japan,23
http://www.wikidata.org/entity/Q1962004,nabemono,http://www.wikidata.org/entity/Q17,Japan,22
http://www.wikidata.org/entity/Q997633,sugo all'amatriciana,http://www.wikidata.org/entity/Q38,Italy,21
http://www.wikidata.org/entity/Q1061604,chana masala,http://www.wikidata.org/entity/Q668,India,21
http://www.wikidata.org/entity/Q923729,galantine,http://www.wikidata.org/entity/Q142,France,21
http://www.wikidata.org/entity/Q1294686,Vichyssoise,http://www.wikidata.org/entity/Q142,France,21
http://www.wikidata.org/entity/Q1863568,Avgolemono,http://www.wikidata.org/entity/Q41,Greece,21
http://www.wikidata.org/entity/Q1863568,Avgolemono,http://www.wikidata.org/entity/Q38,Italy,21
http://www.wikidata.org/entity/Q1809371,Lahoh,http://www.wikidata.org/entity/Q1045,Somalia,21
http://www.wikidata.org/entity/Q700643,shiruko,http://www.wikidata.org/entity/Q17,Japan,21
http://www.wikidata.org/entity/Q1094882,clam chowder,http://www.wikidata.org/entity/Q30,United States of America,21
http://www.wikidata.org/entity/Q600438,Mititei,http://www.wikidata.org/entity/Q218,Romania,20
http://www.wikidata.org/entity/Q1068574,chawanmushi,http://www.wikidata.org/entity/Q17,Japan,20
http://www.wikidata.org/entity/Q1244010,Saganaki,http://www.wikidata.org/entity/Q41,Greece,20
http://www.wikidata.org/entity/Q336039,abura-age,http://www.wikidata.org/entity/Q17,Japan,20
http://www.wikidata.org/entity/Q2118339,tarhana,http://www.wikidata.org/entity/Q43,Turkey,20
http://www.wikidata.org/entity/Q481774,amuse-bouche,http://www.wikidata.org/entity/Q142,France,19
http://www.wikidata.org/entity/Q2548949,vine leaf roll,http://www.wikidata.org/entity/Q43,Turkey,19
http://www.wikidata.org/entity/Q917043,soy pulp,http://www.wikidata.org/entity/Q17,Japan,19
http://www.wikidata.org/entity/Q2472937,Rasam,http://www.wikidata.org/entity/Q668,India,19
http://www.wikidata.org/entity/Q690048,turtle soup,http://www.wikidata.org/entity/Q148,People's Republic of China,19
http://www.wikidata.org/entity/Q770977,Caldo verde,http://www.wikidata.org/entity/Q148,People's Republic of China,19
http://www.wikidata.org/entity/Q515692,Pozole,http://www.wikidata.org/entity/Q96,Mexico,19
http://www.wikidata.org/entity/Q770977,Caldo verde,http://www.wikidata.org/entity/Q45,Portugal,19
http://www.wikidata.org/entity/Q4822751,aush,http://www.wikidata.org/entity/Q794,Iran,19
http://www.wikidata.org/entity/Q4822751,aush,http://www.wikidata.org/entity/Q43,Turkey,19
http://www.wikidata.org/entity/Q4822751,aush,http://www.wikidata.org/entity/Q889,Afghanistan,19
http://www.wikidata.org/entity/Q16247075,cucumber soup,http://www.wikidata.org/entity/Q36,Poland,19
http://www.wikidata.org/entity/Q899976,Czernina,http://www.wikidata.org/entity/Q36,Poland,19
http://www.wikidata.org/entity/Q268114,Fisherman's soup,http://www.wikidata.org/entity/Q28,Hungary,19
http://www.wikidata.org/entity/Q249169,zōni,http://www.wikidata.org/entity/Q17,Japan,19
http://www.wikidata.org/entity/Q2268672,tom kha kai,http://www.wikidata.org/entity/Q869,Thailand,19
http://www.wikidata.org/entity/Q888832,bobotie,http://www.wikidata.org/entity/Q258,South Africa,18
http://www.wikidata.org/entity/Q1352897,unadon,http://www.wikidata.org/entity/Q17,Japan,18
http://www.wikidata.org/entity/Q1188066,Mohinga,http://www.wikidata.org/entity/Q836,Myanmar,18
http://www.wikidata.org/entity/Q4939235,noodle soup,http://www.wikidata.org/entity/Q148,People's Republic of China,18
http://www.wikidata.org/entity/Q1130800,bún bò Huế,http://www.wikidata.org/entity/Q881,Vietnam,17
http://www.wikidata.org/entity/Q3319289,egg drop soup,http://www.wikidata.org/entity/Q148,People's Republic of China,17
